Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,163
CNAG_05387R,CNAG_05387,206
CNAG_05638R,CNAG_05638,111
CNAG_05639R,CNAG_05639,130
CNAG_06346R,CNAG_06346,140
CNAG_06347R,CNAG_06347,89
CNAG_06517R,CNAG_06517,140
CNAG_06201R,CNAG_06201,100
CNAG_06104R,CNAG_06104,124
CNAG_07902R,CNAG_07902,169
CNAG_06241R,CNAG_06241,82
CNAG_06242R,CNAG_06242,71
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,181
CNAG_01683R,CNAG_01683,147
CNAG_01902R,CNAG_01902,23
CNAG_01680R,CNAG_01680,156
CNAG_01989R,CNAG_01989,102
CNAG_01965R,CNAG_01965,172
CNAG_01925R,CNAG_01925,132
CNAG_04837R,CNAG_04837,179
CNAG_04836R,CNAG_04836,141
CNAG_04875R,CNAG_04875,366
CNAG_04868R,CNAG_04868,26
CNAG_04753R,CNAG_04753,1
CNAG_04909R,CNAG_04909,1
CNAG_04518R,CNAG_04518,150
CNAG_04517R,CNAG_04517,112
CNAG_07770R,CNAG_07770,172
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,207
CNAG_07742R,CNAG_07742,286
CNAG_03438R,CNAG_03438,1
CNAG_03142R,CNAG_03142,126
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,166
CNAG_05835R,CNAG_05835,1
CNAG_05867R,CNAG_05867,130
CNAG_05684R,CNAG_05684,132
CNAG_02189R,CNAG_02189,172
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,135
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,5
CNAG_06719R,CNAG_06719,98
CNAG_03669R,CNAG_03669,57
CNAG_07332R,CNAG_07332,83
CNAG_00285R,CNAG_00285,155
CNAG_00830R,CNAG_00830,147
CNAG_00841R,CNAG_00841,146
CNAG_06531R,CNAG_06531,250
CNAG_03279R,CNAG_03279,145
CNAG_03336R,CNAG_03336,140
CNAG_06339R,CNAG_06339,204
CNAG_03768R,CNAG_03768,184
CNAG_04534R,CNAG_04534,119
CNAG_01973R,CNAG_01973,141
CNAG_07867R,CNAG_07867,154
CNAG_05333R,CNAG_05333,163
CNAG_06425R,CNAG_06425,113
CNAG_03849R,CNAG_03849,151
CNAG_02603R,CNAG_02603,111
CNAG_02555R,CNAG_02555,152
CNAG_02525R,CNAG_02525,54
CNAG_03431R,CNAG_03431,147
CNAG_05049R,CNAG_05049,134
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,7
CNAG_02476R,CNAG_02476,123
CNAG_07583R,CNAG_07583,128
CNAG_05112R,CNAG_05112,149
CNAG_03366R,CNAG_03366,179
CNAG_04090R,CNAG_04090,1194
CNAG_00791R,CNAG_00791,62
CNAG_05375R,CNAG_05375,2876
CNAG_02516R,CNAG_02516,144
CNAG_04804R,CNAG_04804,14
CNAG_06203R,CNAG_06203,151
CNAG_01883R,CNAG_01883,405
CNAG_03401R,CNAG_03401,148
CNAG_02435R,CNAG_02435,203
CNAG_05153R,CNAG_05153,52
CNAG_01708R,CNAG_01708,298
CNAG_03700R,CNAG_03700,155
CNAG_05215R,CNAG_05215,244
CNAG_01438R,CNAG_01438,192
CNAG_07464R,CNAG_07464,722
CNAG_01858R,CNAG_01858,176
CNAG_04586R,CNAG_04586,198
CNAG_05176R,CNAG_05176,333
CNAG_01014R,CNAG_01014,82
CNAG_01454R,CNAG_01454,159
CNAG_06327R,CNAG_06327,38
CNAG_03788R,CNAG_03788,445
CNAG_00871R,CNAG_00871,163
CNAG_00559R,CNAG_00559,4326
CNAG_07370R,CNAG_07370,153
CNAG_04630R,CNAG_04630,1
CNAG_02589R,CNAG_02589,136
CNAG_01645R,CNAG_01645,399
CNAG_01242R,CNAG_01242,50
CNAG_02788R,CNAG_02788,68
CNAG_07435R,CNAG_07435,109
CNAG_07924R,CNAG_07924,205
CNAG_01071R,CNAG_01071,118
CNAG_00883R,CNAG_00883,99
CNAG_03741R,CNAG_03741,102
CNAG_03745R,CNAG_03745,147
CNAG_00192R,CNAG_00192,126
CNAG_00670R,CNAG_00670,199
CNAG_06871R,CNAG_06871,150
CNAG_04457R,CNAG_04457,149
CNAG_04588R,CNAG_04588,82
CNAG_03894R,CNAG_03894,190
CNAG_04012R,CNAG_04012,151
CNAG_01487R,CNAG_01487,137
CNAG_05170R,CNAG_05170,146
CNAG_02364R,CNAG_02364,164
CNAG_04093R,CNAG_04093,173
CNAG_02322R,CNAG_02322,149
CNAG_05255R,CNAG_05255,153
CNAG_03018R,CNAG_03018,158
CNAG_07901R,CNAG_07901,125
CNAG_03086R,CNAG_03086,143
CNAG_06097R,CNAG_06097,6469
CNAG_03115R,CNAG_03115,1
CNAG_06136R,CNAG_06136,138
CNAG_03177R,CNAG_03177,165
CNAG_03183R,CNAG_03183,150
CNAG_04774R,CNAG_04774,293
CNAG_04768R,CNAG_04768,62
CNAG_06276R,CNAG_06276,158
CNAG_05222R,CNAG_05222,1091
CNAG_03409R,CNAG_03409,248
CNAG_05622R,CNAG_05622,207
CNAG_04637R,CNAG_04637,99
CNAG_07680R,CNAG_07680,277
CNAG_02215R,CNAG_02215,130
CNAG_02387R,CNAG_02387,73
CNAG_04086R,CNAG_04086,177
CNAG_05697R,CNAG_05697,167
CNAG_04507R,CNAG_04507,149
CNAG_04506R,CNAG_04506,128
CNAG_00068R,CNAG_00068,290
CNAG_00733R,CNAG_00733,218
CNAG_03910R,CNAG_03910,196
CNAG_04059R,CNAG_04059,157
CNAG_07491R,CNAG_07491,188
CNAG_05181R,CNAG_05181,152
CNAG_03915R,CNAG_03915,1
CNAG_03772R,CNAG_03772,187
CNAG_00445R,CNAG_00445,298
CNAG_01901R,CNAG_01901,191
CNAG_05313R,CNAG_05313,968
CNAG_05312R,CNAG_05312,185
CNAG_00337R,CNAG_00337,1
CNAG_02683R,CNAG_02683,2
CNAG_00442R,CNAG_00442,150
CNAG_01277R,CNAG_01277,267
CNAG_01230R,CNAG_01230,138
CNAG_00547R,CNAG_00547,467
CNAG_00598R,CNAG_00598,168
CNAG_02219R,CNAG_02219,207
CNAG_02220R,CNAG_02220,2
CNAG_00674R,CNAG_00674,1
CNAG_03013R,CNAG_03013,27
CNAG_07540R,CNAG_07540,201
CNAG_04980R,CNAG_04980,12
CNAG_00456R,CNAG_00456,168
CNAG_00455R,CNAG_00455,174
CNAG_02152R,CNAG_02152,1
CNAG_00107R,CNAG_00107,132
