Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,29
CNAG_05515L,CNAG_05515,106
CNAG_05641L,CNAG_05641,75
CNAG_05387L,CNAG_05387,132
CNAG_05590L,CNAG_05590,714
CNAG_07869L,CNAG_07869,104
CNAG_05340L,CNAG_05340,50
CNAG_05638L,CNAG_05638,87
CNAG_05639L,CNAG_05639,97
CNAG_06346L,CNAG_06346,98
CNAG_06347L,CNAG_06347,81
CNAG_06517L,CNAG_06517,92
CNAG_07939L,CNAG_07939,93
CNAG_06493L,CNAG_06493,87
CNAG_06201L,CNAG_06201,74
CNAG_06104L,CNAG_06104,88
CNAG_06081L,CNAG_06081,88
CNAG_07902L,CNAG_07902,91
CNAG_06241L,CNAG_06241,51
CNAG_06242L,CNAG_06242,61
CNAG_06186L,CNAG_06186,148
CNAG_07911L,CNAG_07911,100
CNAG_01551L,CNAG_01551,462
CNAG_01683L,CNAG_01683,85
CNAG_01983L,CNAG_01983,85
CNAG_01902L,CNAG_01902,17
CNAG_01680L,CNAG_01680,91
CNAG_01621L,CNAG_01621,95
CNAG_01988L,CNAG_01988,64
CNAG_01989L,CNAG_01989,97
CNAG_01939L,CNAG_01939,104
CNAG_01993L,CNAG_01993,103
CNAG_01992L,CNAG_01992,109
CNAG_01965L,CNAG_01965,102
CNAG_01562L,CNAG_01562,61
CNAG_01925L,CNAG_01925,108
CNAG_04756L,CNAG_04756,98
CNAG_04807L,CNAG_04807,74
CNAG_04837L,CNAG_04837,98
CNAG_04836L,CNAG_04836,79
CNAG_04737L,CNAG_04737,137
CNAG_04875L,CNAG_04875,211
CNAG_04874L,CNAG_04874,159
CNAG_04868L,CNAG_04868,15
CNAG_04752L,CNAG_04752,96
CNAG_04753L,CNAG_04753,1317
CNAG_04909L,CNAG_04909,118
CNAG_04908L,CNAG_04908,110
CNAG_04659L,CNAG_04659,89
CNAG_04623L,CNAG_04623,66
CNAG_04518L,CNAG_04518,101
CNAG_04517L,CNAG_04517,95
