Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,132
CNAG_05515L,CNAG_05515,348
CNAG_05641L,CNAG_05641,286
CNAG_05387L,CNAG_05387,391
CNAG_05590L,CNAG_05590,1930
CNAG_07869L,CNAG_07869,433
CNAG_05340L,CNAG_05340,193
CNAG_05638L,CNAG_05638,336
CNAG_05639L,CNAG_05639,279
CNAG_06346L,CNAG_06346,324
CNAG_06347L,CNAG_06347,273
CNAG_06517L,CNAG_06517,388
CNAG_07939L,CNAG_07939,358
CNAG_06493L,CNAG_06493,312
CNAG_06201L,CNAG_06201,320
CNAG_06104L,CNAG_06104,185
CNAG_06081L,CNAG_06081,336
CNAG_07902L,CNAG_07902,307
CNAG_06241L,CNAG_06241,183
CNAG_06242L,CNAG_06242,247
CNAG_06186L,CNAG_06186,539
CNAG_07911L,CNAG_07911,337
CNAG_01551L,CNAG_01551,665
CNAG_01683L,CNAG_01683,248
CNAG_01983L,CNAG_01983,335
CNAG_01902L,CNAG_01902,4
CNAG_01680L,CNAG_01680,296
CNAG_01621L,CNAG_01621,313
CNAG_01988L,CNAG_01988,221
CNAG_01989L,CNAG_01989,326
CNAG_01939L,CNAG_01939,368
CNAG_01993L,CNAG_01993,296
CNAG_01992L,CNAG_01992,400
CNAG_01965L,CNAG_01965,343
CNAG_01562L,CNAG_01562,321
CNAG_01925L,CNAG_01925,266
CNAG_04756L,CNAG_04756,401
CNAG_04807L,CNAG_04807,327
CNAG_04837L,CNAG_04837,390
CNAG_04836L,CNAG_04836,322
CNAG_04737L,CNAG_04737,461
CNAG_04875L,CNAG_04875,197
CNAG_04874L,CNAG_04874,738
CNAG_04868L,CNAG_04868,59
CNAG_04752L,CNAG_04752,279
CNAG_04753L,CNAG_04753,2811
CNAG_04909L,CNAG_04909,393
CNAG_04908L,CNAG_04908,421
CNAG_04659L,CNAG_04659,249
CNAG_04623L,CNAG_04623,262
CNAG_04518L,CNAG_04518,237
CNAG_04517L,CNAG_04517,295
CNAG_07770L,CNAG_07770,370
CNAG_04436L,CNAG_04436,211
CNAG_04271L,CNAG_04271,259
CNAG_04270L,CNAG_04270,108
CNAG_03346L,CNAG_03346,307
CNAG_03433L,CNAG_03433,348
CNAG_03333L,CNAG_03333,379
CNAG_07742L,CNAG_07742,1075
CNAG_03438L,CNAG_03438,86
CNAG_03223L,CNAG_03223,369
CNAG_03142L,CNAG_03142,293
CNAG_03143L,CNAG_03143,270
CNAG_03545L,CNAG_03545,393
CNAG_03161L,CNAG_03161,103
CNAG_03566L,CNAG_03566,330
CNAG_05835L,CNAG_05835,545
CNAG_05864L,CNAG_05864,295
CNAG_06567L,CNAG_06567,330
CNAG_05742L,CNAG_05742,6
CNAG_05743L,CNAG_05743,124
CNAG_05867L,CNAG_05867,235
CNAG_05685L,CNAG_05685,832
CNAG_05684L,CNAG_05684,352
CNAG_05785L,CNAG_05785,281
CNAG_05843L,CNAG_05843,1
CNAG_06554L,CNAG_06554,300
CNAG_02189L,CNAG_02189,282
CNAG_02188L,CNAG_02188,343
CNAG_02182L,CNAG_02182,271
CNAG_07631L,CNAG_07631,354
CNAG_02371L,CNAG_02371,293
CNAG_07633L,CNAG_07633,268
CNAG_01069L,CNAG_01069,315
CNAG_00896L,CNAG_00896,1288
CNAG_06719L,CNAG_06719,98
CNAG_03669L,CNAG_03669,180
CNAG_00031L,CNAG_00031,369
CNAG_07332L,CNAG_07332,210
CNAG_00285L,CNAG_00285,332
CNAG_00828L,CNAG_00828,317
CNAG_00830L,CNAG_00830,305
CNAG_00841L,CNAG_00841,339
CNAG_02774L,CNAG_02774,228
CNAG_06531L,CNAG_06531,544
CNAG_03279L,CNAG_03279,376
CNAG_03336L,CNAG_03336,406
CNAG_06339L,CNAG_06339,385
CNAG_03768L,CNAG_03768,318
CNAG_04534L,CNAG_04534,307
CNAG_07867L,CNAG_07867,328
CNAG_05333L,CNAG_05333,389
CNAG_06425L,CNAG_06425,394
CNAG_03849L,CNAG_03849,625
CNAG_02603L,CNAG_02603,338
CNAG_02555L,CNAG_02555,301
CNAG_03431L,CNAG_03431,352
CNAG_05049L,CNAG_05049,183
CNAG_05380L,CNAG_05380,413
CNAG_03914L,CNAG_03914,10
CNAG_02476L,CNAG_02476,285
CNAG_07583L,CNAG_07583,294
CNAG_02466L,CNAG_02466,257
CNAG_05112L,CNAG_05112,315
CNAG_03366L,CNAG_03366,392
CNAG_03977L,CNAG_03977,199
CNAG_04090L,CNAG_04090,303
CNAG_00791L,CNAG_00791,189
CNAG_06751L,CNAG_06751,203
CNAG_05375L,CNAG_05375,4467
CNAG_02516L,CNAG_02516,351
CNAG_04804L,CNAG_04804,1
CNAG_00627L,CNAG_00627,337
CNAG_07725L,CNAG_07725,362
CNAG_06203L,CNAG_06203,246
CNAG_00193L,CNAG_00193,1
CNAG_00514L,CNAG_00514,4
CNAG_01883L,CNAG_01883,822
CNAG_03401L,CNAG_03401,275
CNAG_02435L,CNAG_02435,298
CNAG_05153L,CNAG_05153,14
CNAG_01708L,CNAG_01708,557
CNAG_03700L,CNAG_03700,293
CNAG_07320L,CNAG_07320,75
CNAG_05215L,CNAG_05215,311
CNAG_01438L,CNAG_01438,178
CNAG_07464L,CNAG_07464,290
CNAG_01858L,CNAG_01858,428
CNAG_04586L,CNAG_04586,510
CNAG_05093L,CNAG_05093,322
CNAG_05176L,CNAG_05176,292
CNAG_01014L,CNAG_01014,200
CNAG_00998L,CNAG_00998,370
CNAG_00039L,CNAG_00039,554
CNAG_07329L,CNAG_07329,13
CNAG_01454L,CNAG_01454,327
CNAG_02700L,CNAG_02700,32
CNAG_06327L,CNAG_06327,34
CNAG_03788L,CNAG_03788,408
CNAG_00871L,CNAG_00871,427
CNAG_00559L,CNAG_00559,5570
CNAG_07370L,CNAG_07370,447
CNAG_00732L,CNAG_00732,355
CNAG_04630L,CNAG_04630,87
CNAG_07940L,CNAG_07940,453
CNAG_02589L,CNAG_02589,355
CNAG_05067L,CNAG_05067,416
CNAG_01645L,CNAG_01645,931
CNAG_06134L,CNAG_06134,2
CNAG_01242L,CNAG_01242,242
CNAG_02788L,CNAG_02788,24
CNAG_07435L,CNAG_07435,31
CNAG_03998L,CNAG_03998,101
CNAG_07924L,CNAG_07924,512
CNAG_01071L,CNAG_01071,267
CNAG_00883L,CNAG_00883,259
CNAG_03741L,CNAG_03741,226
CNAG_03745L,CNAG_03745,427
CNAG_00192L,CNAG_00192,314
CNAG_00670L,CNAG_00670,291
CNAG_06871L,CNAG_06871,414
CNAG_04457L,CNAG_04457,311
CNAG_02723L,CNAG_02723,358
CNAG_04588L,CNAG_04588,99
CNAG_01977L,CNAG_01977,266
CNAG_03894L,CNAG_03894,401
CNAG_04012L,CNAG_04012,305
CNAG_03561L,CNAG_03561,180
CNAG_05170L,CNAG_05170,202
CNAG_04041L,CNAG_04041,79
CNAG_02364L,CNAG_02364,336
CNAG_04093L,CNAG_04093,443
CNAG_02322L,CNAG_02322,362
CNAG_04184L,CNAG_04184,287
CNAG_05255L,CNAG_05255,373
CNAG_05642L,CNAG_05642,250
CNAG_03059L,CNAG_03059,294
CNAG_03018L,CNAG_03018,226
CNAG_07901L,CNAG_07901,318
CNAG_03086L,CNAG_03086,378
CNAG_04916L,CNAG_04916,246
CNAG_06097L,CNAG_06097,963
CNAG_03115L,CNAG_03115,306
CNAG_03132L,CNAG_03132,347
CNAG_04841L,CNAG_04841,307
CNAG_06136L,CNAG_06136,294
CNAG_03177L,CNAG_03177,795
CNAG_03183L,CNAG_03183,177
CNAG_06188L,CNAG_06188,309
CNAG_02877L,CNAG_02877,219
CNAG_04359L,CNAG_04359,786
CNAG_04774L,CNAG_04774,519
CNAG_04768L,CNAG_04768,217
CNAG_02066L,CNAG_02066,307
CNAG_07922L,CNAG_07922,324
CNAG_06276L,CNAG_06276,347
CNAG_05222L,CNAG_05222,345
CNAG_03409L,CNAG_03409,438
CNAG_05622L,CNAG_05622,665
CNAG_04637L,CNAG_04637,239
CNAG_07680L,CNAG_07680,79
CNAG_02215L,CNAG_02215,34
CNAG_00564L,CNAG_00564,189
CNAG_02387L,CNAG_02387,235
CNAG_04086L,CNAG_04086,476
CNAG_05697L,CNAG_05697,461
CNAG_02697L,CNAG_02697,225
CNAG_06205L,CNAG_06205,309
CNAG_05372L,CNAG_05372,186
CNAG_04507L,CNAG_04507,299
CNAG_04506L,CNAG_04506,343
CNAG_00068L,CNAG_00068,4713
CNAG_05138L,CNAG_05138,146
CNAG_00733L,CNAG_00733,431
CNAG_03910L,CNAG_03910,357
CNAG_04059L,CNAG_04059,1510
CNAG_07491L,CNAG_07491,461
CNAG_05181L,CNAG_05181,256
CNAG_03915L,CNAG_03915,263
CNAG_03772L,CNAG_03772,309
CNAG_00445L,CNAG_00445,479
CNAG_01901L,CNAG_01901,342
CNAG_05313L,CNAG_05313,13
CNAG_05312L,CNAG_05312,330
CNAG_03012L,CNAG_03012,216
CNAG_03011L,CNAG_03011,289
CNAG_00337L,CNAG_00337,1
CNAG_06200L,CNAG_06200,377
CNAG_02682L,CNAG_02682,309
CNAG_02683L,CNAG_02683,315
CNAG_00442L,CNAG_00442,347
CNAG_00183L,CNAG_00183,135
CNAG_07548L,CNAG_07548,2297
CNAG_01277L,CNAG_01277,464
CNAG_07512L,CNAG_07512,480
CNAG_01230L,CNAG_01230,193
CNAG_05264L,CNAG_05264,439
CNAG_05263L,CNAG_05263,318
CNAG_01681L,CNAG_01681,267
CNAG_01040L,CNAG_01040,678
CNAG_00179L,CNAG_00179,355
CNAG_00547L,CNAG_00547,352
CNAG_00598L,CNAG_00598,366
CNAG_05229L,CNAG_05229,259
CNAG_01138L,CNAG_01138,272
CNAG_00597L,CNAG_00597,322
CNAG_02797L,CNAG_02797,98
CNAG_02219L,CNAG_02219,375
CNAG_02220L,CNAG_02220,322
CNAG_00674L,CNAG_00674,334
CNAG_03013L,CNAG_03013,83
CNAG_07540L,CNAG_07540,671
CNAG_04981L,CNAG_04981,251
CNAG_04980L,CNAG_04980,56
CNAG_00456L,CNAG_00456,354
CNAG_00455L,CNAG_00455,450
CNAG_02152L,CNAG_02152,340
CNAG_00107L,CNAG_00107,317
CNAG_00106L,CNAG_00106,1744
CNAG_01061L,CNAG_01061,361
CNAG_03847L,CNAG_03847,311
CNAG_03848L,CNAG_03848,290
CNAG_01013L,CNAG_01013,42
CNAG_02777L,CNAG_02777,345
CNAG_07523L,CNAG_07523,262
CNAG_04990L,CNAG_04990,1
CNAG_04991L,CNAG_04991,183
CNAG_00531L,CNAG_00531,334
CNAG_05159L,CNAG_05159,344
CNAG_05079L,CNAG_05079,499
CNAG_05080L,CNAG_05080,303
CNAG_04869L,CNAG_04869,376
CNAG_00164L,CNAG_00164,222
CNAG_04077L,CNAG_04077,327
CNAG_01082L,CNAG_01082,328
CNAG_04658L,CNAG_04658,354
CNAG_03727L,CNAG_03727,298
CNAG_03676L,CNAG_03676,358
CNAG_03677L,CNAG_03677,379
CNAG_03841L,CNAG_03841,59
CNAG_06761L,CNAG_06761,261
CNAG_06760L,CNAG_06760,258
CNAG_05076L,CNAG_05076,79
CNAG_05077L,CNAG_05077,133
CNAG_02553L,CNAG_02553,282
CNAG_02554L,CNAG_02554,2298
CNAG_00546L,CNAG_00546,332
CNAG_00702L,CNAG_00702,465
CNAG_00897L,CNAG_00897,348
CNAG_05148L,CNAG_05148,248
CNAG_05147L,CNAG_05147,312
CNAG_01126L,CNAG_01126,53
CNAG_00776L,CNAG_00776,97
CNAG_01446L,CNAG_01446,371
CNAG_04024L,CNAG_04024,459
CNAG_04025L,CNAG_04025,342
CNAG_02348L,CNAG_02348,471
CNAG_02347L,CNAG_02347,572
CNAG_00394L,CNAG_00394,459
CNAG_00393L,CNAG_00393,540
CNAG_06555L,CNAG_06555,325
CNAG_01019L,CNAG_01019,54
CNAG_01803L,CNAG_01803,477
CNAG_00374L,CNAG_00374,229
CNAG_00654L,CNAG_00654,263
CNAG_07541L,CNAG_07541,222
CNAG_07542L,CNAG_07542,360
CNAG_00363L,CNAG_00363,131
CNAG_05915L,CNAG_05915,409
CNAG_05916L,CNAG_05916,372
CNAG_00917L,CNAG_00917,1504
CNAG_00919L,CNAG_00919,387
CNAG_05458L,CNAG_05458,535
CNAG_05459L,CNAG_05459,401
CNAG_01985L,CNAG_01985,222
CNAG_00740L,CNAG_00740,7
CNAG_04163L,CNAG_04163,53
CNAG_04162L,CNAG_04162,120
CNAG_04755L,CNAG_04755,68
CNAG_01777L,CNAG_01777,253
CNAG_01778L,CNAG_01778,309
CNAG_05889L,CNAG_05889,204
CNAG_05888L,CNAG_05888,261
CNAG_04217L,CNAG_04217,346
CNAG_03173L,CNAG_03173,302
CNAG_03172L,CNAG_03172,399
CNAG_07388L,CNAG_07388,330
CNAG_07389L,CNAG_07389,311
CNAG_03644L,CNAG_03644,277
CNAG_06785L,CNAG_06785,314
CNAG_06060L,CNAG_06060,257
CNAG_00581L,CNAG_00581,219
CNAG_02044L,CNAG_02044,386
CNAG_02045L,CNAG_02045,442
CNAG_04950L,CNAG_04950,335
CNAG_04949L,CNAG_04949,363
CNAG_01865L,CNAG_01865,368
CNAG_05870L,CNAG_05870,252
CNAG_00717L,CNAG_00717,119
CNAG_06926L,CNAG_06926,380
CNAG_06896L,CNAG_06896,135
CNAG_04631L,CNAG_04631,233
CNAG_05812L,CNAG_05812,345
CNAG_00079L,CNAG_00079,319
CNAG_06657L,CNAG_06657,341
CNAG_06658L,CNAG_06658,307
CNAG_05993L,CNAG_05993,310
CNAG_05994L,CNAG_05994,381
CNAG_04675L,CNAG_04675,2
CNAG_01318L,CNAG_01318,502
CNAG_05430L,CNAG_05430,214
CNAG_05429L,CNAG_05429,86
CNAG_02517L,CNAG_02517,416
CNAG_07419L,CNAG_07419,334
CNAG_02040L,CNAG_02040,340
CNAG_03328L,CNAG_03328,105
CNAG_03329L,CNAG_03329,214
CNAG_04471L,CNAG_04471,431
CNAG_04472L,CNAG_04472,392
CNAG_01920L,CNAG_01920,226
CNAG_01919L,CNAG_01919,349
CNAG_03075L,CNAG_03075,59
CNAG_03884L,CNAG_03884,44
CNAG_00699L,CNAG_00699,243
CNAG_02129L,CNAG_02129,359
CNAG_05352L,CNAG_05352,221
CNAG_02293L,CNAG_02293,1
CNAG_02292L,CNAG_02292,48
CNAG_07441L,CNAG_07441,728
CNAG_07442L,CNAG_07442,134
CNAG_01523L,CNAG_01523,2
CNAG_05415L,CNAG_05415,270
CNAG_03946L,CNAG_03946,392
CNAG_07486L,CNAG_07486,330
CNAG_07313L,CNAG_07313,314
CNAG_00126L,CNAG_00126,1845
CNAG_00710L,CNAG_00710,261
CNAG_00709L,CNAG_00709,391
CNAG_04186L,CNAG_04186,848
CNAG_03689L,CNAG_03689,277
CNAG_01704L,CNAG_01704,326
CNAG_04618L,CNAG_04618,390
CNAG_05290L,CNAG_05290,92
CNAG_07827L,CNAG_07827,251
CNAG_07516L,CNAG_07516,302
CNAG_02849L,CNAG_02849,324
CNAG_00156L,CNAG_00156,603
CNAG_00157L,CNAG_00157,285
CNAG_04891L,CNAG_04891,330
CNAG_04992L,CNAG_04992,179
CNAG_02090L,CNAG_02090,365
CNAG_01776L,CNAG_01776,305
CNAG_07605L,CNAG_07605,320
CNAG_01846L,CNAG_01846,392
CNAG_02539L,CNAG_02539,328
CNAG_02540L,CNAG_02540,344
CNAG_01701L,CNAG_01701,329
CNAG_03572L,CNAG_03572,322
CNAG_00798L,CNAG_00798,304
CNAG_00799L,CNAG_00799,211
CNAG_02850L,CNAG_02850,181
