Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,43
CNAG_05515L,CNAG_05515,44
CNAG_05641L,CNAG_05641,49
CNAG_05387L,CNAG_05387,83
CNAG_05590L,CNAG_05590,1971
CNAG_07869L,CNAG_07869,69
CNAG_05340L,CNAG_05340,53
CNAG_05638L,CNAG_05638,63
CNAG_05639L,CNAG_05639,51
CNAG_06346L,CNAG_06346,65
CNAG_06347L,CNAG_06347,77
CNAG_06517L,CNAG_06517,57
CNAG_07939L,CNAG_07939,49
CNAG_06493L,CNAG_06493,43
CNAG_06201L,CNAG_06201,53
CNAG_06104L,CNAG_06104,45
CNAG_06081L,CNAG_06081,45
CNAG_07902L,CNAG_07902,66
CNAG_06241L,CNAG_06241,24
CNAG_06242L,CNAG_06242,42
CNAG_06186L,CNAG_06186,310
CNAG_07911L,CNAG_07911,64
CNAG_01551L,CNAG_01551,551
CNAG_01683L,CNAG_01683,40
CNAG_01983L,CNAG_01983,40
CNAG_01902L,CNAG_01902,47
CNAG_01680L,CNAG_01680,72
CNAG_01621L,CNAG_01621,54
CNAG_01988L,CNAG_01988,38
CNAG_01989L,CNAG_01989,51
CNAG_01939L,CNAG_01939,58
CNAG_01993L,CNAG_01993,63
CNAG_01992L,CNAG_01992,91
CNAG_01965L,CNAG_01965,66
CNAG_01562L,CNAG_01562,90
CNAG_01925L,CNAG_01925,57
CNAG_04756L,CNAG_04756,76
CNAG_04807L,CNAG_04807,79
CNAG_04837L,CNAG_04837,75
CNAG_04836L,CNAG_04836,65
CNAG_04737L,CNAG_04737,89
CNAG_04875L,CNAG_04875,116
CNAG_04874L,CNAG_04874,148
CNAG_04868L,CNAG_04868,13
CNAG_04752L,CNAG_04752,55
CNAG_04753L,CNAG_04753,2032
CNAG_04909L,CNAG_04909,59
CNAG_04908L,CNAG_04908,72
CNAG_04659L,CNAG_04659,40
CNAG_04623L,CNAG_04623,50
CNAG_04518L,CNAG_04518,81
CNAG_04517L,CNAG_04517,50
CNAG_07770L,CNAG_07770,98
CNAG_04436L,CNAG_04436,30
CNAG_04271L,CNAG_04271,103
CNAG_04270L,CNAG_04270,14
CNAG_03346L,CNAG_03346,36
CNAG_03433L,CNAG_03433,86
CNAG_03333L,CNAG_03333,69
CNAG_07742L,CNAG_07742,259
CNAG_03438L,CNAG_03438,16
CNAG_03223L,CNAG_03223,95
CNAG_03142L,CNAG_03142,43
CNAG_03143L,CNAG_03143,53
CNAG_03545L,CNAG_03545,92
CNAG_03161L,CNAG_03161,64
CNAG_03566L,CNAG_03566,62
CNAG_05835L,CNAG_05835,768
CNAG_05864L,CNAG_05864,96
CNAG_06567L,CNAG_06567,45
CNAG_05742L,CNAG_05742,1
CNAG_05743L,CNAG_05743,39
CNAG_05867L,CNAG_05867,41
CNAG_05685L,CNAG_05685,199
CNAG_05684L,CNAG_05684,47
CNAG_05785L,CNAG_05785,60
CNAG_05843L,CNAG_05843,1
CNAG_06554L,CNAG_06554,52
CNAG_02189L,CNAG_02189,60
CNAG_02188L,CNAG_02188,49
CNAG_02182L,CNAG_02182,53
CNAG_07631L,CNAG_07631,122
CNAG_02371L,CNAG_02371,24
CNAG_07633L,CNAG_07633,53
CNAG_01069L,CNAG_01069,42
CNAG_00896L,CNAG_00896,361
CNAG_06719L,CNAG_06719,16
CNAG_03669L,CNAG_03669,18
CNAG_00031L,CNAG_00031,49
CNAG_07332L,CNAG_07332,67
CNAG_00285L,CNAG_00285,61
CNAG_00828L,CNAG_00828,52
CNAG_00830L,CNAG_00830,43
CNAG_00841L,CNAG_00841,53
CNAG_02774L,CNAG_02774,33
CNAG_06531L,CNAG_06531,127
CNAG_03279L,CNAG_03279,63
CNAG_03336L,CNAG_03336,68
CNAG_06339L,CNAG_06339,67
CNAG_03768L,CNAG_03768,58
CNAG_04534L,CNAG_04534,58
CNAG_01973L,CNAG_01973,4
CNAG_07867L,CNAG_07867,58
CNAG_05333L,CNAG_05333,59
CNAG_06425L,CNAG_06425,156
CNAG_03849L,CNAG_03849,76
CNAG_02603L,CNAG_02603,66
CNAG_02555L,CNAG_02555,65
CNAG_03431L,CNAG_03431,65
CNAG_05049L,CNAG_05049,29
CNAG_05380L,CNAG_05380,87
CNAG_02476L,CNAG_02476,71
CNAG_07583L,CNAG_07583,51
CNAG_02466L,CNAG_02466,76
CNAG_05112L,CNAG_05112,68
CNAG_03366L,CNAG_03366,81
CNAG_03977L,CNAG_03977,57
CNAG_04090L,CNAG_04090,38
CNAG_00791L,CNAG_00791,42
CNAG_06751L,CNAG_06751,28
CNAG_05375L,CNAG_05375,1203
CNAG_02516L,CNAG_02516,80
CNAG_04804L,CNAG_04804,1
CNAG_00627L,CNAG_00627,37
CNAG_07725L,CNAG_07725,62
CNAG_06203L,CNAG_06203,30
CNAG_00193L,CNAG_00193,1
CNAG_00514L,CNAG_00514,12
CNAG_01883L,CNAG_01883,149
CNAG_03401L,CNAG_03401,26
CNAG_02435L,CNAG_02435,66
CNAG_05153L,CNAG_05153,46
CNAG_01708L,CNAG_01708,561
CNAG_03700L,CNAG_03700,67
CNAG_07320L,CNAG_07320,41
CNAG_05215L,CNAG_05215,71
CNAG_01438L,CNAG_01438,42
CNAG_07464L,CNAG_07464,61
CNAG_01858L,CNAG_01858,65
CNAG_04586L,CNAG_04586,180
CNAG_05093L,CNAG_05093,44
CNAG_05176L,CNAG_05176,112
CNAG_01014L,CNAG_01014,19
CNAG_00998L,CNAG_00998,65
CNAG_00039L,CNAG_00039,79
CNAG_07329L,CNAG_07329,2
CNAG_01454L,CNAG_01454,62
CNAG_02700L,CNAG_02700,2
CNAG_06327L,CNAG_06327,5
CNAG_03788L,CNAG_03788,130
CNAG_00871L,CNAG_00871,84
CNAG_00559L,CNAG_00559,755
CNAG_07370L,CNAG_07370,100
CNAG_00732L,CNAG_00732,104
CNAG_04630L,CNAG_04630,9
CNAG_07940L,CNAG_07940,187
CNAG_02589L,CNAG_02589,68
CNAG_05067L,CNAG_05067,55
CNAG_01645L,CNAG_01645,167
CNAG_06134L,CNAG_06134,1
CNAG_01242L,CNAG_01242,96
CNAG_02788L,CNAG_02788,15
CNAG_07435L,CNAG_07435,131
CNAG_03998L,CNAG_03998,19
CNAG_07924L,CNAG_07924,253
CNAG_01071L,CNAG_01071,74
CNAG_00883L,CNAG_00883,84
CNAG_03741L,CNAG_03741,33
CNAG_03745L,CNAG_03745,69
CNAG_00192L,CNAG_00192,62
CNAG_00670L,CNAG_00670,70
CNAG_06871L,CNAG_06871,89
CNAG_04457L,CNAG_04457,77
CNAG_02723L,CNAG_02723,77
CNAG_04588L,CNAG_04588,21
CNAG_01977L,CNAG_01977,64
CNAG_03894L,CNAG_03894,84
CNAG_04012L,CNAG_04012,72
CNAG_03561L,CNAG_03561,20
CNAG_05170L,CNAG_05170,31
CNAG_04041L,CNAG_04041,62
CNAG_02364L,CNAG_02364,63
CNAG_04093L,CNAG_04093,65
CNAG_02322L,CNAG_02322,70
CNAG_04184L,CNAG_04184,54
CNAG_05255L,CNAG_05255,70
CNAG_05642L,CNAG_05642,118
CNAG_03059L,CNAG_03059,54
CNAG_03018L,CNAG_03018,46
CNAG_07901L,CNAG_07901,74
CNAG_03086L,CNAG_03086,84
CNAG_04916L,CNAG_04916,45
CNAG_06097L,CNAG_06097,3936
CNAG_03115L,CNAG_03115,54
CNAG_03132L,CNAG_03132,61
CNAG_04841L,CNAG_04841,33
CNAG_06136L,CNAG_06136,42
CNAG_03177L,CNAG_03177,110
CNAG_03183L,CNAG_03183,178
CNAG_06188L,CNAG_06188,54
CNAG_02877L,CNAG_02877,39
CNAG_04359L,CNAG_04359,186
CNAG_04774L,CNAG_04774,168
CNAG_04768L,CNAG_04768,24
CNAG_02066L,CNAG_02066,59
CNAG_07922L,CNAG_07922,53
CNAG_06276L,CNAG_06276,63
CNAG_05222L,CNAG_05222,718
CNAG_03409L,CNAG_03409,525
CNAG_05622L,CNAG_05622,183
CNAG_04637L,CNAG_04637,48
CNAG_07680L,CNAG_07680,252
CNAG_02215L,CNAG_02215,156
CNAG_00564L,CNAG_00564,30
CNAG_02387L,CNAG_02387,31
CNAG_04086L,CNAG_04086,71
CNAG_05697L,CNAG_05697,72
CNAG_02697L,CNAG_02697,29
CNAG_06205L,CNAG_06205,60
CNAG_05372L,CNAG_05372,23
CNAG_04507L,CNAG_04507,49
CNAG_04506L,CNAG_04506,60
CNAG_00068L,CNAG_00068,1006
CNAG_05138L,CNAG_05138,30
CNAG_00733L,CNAG_00733,108
CNAG_03910L,CNAG_03910,54
CNAG_04059L,CNAG_04059,321
CNAG_07491L,CNAG_07491,148
CNAG_05181L,CNAG_05181,78
CNAG_03915L,CNAG_03915,71
CNAG_03772L,CNAG_03772,64
CNAG_00445L,CNAG_00445,98
CNAG_01901L,CNAG_01901,65
CNAG_05313L,CNAG_05313,5
CNAG_05312L,CNAG_05312,57
CNAG_03012L,CNAG_03012,29
CNAG_03011L,CNAG_03011,78
CNAG_00337L,CNAG_00337,1
CNAG_06200L,CNAG_06200,70
CNAG_02682L,CNAG_02682,90
CNAG_02683L,CNAG_02683,55
CNAG_00442L,CNAG_00442,78
CNAG_00183L,CNAG_00183,26
CNAG_07548L,CNAG_07548,430
CNAG_01277L,CNAG_01277,68
CNAG_07512L,CNAG_07512,75
CNAG_01230L,CNAG_01230,26
CNAG_05264L,CNAG_05264,107
CNAG_05263L,CNAG_05263,65
CNAG_01681L,CNAG_01681,54
CNAG_01040L,CNAG_01040,126
CNAG_00179L,CNAG_00179,51
CNAG_00547L,CNAG_00547,73
CNAG_00598L,CNAG_00598,48
CNAG_05229L,CNAG_05229,47
CNAG_01138L,CNAG_01138,34
CNAG_00597L,CNAG_00597,60
CNAG_02797L,CNAG_02797,52
CNAG_02219L,CNAG_02219,61
CNAG_02220L,CNAG_02220,44
CNAG_00674L,CNAG_00674,74
CNAG_03013L,CNAG_03013,14
CNAG_07540L,CNAG_07540,168
CNAG_04981L,CNAG_04981,55
CNAG_04980L,CNAG_04980,103
CNAG_00456L,CNAG_00456,79
CNAG_00455L,CNAG_00455,85
CNAG_02152L,CNAG_02152,71
CNAG_00107L,CNAG_00107,61
CNAG_00106L,CNAG_00106,425
CNAG_01061L,CNAG_01061,84
CNAG_03847L,CNAG_03847,56
CNAG_03848L,CNAG_03848,52
CNAG_01013L,CNAG_01013,6
CNAG_02777L,CNAG_02777,60
CNAG_07523L,CNAG_07523,34
CNAG_04990L,CNAG_04990,1
CNAG_04991L,CNAG_04991,41
CNAG_00531L,CNAG_00531,55
CNAG_05159L,CNAG_05159,55
CNAG_05079L,CNAG_05079,97
CNAG_05080L,CNAG_05080,61
CNAG_04869L,CNAG_04869,85
CNAG_00164L,CNAG_00164,54
CNAG_04077L,CNAG_04077,57
CNAG_01082L,CNAG_01082,56
CNAG_04658L,CNAG_04658,74
CNAG_03727L,CNAG_03727,62
CNAG_03676L,CNAG_03676,57
CNAG_03677L,CNAG_03677,83
CNAG_03841L,CNAG_03841,15
CNAG_06761L,CNAG_06761,47
CNAG_06760L,CNAG_06760,50
CNAG_05076L,CNAG_05076,14
CNAG_05077L,CNAG_05077,22
CNAG_02553L,CNAG_02553,67
CNAG_02554L,CNAG_02554,1072
CNAG_00546L,CNAG_00546,56
CNAG_00702L,CNAG_00702,171
CNAG_00897L,CNAG_00897,47
CNAG_05148L,CNAG_05148,47
CNAG_05147L,CNAG_05147,57
CNAG_01126L,CNAG_01126,43
CNAG_00776L,CNAG_00776,16
CNAG_01446L,CNAG_01446,84
CNAG_04024L,CNAG_04024,74
CNAG_04025L,CNAG_04025,54
CNAG_02348L,CNAG_02348,143
CNAG_02347L,CNAG_02347,120
