Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,83
CNAG_05387R,CNAG_05387,149
CNAG_05638R,CNAG_05638,84
CNAG_05639R,CNAG_05639,82
CNAG_06346R,CNAG_06346,97
CNAG_06347R,CNAG_06347,79
CNAG_06517R,CNAG_06517,104
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,94
CNAG_06104R,CNAG_06104,96
CNAG_07902R,CNAG_07902,132
CNAG_06241R,CNAG_06241,58
CNAG_06242R,CNAG_06242,95
CNAG_07911R,CNAG_07911,107
CNAG_01683R,CNAG_01683,114
CNAG_01902R,CNAG_01902,84
CNAG_01680R,CNAG_01680,99
CNAG_01989R,CNAG_01989,71
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,99
CNAG_01925R,CNAG_01925,105
CNAG_04837R,CNAG_04837,111
CNAG_04836R,CNAG_04836,108
CNAG_04875R,CNAG_04875,280
CNAG_04868R,CNAG_04868,13
CNAG_04753R,CNAG_04753,3
CNAG_04518R,CNAG_04518,127
CNAG_04517R,CNAG_04517,75
CNAG_07770R,CNAG_07770,127
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,115
CNAG_07742R,CNAG_07742,220
CNAG_03142R,CNAG_03142,97
CNAG_03566R,CNAG_03566,104
CNAG_05835R,CNAG_05835,1
CNAG_05867R,CNAG_05867,68
CNAG_05684R,CNAG_05684,116
CNAG_02189R,CNAG_02189,73
CNAG_02371R,CNAG_02371,67
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,63
CNAG_03669R,CNAG_03669,27
CNAG_07332R,CNAG_07332,63
CNAG_00285R,CNAG_00285,99
CNAG_00830R,CNAG_00830,74
CNAG_00841R,CNAG_00841,124
CNAG_06531R,CNAG_06531,225
CNAG_03279R,CNAG_03279,110
CNAG_03336R,CNAG_03336,95
CNAG_06339R,CNAG_06339,132
CNAG_03768R,CNAG_03768,82
CNAG_04534R,CNAG_04534,108
CNAG_01973R,CNAG_01973,59
CNAG_07867R,CNAG_07867,99
CNAG_05333R,CNAG_05333,122
CNAG_06425R,CNAG_06425,281
CNAG_03849R,CNAG_03849,66
CNAG_02603R,CNAG_02603,100
CNAG_02555R,CNAG_02555,97
CNAG_02525R,CNAG_02525,57
CNAG_03431R,CNAG_03431,90
CNAG_05049R,CNAG_05049,60
CNAG_03914R,CNAG_03914,5
CNAG_02476R,CNAG_02476,61
CNAG_07583R,CNAG_07583,98
CNAG_05112R,CNAG_05112,81
CNAG_03366R,CNAG_03366,98
CNAG_04090R,CNAG_04090,68
CNAG_00791R,CNAG_00791,59
CNAG_05375R,CNAG_05375,2086
CNAG_02516R,CNAG_02516,89
CNAG_06203R,CNAG_06203,51
CNAG_01883R,CNAG_01883,251
CNAG_03401R,CNAG_03401,73
CNAG_02435R,CNAG_02435,84
CNAG_05153R,CNAG_05153,47
CNAG_01708R,CNAG_01708,795
CNAG_03700R,CNAG_03700,87
CNAG_05215R,CNAG_05215,117
CNAG_01438R,CNAG_01438,79
CNAG_07464R,CNAG_07464,97
CNAG_01858R,CNAG_01858,79
