Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,282
CNAG_05387R,CNAG_05387,296
CNAG_05638R,CNAG_05638,192
CNAG_05639R,CNAG_05639,158
CNAG_06346R,CNAG_06346,236
CNAG_06347R,CNAG_06347,183
CNAG_06517R,CNAG_06517,234
CNAG_06201R,CNAG_06201,175
CNAG_06104R,CNAG_06104,110
CNAG_07902R,CNAG_07902,192
CNAG_06241R,CNAG_06241,140
CNAG_06242R,CNAG_06242,147
CNAG_07911R,CNAG_07911,182
CNAG_01683R,CNAG_01683,184
CNAG_01902R,CNAG_01902,14
CNAG_01680R,CNAG_01680,175
CNAG_01989R,CNAG_01989,177
CNAG_01965R,CNAG_01965,170
CNAG_01925R,CNAG_01925,152
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,192
CNAG_04836R,CNAG_04836,196
CNAG_04875R,CNAG_04875,154
CNAG_04868R,CNAG_04868,62
CNAG_04753R,CNAG_04753,3
CNAG_04518R,CNAG_04518,146
CNAG_04517R,CNAG_04517,168
CNAG_07770R,CNAG_07770,227
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,300
CNAG_07742R,CNAG_07742,464
CNAG_03142R,CNAG_03142,163
CNAG_03566R,CNAG_03566,216
CNAG_05867R,CNAG_05867,118
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,282
CNAG_02189R,CNAG_02189,216
CNAG_02371R,CNAG_02371,123
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,164
CNAG_03669R,CNAG_03669,197
CNAG_07332R,CNAG_07332,134
CNAG_00285R,CNAG_00285,225
CNAG_00830R,CNAG_00830,169
CNAG_00841R,CNAG_00841,203
CNAG_06531R,CNAG_06531,312
CNAG_03279R,CNAG_03279,211
CNAG_03336R,CNAG_03336,257
CNAG_06339R,CNAG_06339,266
CNAG_03768R,CNAG_03768,253
CNAG_04534R,CNAG_04534,198
CNAG_01973R,CNAG_01973,127
CNAG_07867R,CNAG_07867,181
CNAG_05333R,CNAG_05333,189
CNAG_06425R,CNAG_06425,166
CNAG_03849R,CNAG_03849,210
CNAG_02603R,CNAG_02603,158
CNAG_02555R,CNAG_02555,247
CNAG_02525R,CNAG_02525,43
CNAG_03431R,CNAG_03431,122
CNAG_05049R,CNAG_05049,130
CNAG_03914R,CNAG_03914,194
CNAG_02476R,CNAG_02476,165
CNAG_07583R,CNAG_07583,217
CNAG_05112R,CNAG_05112,166
CNAG_03366R,CNAG_03366,290
CNAG_04090R,CNAG_04090,227
CNAG_00791R,CNAG_00791,167
CNAG_05375R,CNAG_05375,3093
CNAG_02516R,CNAG_02516,155
CNAG_04804R,CNAG_04804,158
CNAG_06203R,CNAG_06203,195
CNAG_01883R,CNAG_01883,253
CNAG_03401R,CNAG_03401,159
CNAG_02435R,CNAG_02435,134
CNAG_05153R,CNAG_05153,1
CNAG_01708R,CNAG_01708,161
CNAG_03700R,CNAG_03700,211
CNAG_05215R,CNAG_05215,132
CNAG_01438R,CNAG_01438,123
CNAG_07464R,CNAG_07464,61
CNAG_01858R,CNAG_01858,292
CNAG_04586R,CNAG_04586,418
CNAG_05176R,CNAG_05176,180
CNAG_01014R,CNAG_01014,88
CNAG_00998R,CNAG_00998,2
CNAG_01454R,CNAG_01454,227
CNAG_06327R,CNAG_06327,39
CNAG_03788R,CNAG_03788,250
CNAG_00871R,CNAG_00871,216
CNAG_00559R,CNAG_00559,5156
CNAG_07370R,CNAG_07370,243
CNAG_02589R,CNAG_02589,178
CNAG_01645R,CNAG_01645,502
CNAG_01242R,CNAG_01242,117
CNAG_02788R,CNAG_02788,33
CNAG_07435R,CNAG_07435,4
CNAG_07924R,CNAG_07924,193
CNAG_01071R,CNAG_01071,176
CNAG_00883R,CNAG_00883,198
CNAG_03741R,CNAG_03741,146
CNAG_03745R,CNAG_03745,274
CNAG_00192R,CNAG_00192,208
CNAG_00670R,CNAG_00670,262
CNAG_06871R,CNAG_06871,217
CNAG_04457R,CNAG_04457,190
CNAG_04588R,CNAG_04588,102
CNAG_03894R,CNAG_03894,238
CNAG_04012R,CNAG_04012,204
