Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,170
CNAG_05515L,CNAG_05515,358
CNAG_05641L,CNAG_05641,318
CNAG_05387L,CNAG_05387,341
CNAG_05590L,CNAG_05590,1201
CNAG_07869L,CNAG_07869,297
CNAG_05340L,CNAG_05340,265
CNAG_05638L,CNAG_05638,278
CNAG_05639L,CNAG_05639,217
CNAG_06346L,CNAG_06346,355
CNAG_06347L,CNAG_06347,242
CNAG_06517L,CNAG_06517,362
CNAG_07939L,CNAG_07939,283
CNAG_06493L,CNAG_06493,216
CNAG_06201L,CNAG_06201,268
CNAG_06104L,CNAG_06104,273
CNAG_06081L,CNAG_06081,293
CNAG_07902L,CNAG_07902,246
CNAG_06241L,CNAG_06241,196
CNAG_06242L,CNAG_06242,245
CNAG_06186L,CNAG_06186,244
CNAG_07911L,CNAG_07911,367
CNAG_01551L,CNAG_01551,301
CNAG_01683L,CNAG_01683,249
CNAG_01983L,CNAG_01983,294
CNAG_01902L,CNAG_01902,33
CNAG_01680L,CNAG_01680,278
CNAG_01621L,CNAG_01621,217
CNAG_01988L,CNAG_01988,217
CNAG_01989L,CNAG_01989,261
CNAG_01939L,CNAG_01939,282
CNAG_01993L,CNAG_01993,231
CNAG_01992L,CNAG_01992,253
CNAG_01965L,CNAG_01965,288
CNAG_01562L,CNAG_01562,199
CNAG_01925L,CNAG_01925,281
CNAG_04756L,CNAG_04756,251
CNAG_04807L,CNAG_04807,358
CNAG_04837L,CNAG_04837,265
CNAG_04836L,CNAG_04836,240
CNAG_04737L,CNAG_04737,316
CNAG_04875L,CNAG_04875,501
CNAG_04874L,CNAG_04874,642
CNAG_04868L,CNAG_04868,111
CNAG_04752L,CNAG_04752,232
CNAG_04753L,CNAG_04753,2117
CNAG_04909L,CNAG_04909,264
CNAG_04908L,CNAG_04908,311
CNAG_04659L,CNAG_04659,193
CNAG_04623L,CNAG_04623,279
CNAG_04518L,CNAG_04518,258
CNAG_04517L,CNAG_04517,241
CNAG_07770L,CNAG_07770,274
CNAG_04436L,CNAG_04436,197
CNAG_04271L,CNAG_04271,218
CNAG_04270L,CNAG_04270,213
CNAG_03346L,CNAG_03346,286
CNAG_03433L,CNAG_03433,268
CNAG_03333L,CNAG_03333,326
CNAG_07742L,CNAG_07742,753
CNAG_03438L,CNAG_03438,295
CNAG_03223L,CNAG_03223,206
CNAG_03142L,CNAG_03142,217
CNAG_03143L,CNAG_03143,237
CNAG_03545L,CNAG_03545,325
CNAG_03161L,CNAG_03161,167
CNAG_03566L,CNAG_03566,236
CNAG_05835L,CNAG_05835,331
CNAG_05864L,CNAG_05864,232
CNAG_06567L,CNAG_06567,348
CNAG_05742L,CNAG_05742,171
CNAG_05743L,CNAG_05743,119
CNAG_05867L,CNAG_05867,203
CNAG_05685L,CNAG_05685,803
CNAG_05684L,CNAG_05684,222
CNAG_05785L,CNAG_05785,231
CNAG_05843L,CNAG_05843,169
CNAG_06554L,CNAG_06554,282
CNAG_02189L,CNAG_02189,237
CNAG_02188L,CNAG_02188,262
CNAG_02182L,CNAG_02182,288
CNAG_07631L,CNAG_07631,354
CNAG_02371L,CNAG_02371,248
CNAG_07633L,CNAG_07633,214
CNAG_01069L,CNAG_01069,264
CNAG_00896L,CNAG_00896,826
CNAG_06719L,CNAG_06719,67
CNAG_03669L,CNAG_03669,283
CNAG_00031L,CNAG_00031,260
CNAG_07332L,CNAG_07332,208
CNAG_00285L,CNAG_00285,229
CNAG_00828L,CNAG_00828,254
CNAG_00830L,CNAG_00830,262
CNAG_00841L,CNAG_00841,294
CNAG_02774L,CNAG_02774,258
CNAG_06531L,CNAG_06531,420
CNAG_03279L,CNAG_03279,288
CNAG_03336L,CNAG_03336,460
CNAG_06339L,CNAG_06339,311
CNAG_03768L,CNAG_03768,302
CNAG_04534L,CNAG_04534,298
CNAG_01973L,CNAG_01973,13
CNAG_07867L,CNAG_07867,231
CNAG_05333L,CNAG_05333,246
CNAG_06425L,CNAG_06425,244
CNAG_03849L,CNAG_03849,654
CNAG_02603L,CNAG_02603,230
CNAG_02555L,CNAG_02555,260
CNAG_03431L,CNAG_03431,231
CNAG_05049L,CNAG_05049,166
CNAG_05380L,CNAG_05380,336
CNAG_03914L,CNAG_03914,287
CNAG_02476L,CNAG_02476,249
CNAG_07583L,CNAG_07583,194
CNAG_02466L,CNAG_02466,225
CNAG_05112L,CNAG_05112,285
CNAG_03366L,CNAG_03366,364
CNAG_03977L,CNAG_03977,198
CNAG_04090L,CNAG_04090,783
CNAG_00791L,CNAG_00791,244
CNAG_06751L,CNAG_06751,196
CNAG_05375L,CNAG_05375,4915
CNAG_02516L,CNAG_02516,273
CNAG_04804L,CNAG_04804,229
CNAG_00627L,CNAG_00627,295
CNAG_07725L,CNAG_07725,322
CNAG_06203L,CNAG_06203,304
CNAG_00193L,CNAG_00193,276
CNAG_00514L,CNAG_00514,22
CNAG_01883L,CNAG_01883,411
CNAG_03401L,CNAG_03401,257
CNAG_02435L,CNAG_02435,248
CNAG_05153L,CNAG_05153,66
CNAG_01708L,CNAG_01708,228
CNAG_01841L,CNAG_01841,1
CNAG_03700L,CNAG_03700,335
CNAG_07320L,CNAG_07320,72
CNAG_05215L,CNAG_05215,203
CNAG_01438L,CNAG_01438,201
CNAG_07464L,CNAG_07464,233
CNAG_01858L,CNAG_01858,390
CNAG_04586L,CNAG_04586,264
CNAG_05093L,CNAG_05093,269
CNAG_05176L,CNAG_05176,199
CNAG_01014L,CNAG_01014,192
CNAG_00998L,CNAG_00998,182
CNAG_00039L,CNAG_00039,494
CNAG_07329L,CNAG_07329,47
CNAG_01454L,CNAG_01454,260
CNAG_02700L,CNAG_02700,26
CNAG_06327L,CNAG_06327,207
CNAG_03788L,CNAG_03788,256
CNAG_00871L,CNAG_00871,304
CNAG_00559L,CNAG_00559,10141
CNAG_07370L,CNAG_07370,380
CNAG_00732L,CNAG_00732,348
CNAG_04630L,CNAG_04630,326
CNAG_07940L,CNAG_07940,301
CNAG_02589L,CNAG_02589,289
CNAG_05067L,CNAG_05067,323
CNAG_01645L,CNAG_01645,732
CNAG_06134L,CNAG_06134,158
CNAG_01242L,CNAG_01242,190
CNAG_02788L,CNAG_02788,161
CNAG_07435L,CNAG_07435,104
CNAG_03998L,CNAG_03998,273
CNAG_07924L,CNAG_07924,462
CNAG_01071L,CNAG_01071,228
CNAG_00883L,CNAG_00883,252
CNAG_03741L,CNAG_03741,582
CNAG_03745L,CNAG_03745,298
CNAG_00192L,CNAG_00192,264
CNAG_00670L,CNAG_00670,330
CNAG_06871L,CNAG_06871,319
CNAG_04457L,CNAG_04457,235
CNAG_02723L,CNAG_02723,358
CNAG_04588L,CNAG_04588,148
CNAG_01977L,CNAG_01977,248
CNAG_03894L,CNAG_03894,336
CNAG_04012L,CNAG_04012,304
CNAG_03561L,CNAG_03561,233
CNAG_05170L,CNAG_05170,196
CNAG_04041L,CNAG_04041,180
CNAG_02364L,CNAG_02364,311
CNAG_04093L,CNAG_04093,263
CNAG_02322L,CNAG_02322,233
CNAG_04184L,CNAG_04184,236
CNAG_05255L,CNAG_05255,313
CNAG_05642L,CNAG_05642,209
CNAG_03059L,CNAG_03059,243
CNAG_03018L,CNAG_03018,232
CNAG_07901L,CNAG_07901,209
CNAG_03086L,CNAG_03086,273
CNAG_04916L,CNAG_04916,196
CNAG_06097L,CNAG_06097,270
CNAG_03115L,CNAG_03115,308
CNAG_03132L,CNAG_03132,299
CNAG_04841L,CNAG_04841,306
CNAG_06136L,CNAG_06136,230
CNAG_03177L,CNAG_03177,523
CNAG_03183L,CNAG_03183,186
CNAG_06188L,CNAG_06188,224
CNAG_02877L,CNAG_02877,128
CNAG_04359L,CNAG_04359,660
CNAG_04774L,CNAG_04774,384
CNAG_04768L,CNAG_04768,292
CNAG_02066L,CNAG_02066,298
CNAG_07922L,CNAG_07922,192
CNAG_06276L,CNAG_06276,273
CNAG_05222L,CNAG_05222,153
CNAG_03409L,CNAG_03409,155
CNAG_05622L,CNAG_05622,576
CNAG_04637L,CNAG_04637,251
CNAG_07680L,CNAG_07680,242
CNAG_02215L,CNAG_02215,163
CNAG_00564L,CNAG_00564,518
CNAG_02387L,CNAG_02387,314
CNAG_04086L,CNAG_04086,380
CNAG_05697L,CNAG_05697,434
CNAG_02697L,CNAG_02697,241
CNAG_06205L,CNAG_06205,270
CNAG_05372L,CNAG_05372,260
CNAG_04507L,CNAG_04507,248
CNAG_04506L,CNAG_04506,303
CNAG_00068L,CNAG_00068,2951
CNAG_05138L,CNAG_05138,234
CNAG_00733L,CNAG_00733,277
CNAG_03910L,CNAG_03910,265
CNAG_04059L,CNAG_04059,1247
CNAG_07491L,CNAG_07491,537
CNAG_05181L,CNAG_05181,264
CNAG_03915L,CNAG_03915,310
CNAG_03772L,CNAG_03772,291
CNAG_00445L,CNAG_00445,449
CNAG_01901L,CNAG_01901,411
CNAG_05313L,CNAG_05313,173
CNAG_05312L,CNAG_05312,255
CNAG_03012L,CNAG_03012,205
CNAG_03011L,CNAG_03011,242
CNAG_06200L,CNAG_06200,472
CNAG_02682L,CNAG_02682,233
CNAG_02683L,CNAG_02683,259
CNAG_00442L,CNAG_00442,382
CNAG_00183L,CNAG_00183,122
CNAG_07548L,CNAG_07548,2969
CNAG_01277L,CNAG_01277,332
CNAG_07512L,CNAG_07512,487
CNAG_01230L,CNAG_01230,242
CNAG_05264L,CNAG_05264,456
CNAG_05263L,CNAG_05263,270
CNAG_01681L,CNAG_01681,267
CNAG_01040L,CNAG_01040,467
CNAG_00179L,CNAG_00179,296
CNAG_00547L,CNAG_00547,318
CNAG_00598L,CNAG_00598,241
CNAG_05229L,CNAG_05229,237
CNAG_01138L,CNAG_01138,291
CNAG_00597L,CNAG_00597,303
CNAG_02797L,CNAG_02797,163
CNAG_02219L,CNAG_02219,300
CNAG_02220L,CNAG_02220,299
CNAG_00674L,CNAG_00674,231
CNAG_03013L,CNAG_03013,96
CNAG_07540L,CNAG_07540,345
CNAG_04981L,CNAG_04981,261
CNAG_04980L,CNAG_04980,73
CNAG_00456L,CNAG_00456,272
CNAG_00455L,CNAG_00455,277
CNAG_02152L,CNAG_02152,239
CNAG_00107L,CNAG_00107,249
CNAG_00106L,CNAG_00106,795
CNAG_01061L,CNAG_01061,312
CNAG_03847L,CNAG_03847,270
CNAG_03848L,CNAG_03848,229
CNAG_01013L,CNAG_01013,70
CNAG_02777L,CNAG_02777,306
CNAG_07523L,CNAG_07523,244
CNAG_04990L,CNAG_04990,150
CNAG_04991L,CNAG_04991,179
CNAG_00531L,CNAG_00531,261
CNAG_05159L,CNAG_05159,298
CNAG_05079L,CNAG_05079,398
CNAG_05080L,CNAG_05080,267
CNAG_04869L,CNAG_04869,261
CNAG_00164L,CNAG_00164,249
CNAG_04077L,CNAG_04077,263
CNAG_01082L,CNAG_01082,286
CNAG_04658L,CNAG_04658,355
CNAG_03727L,CNAG_03727,210
CNAG_03676L,CNAG_03676,272
CNAG_03677L,CNAG_03677,325
CNAG_03841L,CNAG_03841,245
CNAG_06761L,CNAG_06761,221
CNAG_06760L,CNAG_06760,236
CNAG_05076L,CNAG_05076,191
CNAG_05077L,CNAG_05077,277
CNAG_02553L,CNAG_02553,239
CNAG_02554L,CNAG_02554,1814
CNAG_00546L,CNAG_00546,195
CNAG_00702L,CNAG_00702,502
CNAG_00897L,CNAG_00897,218
CNAG_05148L,CNAG_05148,220
CNAG_05147L,CNAG_05147,274
CNAG_01126L,CNAG_01126,177
CNAG_00776L,CNAG_00776,135
CNAG_01446L,CNAG_01446,338
CNAG_04024L,CNAG_04024,344
CNAG_04025L,CNAG_04025,340
CNAG_02348L,CNAG_02348,322
CNAG_02347L,CNAG_02347,493
CNAG_00394L,CNAG_00394,256
CNAG_00393L,CNAG_00393,388
CNAG_06555L,CNAG_06555,243
CNAG_01019L,CNAG_01019,242
CNAG_01803L,CNAG_01803,339
CNAG_00374L,CNAG_00374,236
CNAG_00654L,CNAG_00654,253
CNAG_07541L,CNAG_07541,218
CNAG_07542L,CNAG_07542,297
CNAG_00363L,CNAG_00363,117
CNAG_05915L,CNAG_05915,335
CNAG_05916L,CNAG_05916,284
CNAG_00917L,CNAG_00917,1082
CNAG_00919L,CNAG_00919,329
CNAG_05458L,CNAG_05458,367
CNAG_05459L,CNAG_05459,389
CNAG_01985L,CNAG_01985,203
CNAG_00740L,CNAG_00740,299
CNAG_04163L,CNAG_04163,35
CNAG_04162L,CNAG_04162,109
CNAG_04755L,CNAG_04755,1026
CNAG_01777L,CNAG_01777,211
CNAG_01778L,CNAG_01778,244
CNAG_05889L,CNAG_05889,311
CNAG_05888L,CNAG_05888,229
CNAG_04217L,CNAG_04217,297
CNAG_03173L,CNAG_03173,296
CNAG_03172L,CNAG_03172,304
CNAG_07388L,CNAG_07388,225
CNAG_07389L,CNAG_07389,279
CNAG_03644L,CNAG_03644,241
CNAG_06785L,CNAG_06785,234
CNAG_06060L,CNAG_06060,518
CNAG_00581L,CNAG_00581,191
CNAG_02044L,CNAG_02044,268
CNAG_02045L,CNAG_02045,331
CNAG_04950L,CNAG_04950,231
CNAG_04949L,CNAG_04949,285
CNAG_01865L,CNAG_01865,230
CNAG_05870L,CNAG_05870,217
CNAG_00717L,CNAG_00717,137
CNAG_06926L,CNAG_06926,292
CNAG_06896L,CNAG_06896,182
CNAG_04631L,CNAG_04631,223
CNAG_05812L,CNAG_05812,289
CNAG_00079L,CNAG_00079,334
CNAG_06657L,CNAG_06657,325
CNAG_06658L,CNAG_06658,182
CNAG_05993L,CNAG_05993,255
CNAG_05994L,CNAG_05994,276
CNAG_04675L,CNAG_04675,3
CNAG_01318L,CNAG_01318,229
CNAG_05430L,CNAG_05430,187
CNAG_05429L,CNAG_05429,122
CNAG_02517L,CNAG_02517,321
CNAG_07419L,CNAG_07419,261
CNAG_02040L,CNAG_02040,302
