Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,299
CNAG_05387R,CNAG_05387,414
CNAG_05638R,CNAG_05638,304
CNAG_05639R,CNAG_05639,249
CNAG_06346R,CNAG_06346,285
CNAG_06347R,CNAG_06347,240
CNAG_06517R,CNAG_06517,346
CNAG_06201R,CNAG_06201,238
CNAG_06104R,CNAG_06104,201
CNAG_07902R,CNAG_07902,299
CNAG_06241R,CNAG_06241,177
CNAG_06242R,CNAG_06242,235
CNAG_07911R,CNAG_07911,264
CNAG_01683R,CNAG_01683,254
CNAG_01902R,CNAG_01902,16
CNAG_01680R,CNAG_01680,260
CNAG_01621R,CNAG_01621,1
CNAG_01989R,CNAG_01989,192
CNAG_01965R,CNAG_01965,249
CNAG_01925R,CNAG_01925,244
CNAG_04837R,CNAG_04837,228
CNAG_04836R,CNAG_04836,252
CNAG_04875R,CNAG_04875,192
CNAG_04868R,CNAG_04868,78
CNAG_04518R,CNAG_04518,235
CNAG_04517R,CNAG_04517,252
CNAG_07770R,CNAG_07770,274
CNAG_04436R,CNAG_04436,1
CNAG_04270R,CNAG_04270,2
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,260
CNAG_07742R,CNAG_07742,516
CNAG_03142R,CNAG_03142,214
CNAG_03161R,CNAG_03161,1
CNAG_03566R,CNAG_03566,219
CNAG_05867R,CNAG_05867,189
CNAG_05684R,CNAG_05684,266
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,250
CNAG_02371R,CNAG_02371,236
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,197
CNAG_03669R,CNAG_03669,268
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,162
CNAG_00285R,CNAG_00285,231
CNAG_00830R,CNAG_00830,122
CNAG_00841R,CNAG_00841,267
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,431
CNAG_03279R,CNAG_03279,294
CNAG_03336R,CNAG_03336,344
CNAG_06339R,CNAG_06339,364
CNAG_03768R,CNAG_03768,282
CNAG_04534R,CNAG_04534,235
CNAG_01973R,CNAG_01973,81
CNAG_07867R,CNAG_07867,217
CNAG_05333R,CNAG_05333,215
CNAG_06425R,CNAG_06425,252
CNAG_03849R,CNAG_03849,318
CNAG_02603R,CNAG_02603,232
CNAG_02555R,CNAG_02555,348
CNAG_02525R,CNAG_02525,47
CNAG_03431R,CNAG_03431,204
CNAG_05049R,CNAG_05049,180
CNAG_03914R,CNAG_03914,289
CNAG_02476R,CNAG_02476,281
CNAG_07583R,CNAG_07583,237
CNAG_05112R,CNAG_05112,215
CNAG_03366R,CNAG_03366,356
CNAG_04090R,CNAG_04090,371
CNAG_00791R,CNAG_00791,219
CNAG_05375R,CNAG_05375,4546
CNAG_02516R,CNAG_02516,229
CNAG_04804R,CNAG_04804,28
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,269
CNAG_00193R,CNAG_00193,3
CNAG_01883R,CNAG_01883,434
CNAG_03401R,CNAG_03401,260
CNAG_02435R,CNAG_02435,233
CNAG_05153R,CNAG_05153,7
CNAG_01708R,CNAG_01708,248
CNAG_03700R,CNAG_03700,245
CNAG_05215R,CNAG_05215,226
CNAG_01438R,CNAG_01438,173
CNAG_07464R,CNAG_07464,319
CNAG_01858R,CNAG_01858,363
CNAG_04586R,CNAG_04586,379
CNAG_05176R,CNAG_05176,424
CNAG_01014R,CNAG_01014,168
CNAG_01454R,CNAG_01454,280
CNAG_06327R,CNAG_06327,57
CNAG_03788R,CNAG_03788,373
CNAG_00871R,CNAG_00871,287
CNAG_00559R,CNAG_00559,3909
CNAG_07370R,CNAG_07370,318
CNAG_02589R,CNAG_02589,292
CNAG_01645R,CNAG_01645,618
CNAG_01242R,CNAG_01242,197
CNAG_02788R,CNAG_02788,39
CNAG_07435R,CNAG_07435,25
CNAG_07924R,CNAG_07924,267
CNAG_01071R,CNAG_01071,226
CNAG_00883R,CNAG_00883,216
CNAG_03741R,CNAG_03741,211
CNAG_03745R,CNAG_03745,285
CNAG_00192R,CNAG_00192,255
CNAG_00670R,CNAG_00670,299
CNAG_06871R,CNAG_06871,233
CNAG_04457R,CNAG_04457,262
CNAG_04588R,CNAG_04588,126
CNAG_03894R,CNAG_03894,319
CNAG_04012R,CNAG_04012,313
CNAG_01487R,CNAG_01487,297
CNAG_05170R,CNAG_05170,168
CNAG_02364R,CNAG_02364,316
CNAG_04093R,CNAG_04093,299
CNAG_02322R,CNAG_02322,237
CNAG_05255R,CNAG_05255,274
CNAG_03018R,CNAG_03018,250
CNAG_07901R,CNAG_07901,240
CNAG_03086R,CNAG_03086,259
CNAG_04916R,CNAG_04916,1
CNAG_06136R,CNAG_06136,270
CNAG_03177R,CNAG_03177,271
CNAG_03183R,CNAG_03183,135
