Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,450
CNAG_05387R,CNAG_05387,450
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,296
CNAG_05639R,CNAG_05639,276
CNAG_06346R,CNAG_06346,370
CNAG_06347R,CNAG_06347,322
CNAG_06517R,CNAG_06517,356
CNAG_06201R,CNAG_06201,262
CNAG_06104R,CNAG_06104,139
CNAG_07902R,CNAG_07902,387
CNAG_06241R,CNAG_06241,295
CNAG_06242R,CNAG_06242,293
CNAG_07911R,CNAG_07911,373
CNAG_01683R,CNAG_01683,386
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,17
CNAG_01680R,CNAG_01680,322
CNAG_01989R,CNAG_01989,248
CNAG_01965R,CNAG_01965,324
CNAG_01925R,CNAG_01925,270
CNAG_04837R,CNAG_04837,340
CNAG_04836R,CNAG_04836,310
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,174
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,77
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,262
CNAG_04517R,CNAG_04517,291
CNAG_07770R,CNAG_07770,234
CNAG_04271R,CNAG_04271,1
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,497
CNAG_07742R,CNAG_07742,599
CNAG_03142R,CNAG_03142,227
CNAG_03566R,CNAG_03566,268
CNAG_05835R,CNAG_05835,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,261
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,200
CNAG_02189R,CNAG_02189,321
CNAG_02182R,CNAG_02182,1
CNAG_02371R,CNAG_02371,260
CNAG_06719R,CNAG_06719,262
CNAG_03669R,CNAG_03669,323
CNAG_07332R,CNAG_07332,200
CNAG_00285R,CNAG_00285,359
CNAG_00830R,CNAG_00830,297
CNAG_00841R,CNAG_00841,275
CNAG_06531R,CNAG_06531,443
CNAG_03279R,CNAG_03279,376
CNAG_03336R,CNAG_03336,439
CNAG_06339R,CNAG_06339,425
CNAG_03768R,CNAG_03768,392
CNAG_04534R,CNAG_04534,291
CNAG_01973R,CNAG_01973,393
CNAG_07867R,CNAG_07867,266
CNAG_05333R,CNAG_05333,299
CNAG_06425R,CNAG_06425,236
CNAG_03849R,CNAG_03849,398
CNAG_02603R,CNAG_02603,248
CNAG_02555R,CNAG_02555,328
CNAG_02525R,CNAG_02525,82
CNAG_03431R,CNAG_03431,152
CNAG_05049R,CNAG_05049,204
CNAG_03914R,CNAG_03914,365
CNAG_02476R,CNAG_02476,314
CNAG_07583R,CNAG_07583,255
CNAG_05112R,CNAG_05112,270
CNAG_03366R,CNAG_03366,409
CNAG_04090R,CNAG_04090,550
CNAG_00791R,CNAG_00791,263
CNAG_05375R,CNAG_05375,4855
CNAG_02516R,CNAG_02516,343
CNAG_04804R,CNAG_04804,5
CNAG_06203R,CNAG_06203,380
CNAG_00193R,CNAG_00193,2
CNAG_01883R,CNAG_01883,264
CNAG_03401R,CNAG_03401,336
CNAG_02435R,CNAG_02435,309
CNAG_01708R,CNAG_01708,235
CNAG_03700R,CNAG_03700,376
CNAG_05215R,CNAG_05215,123
CNAG_01438R,CNAG_01438,259
CNAG_07464R,CNAG_07464,70
CNAG_01858R,CNAG_01858,453
CNAG_04586R,CNAG_04586,521
CNAG_05176R,CNAG_05176,355
CNAG_01014R,CNAG_01014,155
CNAG_01454R,CNAG_01454,404
CNAG_06327R,CNAG_06327,78
CNAG_03788R,CNAG_03788,288
CNAG_00871R,CNAG_00871,287
CNAG_00559R,CNAG_00559,8543
CNAG_07370R,CNAG_07370,404
CNAG_02589R,CNAG_02589,100
CNAG_01645R,CNAG_01645,834
CNAG_01242R,CNAG_01242,163
CNAG_02788R,CNAG_02788,23
CNAG_07435R,CNAG_07435,107
CNAG_07924R,CNAG_07924,213
CNAG_01071R,CNAG_01071,263
CNAG_00883R,CNAG_00883,248
CNAG_03741R,CNAG_03741,246
CNAG_03745R,CNAG_03745,363
CNAG_00192R,CNAG_00192,439
CNAG_00670R,CNAG_00670,425
CNAG_06871R,CNAG_06871,322
CNAG_04457R,CNAG_04457,315
CNAG_04588R,CNAG_04588,147
CNAG_01977R,CNAG_01977,1
CNAG_03894R,CNAG_03894,399
CNAG_04012R,CNAG_04012,385
CNAG_01487R,CNAG_01487,342
CNAG_05170R,CNAG_05170,267
CNAG_02364R,CNAG_02364,347
CNAG_04093R,CNAG_04093,338
CNAG_02322R,CNAG_02322,250
CNAG_05255R,CNAG_05255,356
CNAG_03018R,CNAG_03018,394
CNAG_07901R,CNAG_07901,316
CNAG_03086R,CNAG_03086,259
CNAG_06097R,CNAG_06097,324
CNAG_06136R,CNAG_06136,301
CNAG_03177R,CNAG_03177,340
CNAG_03183R,CNAG_03183,233
CNAG_04774R,CNAG_04774,385
CNAG_04768R,CNAG_04768,361
CNAG_06276R,CNAG_06276,290
CNAG_05222R,CNAG_05222,40
CNAG_03409R,CNAG_03409,54
CNAG_05622R,CNAG_05622,398
CNAG_04637R,CNAG_04637,277
CNAG_07680R,CNAG_07680,223
CNAG_02215R,CNAG_02215,135
CNAG_02387R,CNAG_02387,381
CNAG_04086R,CNAG_04086,379
CNAG_05697R,CNAG_05697,488
CNAG_04507R,CNAG_04507,294
CNAG_04506R,CNAG_04506,335
CNAG_00068R,CNAG_00068,591
CNAG_00733R,CNAG_00733,326
CNAG_03910R,CNAG_03910,331
CNAG_04059R,CNAG_04059,296
CNAG_07491R,CNAG_07491,904
CNAG_05181R,CNAG_05181,325
CNAG_03772R,CNAG_03772,378
CNAG_00445R,CNAG_00445,659
CNAG_01901R,CNAG_01901,553
CNAG_05313R,CNAG_05313,111
CNAG_05312R,CNAG_05312,311
CNAG_00442R,CNAG_00442,385
CNAG_01277R,CNAG_01277,504
CNAG_01230R,CNAG_01230,196
CNAG_05264R,CNAG_05264,1
CNAG_01681R,CNAG_01681,1
CNAG_00547R,CNAG_00547,276
CNAG_00598R,CNAG_00598,395
CNAG_02219R,CNAG_02219,380
CNAG_03013R,CNAG_03013,99
CNAG_07540R,CNAG_07540,503
CNAG_04980R,CNAG_04980,24
CNAG_00456R,CNAG_00456,339
CNAG_00455R,CNAG_00455,436
CNAG_02152R,CNAG_02152,1
CNAG_00107R,CNAG_00107,324
CNAG_01061R,CNAG_01061,323
CNAG_01013R,CNAG_01013,28
CNAG_04991R,CNAG_04991,1
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,309
CNAG_00164R,CNAG_00164,358
CNAG_03676R,CNAG_03676,1
CNAG_03677R,CNAG_03677,388
CNAG_06761R,CNAG_06761,2
CNAG_05077R,CNAG_05077,377
CNAG_01125R,CNAG_01125,2
CNAG_00776R,CNAG_00776,34
CNAG_04024R,CNAG_04024,388
CNAG_04025R,CNAG_04025,364
CNAG_02348R,CNAG_02348,1
CNAG_01019R,CNAG_01019,24
