Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,25
CNAG_05515L,CNAG_05515,305
CNAG_05641L,CNAG_05641,195
CNAG_05387L,CNAG_05387,312
CNAG_05590L,CNAG_05590,501
CNAG_07869L,CNAG_07869,265
CNAG_05340L,CNAG_05340,85
CNAG_05638L,CNAG_05638,275
CNAG_05639L,CNAG_05639,186
CNAG_06346L,CNAG_06346,281
CNAG_06347L,CNAG_06347,241
CNAG_06517L,CNAG_06517,289
CNAG_07939L,CNAG_07939,238
CNAG_06493L,CNAG_06493,170
CNAG_06201L,CNAG_06201,223
CNAG_06104L,CNAG_06104,87
CNAG_06081L,CNAG_06081,265
CNAG_07902L,CNAG_07902,259
CNAG_06241L,CNAG_06241,206
CNAG_06242L,CNAG_06242,201
CNAG_06186L,CNAG_06186,182
CNAG_07911L,CNAG_07911,267
CNAG_01551L,CNAG_01551,91
CNAG_01683L,CNAG_01683,199
CNAG_01983L,CNAG_01983,233
CNAG_01902L,CNAG_01902,14
CNAG_01680L,CNAG_01680,259
CNAG_01621L,CNAG_01621,230
CNAG_01988L,CNAG_01988,184
CNAG_01989L,CNAG_01989,265
CNAG_01939L,CNAG_01939,294
CNAG_01993L,CNAG_01993,226
CNAG_01992L,CNAG_01992,189
CNAG_01965L,CNAG_01965,251
CNAG_01562L,CNAG_01562,208
CNAG_01925L,CNAG_01925,243
CNAG_04756L,CNAG_04756,274
CNAG_04807L,CNAG_04807,318
CNAG_04837L,CNAG_04837,234
CNAG_04836L,CNAG_04836,222
CNAG_04737L,CNAG_04737,325
CNAG_04875L,CNAG_04875,135
CNAG_04874L,CNAG_04874,627
CNAG_04868L,CNAG_04868,84
CNAG_04752L,CNAG_04752,178
CNAG_04753L,CNAG_04753,1003
CNAG_04909L,CNAG_04909,215
CNAG_04908L,CNAG_04908,271
CNAG_04659L,CNAG_04659,174
CNAG_04623L,CNAG_04623,230
CNAG_04518L,CNAG_04518,153
CNAG_04517L,CNAG_04517,242
CNAG_07770L,CNAG_07770,171
CNAG_04436L,CNAG_04436,143
CNAG_04271L,CNAG_04271,141
CNAG_04270L,CNAG_04270,243
CNAG_03346L,CNAG_03346,276
