Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,485
CNAG_05387R,CNAG_05387,453
CNAG_05638R,CNAG_05638,385
CNAG_05639R,CNAG_05639,296
CNAG_06346R,CNAG_06346,383
CNAG_06347R,CNAG_06347,330
CNAG_06517R,CNAG_06517,405
CNAG_06201R,CNAG_06201,318
CNAG_06104R,CNAG_06104,282
CNAG_07902R,CNAG_07902,369
CNAG_06241R,CNAG_06241,359
CNAG_06242R,CNAG_06242,324
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,378
CNAG_01683R,CNAG_01683,350
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,15
CNAG_01680R,CNAG_01680,282
CNAG_01621R,CNAG_01621,1
CNAG_01989R,CNAG_01989,199
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,314
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,273
CNAG_04837R,CNAG_04837,361
CNAG_04836R,CNAG_04836,303
CNAG_04875R,CNAG_04875,231
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,94
CNAG_04753R,CNAG_04753,1
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,264
CNAG_04517R,CNAG_04517,366
CNAG_07770R,CNAG_07770,370
CNAG_04436R,CNAG_04436,1
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,450
CNAG_07742R,CNAG_07742,644
CNAG_03438R,CNAG_03438,1
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,270
CNAG_03566R,CNAG_03566,308
CNAG_05742R,CNAG_05742,1
CNAG_05867R,CNAG_05867,201
CNAG_05684R,CNAG_05684,323
CNAG_02189R,CNAG_02189,352
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,321
CNAG_07633R,CNAG_07633,2
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,286
CNAG_03669R,CNAG_03669,294
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,222
CNAG_00285R,CNAG_00285,300
CNAG_00830R,CNAG_00830,338
CNAG_00841R,CNAG_00841,328
CNAG_06531R,CNAG_06531,561
