Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,103
CNAG_05515L,CNAG_05515,518
CNAG_05641L,CNAG_05641,416
CNAG_05387L,CNAG_05387,565
CNAG_05590L,CNAG_05590,866
CNAG_07869L,CNAG_07869,460
CNAG_05340L,CNAG_05340,222
CNAG_05638L,CNAG_05638,451
CNAG_05639L,CNAG_05639,396
CNAG_06346L,CNAG_06346,441
CNAG_06347L,CNAG_06347,443
CNAG_06517L,CNAG_06517,507
CNAG_07939L,CNAG_07939,358
CNAG_06493L,CNAG_06493,342
CNAG_06201L,CNAG_06201,466
CNAG_06104L,CNAG_06104,319
CNAG_06081L,CNAG_06081,489
CNAG_07902L,CNAG_07902,381
CNAG_06241L,CNAG_06241,355
CNAG_06242L,CNAG_06242,403
CNAG_06186L,CNAG_06186,430
CNAG_07911L,CNAG_07911,484
CNAG_01551L,CNAG_01551,232
CNAG_01683L,CNAG_01683,393
CNAG_01983L,CNAG_01983,465
CNAG_01902L,CNAG_01902,21
CNAG_01680L,CNAG_01680,434
CNAG_01621L,CNAG_01621,399
CNAG_01988L,CNAG_01988,360
CNAG_01989L,CNAG_01989,480
CNAG_01939L,CNAG_01939,504
CNAG_01993L,CNAG_01993,427
CNAG_01992L,CNAG_01992,355
CNAG_01965L,CNAG_01965,387
CNAG_01562L,CNAG_01562,361
CNAG_01925L,CNAG_01925,436
CNAG_04756L,CNAG_04756,439
CNAG_04807L,CNAG_04807,490
CNAG_04837L,CNAG_04837,417
CNAG_04836L,CNAG_04836,332
CNAG_04737L,CNAG_04737,496
CNAG_04875L,CNAG_04875,345
CNAG_04874L,CNAG_04874,984
CNAG_04868L,CNAG_04868,112
CNAG_04752L,CNAG_04752,310
CNAG_04753L,CNAG_04753,1936
CNAG_04909L,CNAG_04909,439
CNAG_04908L,CNAG_04908,427
CNAG_04659L,CNAG_04659,353
CNAG_04623L,CNAG_04623,399
CNAG_04518L,CNAG_04518,364
CNAG_04517L,CNAG_04517,463
CNAG_07770L,CNAG_07770,453
CNAG_04436L,CNAG_04436,220
CNAG_04271L,CNAG_04271,309
CNAG_04270L,CNAG_04270,374
CNAG_03346L,CNAG_03346,423
CNAG_03433L,CNAG_03433,429
CNAG_03333L,CNAG_03333,636
CNAG_07742L,CNAG_07742,1182
CNAG_03438L,CNAG_03438,277
CNAG_03223L,CNAG_03223,407
CNAG_03142L,CNAG_03142,378
CNAG_03143L,CNAG_03143,359
CNAG_03545L,CNAG_03545,494
CNAG_03161L,CNAG_03161,102
CNAG_03566L,CNAG_03566,362
CNAG_05835L,CNAG_05835,422
CNAG_05864L,CNAG_05864,341
CNAG_06567L,CNAG_06567,470
CNAG_05742L,CNAG_05742,275
CNAG_05743L,CNAG_05743,147
CNAG_05867L,CNAG_05867,283
CNAG_05685L,CNAG_05685,1114
CNAG_05684L,CNAG_05684,444
CNAG_05785L,CNAG_05785,365
CNAG_05843L,CNAG_05843,22
CNAG_06554L,CNAG_06554,372
CNAG_02189L,CNAG_02189,430
CNAG_02188L,CNAG_02188,471
CNAG_02182L,CNAG_02182,420
CNAG_07631L,CNAG_07631,517
CNAG_02371L,CNAG_02371,373
CNAG_07633L,CNAG_07633,318
CNAG_01069L,CNAG_01069,402
CNAG_00896L,CNAG_00896,1283
CNAG_06719L,CNAG_06719,124
CNAG_03669L,CNAG_03669,376
CNAG_00031L,CNAG_00031,363
CNAG_07332L,CNAG_07332,290
CNAG_00285L,CNAG_00285,431
CNAG_00828L,CNAG_00828,370
CNAG_00830L,CNAG_00830,401
CNAG_00841L,CNAG_00841,403
CNAG_02774L,CNAG_02774,383
CNAG_06531L,CNAG_06531,687
CNAG_03279L,CNAG_03279,413
CNAG_03336L,CNAG_03336,585
CNAG_06339L,CNAG_06339,414
CNAG_03768L,CNAG_03768,456
CNAG_04534L,CNAG_04534,428
CNAG_01973L,CNAG_01973,19
CNAG_07867L,CNAG_07867,330
CNAG_05333L,CNAG_05333,384
