Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,179
CNAG_05515L,CNAG_05515,173
CNAG_05641L,CNAG_05641,135
CNAG_05387L,CNAG_05387,231
CNAG_05590L,CNAG_05590,251
CNAG_07869L,CNAG_07869,221
CNAG_05340L,CNAG_05340,32
CNAG_05638L,CNAG_05638,153
CNAG_05639L,CNAG_05639,131
CNAG_06346L,CNAG_06346,171
CNAG_06347L,CNAG_06347,147
CNAG_06517L,CNAG_06517,200
CNAG_07939L,CNAG_07939,140
CNAG_06493L,CNAG_06493,150
CNAG_06201L,CNAG_06201,168
CNAG_06104L,CNAG_06104,112
CNAG_06081L,CNAG_06081,217
CNAG_07902L,CNAG_07902,149
CNAG_06241L,CNAG_06241,119
CNAG_06242L,CNAG_06242,133
CNAG_06186L,CNAG_06186,275
CNAG_07911L,CNAG_07911,158
CNAG_01551L,CNAG_01551,139
CNAG_01683L,CNAG_01683,170
CNAG_01983L,CNAG_01983,169
CNAG_01902L,CNAG_01902,4
CNAG_01680L,CNAG_01680,131
CNAG_01621L,CNAG_01621,133
CNAG_01988L,CNAG_01988,158
CNAG_01989L,CNAG_01989,160
CNAG_01939L,CNAG_01939,205
CNAG_01993L,CNAG_01993,127
CNAG_01992L,CNAG_01992,135
CNAG_01965L,CNAG_01965,171
CNAG_01562L,CNAG_01562,183
CNAG_01925L,CNAG_01925,101
CNAG_04756L,CNAG_04756,135
CNAG_04807L,CNAG_04807,149
CNAG_04837L,CNAG_04837,147
CNAG_04836L,CNAG_04836,111
CNAG_04737L,CNAG_04737,163
CNAG_04875L,CNAG_04875,1495
CNAG_04874L,CNAG_04874,373
CNAG_04868L,CNAG_04868,55
CNAG_04752L,CNAG_04752,83
CNAG_04753L,CNAG_04753,1453
CNAG_04909L,CNAG_04909,144
CNAG_04908L,CNAG_04908,192
CNAG_04659L,CNAG_04659,145
CNAG_04623L,CNAG_04623,133
CNAG_04518L,CNAG_04518,177
CNAG_04517L,CNAG_04517,139
CNAG_07770L,CNAG_07770,129
CNAG_04436L,CNAG_04436,27
CNAG_04271L,CNAG_04271,151
CNAG_04270L,CNAG_04270,27
CNAG_03346L,CNAG_03346,175
CNAG_03433L,CNAG_03433,166
CNAG_03333L,CNAG_03333,251
CNAG_07742L,CNAG_07742,421
CNAG_03438L,CNAG_03438,117
CNAG_03223L,CNAG_03223,84
CNAG_03142L,CNAG_03142,123
CNAG_03143L,CNAG_03143,121
CNAG_03545L,CNAG_03545,162
CNAG_03161L,CNAG_03161,39
CNAG_03566L,CNAG_03566,112
CNAG_05835L,CNAG_05835,944
CNAG_05864L,CNAG_05864,111
CNAG_06567L,CNAG_06567,156
CNAG_05742L,CNAG_05742,62
CNAG_05743L,CNAG_05743,45
CNAG_05867L,CNAG_05867,92
CNAG_05685L,CNAG_05685,401
CNAG_05684L,CNAG_05684,207
CNAG_05785L,CNAG_05785,138
CNAG_05843L,CNAG_05843,1
CNAG_06554L,CNAG_06554,159
CNAG_02189L,CNAG_02189,209
CNAG_02188L,CNAG_02188,191
CNAG_02182L,CNAG_02182,137
CNAG_07631L,CNAG_07631,206
CNAG_02371L,CNAG_02371,174
CNAG_07633L,CNAG_07633,64
CNAG_01069L,CNAG_01069,137
CNAG_00896L,CNAG_00896,453
CNAG_06719L,CNAG_06719,74
