Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,581
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,604
CNAG_07869R,CNAG_07869,1
CNAG_05340R,CNAG_05340,1
CNAG_05638R,CNAG_05638,423
CNAG_05639R,CNAG_05639,355
CNAG_06346R,CNAG_06346,453
CNAG_06347R,CNAG_06347,360
CNAG_06517R,CNAG_06517,421
CNAG_06201R,CNAG_06201,296
CNAG_06104R,CNAG_06104,283
CNAG_07902R,CNAG_07902,419
CNAG_06241R,CNAG_06241,284
CNAG_06242R,CNAG_06242,338
CNAG_07911R,CNAG_07911,441
CNAG_01683R,CNAG_01683,412
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,3
CNAG_01680R,CNAG_01680,388
CNAG_01621R,CNAG_01621,2
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,257
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,347
CNAG_01925R,CNAG_01925,318
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,342
CNAG_04836R,CNAG_04836,326
CNAG_04875R,CNAG_04875,225
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,86
CNAG_04753R,CNAG_04753,2
CNAG_04908R,CNAG_04908,1
CNAG_04659R,CNAG_04659,1
CNAG_04518R,CNAG_04518,328
CNAG_04517R,CNAG_04517,390
CNAG_07770R,CNAG_07770,458
CNAG_03333R,CNAG_03333,521
CNAG_07742R,CNAG_07742,720
CNAG_03438R,CNAG_03438,2
CNAG_03142R,CNAG_03142,282
CNAG_03566R,CNAG_03566,298
CNAG_05835R,CNAG_05835,1
CNAG_05864R,CNAG_05864,3
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,254
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,374
CNAG_05785R,CNAG_05785,1
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,434
CNAG_02182R,CNAG_02182,1
CNAG_02371R,CNAG_02371,324
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,308
CNAG_03669R,CNAG_03669,444
CNAG_07332R,CNAG_07332,272
CNAG_00285R,CNAG_00285,330
CNAG_00830R,CNAG_00830,379
CNAG_00841R,CNAG_00841,365
CNAG_06531R,CNAG_06531,642
CNAG_03279R,CNAG_03279,401
CNAG_03336R,CNAG_03336,625
CNAG_06339R,CNAG_06339,438
CNAG_03768R,CNAG_03768,421
CNAG_04534R,CNAG_04534,380
CNAG_01973R,CNAG_01973,284
CNAG_07867R,CNAG_07867,308
CNAG_05333R,CNAG_05333,398
CNAG_06425R,CNAG_06425,297
CNAG_03849R,CNAG_03849,413
CNAG_02603R,CNAG_02603,303
CNAG_02555R,CNAG_02555,394
CNAG_02525R,CNAG_02525,98
CNAG_03431R,CNAG_03431,329
CNAG_05049R,CNAG_05049,256
CNAG_03914R,CNAG_03914,434
CNAG_02476R,CNAG_02476,307
CNAG_07583R,CNAG_07583,396
CNAG_02466R,CNAG_02466,3
CNAG_05112R,CNAG_05112,316
CNAG_03366R,CNAG_03366,476
CNAG_03977R,CNAG_03977,1
CNAG_04090R,CNAG_04090,551
CNAG_00791R,CNAG_00791,351
CNAG_05375R,CNAG_05375,5667
CNAG_02516R,CNAG_02516,382
CNAG_04804R,CNAG_04804,271
CNAG_07725R,CNAG_07725,2
CNAG_06203R,CNAG_06203,325
CNAG_01883R,CNAG_01883,654
CNAG_03401R,CNAG_03401,338
CNAG_02435R,CNAG_02435,305
CNAG_05153R,CNAG_05153,5
CNAG_01708R,CNAG_01708,339
CNAG_03700R,CNAG_03700,501
CNAG_05215R,CNAG_05215,331
CNAG_01438R,CNAG_01438,299
CNAG_07464R,CNAG_07464,393
CNAG_01858R,CNAG_01858,467
CNAG_04586R,CNAG_04586,403
CNAG_05176R,CNAG_05176,495
CNAG_01014R,CNAG_01014,156
CNAG_01454R,CNAG_01454,419
CNAG_06327R,CNAG_06327,89
CNAG_03788R,CNAG_03788,452
CNAG_00871R,CNAG_00871,401
CNAG_00559R,CNAG_00559,10563
CNAG_07370R,CNAG_07370,443
CNAG_02589R,CNAG_02589,365
CNAG_01645R,CNAG_01645,979
CNAG_01242R,CNAG_01242,198
CNAG_02788R,CNAG_02788,21
CNAG_07435R,CNAG_07435,27
CNAG_07924R,CNAG_07924,360
CNAG_01071R,CNAG_01071,326
CNAG_00883R,CNAG_00883,342
CNAG_03741R,CNAG_03741,326
CNAG_03745R,CNAG_03745,388
CNAG_00192R,CNAG_00192,471
CNAG_00670R,CNAG_00670,455
CNAG_06871R,CNAG_06871,379
CNAG_04457R,CNAG_04457,439
CNAG_04588R,CNAG_04588,64
CNAG_03894R,CNAG_03894,470
CNAG_04012R,CNAG_04012,475
CNAG_01487R,CNAG_01487,413
CNAG_05170R,CNAG_05170,372
CNAG_02364R,CNAG_02364,425
CNAG_04093R,CNAG_04093,497
CNAG_02322R,CNAG_02322,379
CNAG_05255R,CNAG_05255,362
CNAG_03018R,CNAG_03018,335
CNAG_07901R,CNAG_07901,331
CNAG_03086R,CNAG_03086,316
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,349
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,364
CNAG_03177R,CNAG_03177,409
CNAG_03183R,CNAG_03183,146
CNAG_04774R,CNAG_04774,390
CNAG_04768R,CNAG_04768,423
CNAG_06276R,CNAG_06276,357
CNAG_05222R,CNAG_05222,76
CNAG_03409R,CNAG_03409,118
CNAG_05622R,CNAG_05622,415
CNAG_04637R,CNAG_04637,254
CNAG_07680R,CNAG_07680,79
CNAG_02215R,CNAG_02215,44
CNAG_07904R,CNAG_07904,1
CNAG_00564R,CNAG_00564,1
CNAG_02387R,CNAG_02387,442
CNAG_04086R,CNAG_04086,538
CNAG_05697R,CNAG_05697,563
CNAG_06205R,CNAG_06205,1
CNAG_04507R,CNAG_04507,353
CNAG_04506R,CNAG_04506,346
CNAG_00068R,CNAG_00068,681
CNAG_00733R,CNAG_00733,396
CNAG_03910R,CNAG_03910,408
CNAG_04059R,CNAG_04059,293
CNAG_07491R,CNAG_07491,495
CNAG_05181R,CNAG_05181,276
CNAG_03772R,CNAG_03772,446
CNAG_00445R,CNAG_00445,579
CNAG_01901R,CNAG_01901,612
CNAG_05313R,CNAG_05313,136
CNAG_05312R,CNAG_05312,432
CNAG_03011R,CNAG_03011,1
CNAG_02682R,CNAG_02682,1
CNAG_02683R,CNAG_02683,1
CNAG_00442R,CNAG_00442,570
CNAG_01277R,CNAG_01277,633
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,127
CNAG_01040R,CNAG_01040,1
CNAG_00547R,CNAG_00547,332
CNAG_00598R,CNAG_00598,426
CNAG_01138R,CNAG_01138,2
CNAG_00597R,CNAG_00597,1
CNAG_02219R,CNAG_02219,569
CNAG_00674R,CNAG_00674,2
CNAG_03013R,CNAG_03013,79
CNAG_07540R,CNAG_07540,589
CNAG_04980R,CNAG_04980,28
CNAG_00456R,CNAG_00456,387
CNAG_00455R,CNAG_00455,435
CNAG_00107R,CNAG_00107,277
CNAG_01061R,CNAG_01061,409
CNAG_03848R,CNAG_03848,1
CNAG_01013R,CNAG_01013,58
CNAG_00531R,CNAG_00531,1
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,352
CNAG_00164R,CNAG_00164,400
CNAG_03677R,CNAG_03677,441
CNAG_05077R,CNAG_05077,425
CNAG_00776R,CNAG_00776,57
CNAG_04024R,CNAG_04024,468
CNAG_04025R,CNAG_04025,505
CNAG_02347R,CNAG_02347,2
CNAG_00394R,CNAG_00394,1
CNAG_01019R,CNAG_01019,30
CNAG_01803R,CNAG_01803,441
CNAG_07541R,CNAG_07541,357
CNAG_07542R,CNAG_07542,420
CNAG_05915R,CNAG_05915,374
CNAG_05916R,CNAG_05916,1
CNAG_00917R,CNAG_00917,1398
CNAG_00919R,CNAG_00919,411
CNAG_05458R,CNAG_05458,540
CNAG_05459R,CNAG_05459,555
CNAG_01985R,CNAG_01985,159
CNAG_00740R,CNAG_00740,57
CNAG_04163R,CNAG_04163,388
CNAG_04162R,CNAG_04162,187
CNAG_04755R,CNAG_04755,256
CNAG_01777R,CNAG_01777,353
CNAG_01778R,CNAG_01778,1
CNAG_03173R,CNAG_03173,428
CNAG_03172R,CNAG_03172,424
CNAG_07388R,CNAG_07388,451
CNAG_07389R,CNAG_07389,484
CNAG_06060R,CNAG_06060,284
CNAG_00581R,CNAG_00581,177
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,505
CNAG_04950R,CNAG_04950,307
CNAG_04949R,CNAG_04949,402
CNAG_01865R,CNAG_01865,383
CNAG_00717R,CNAG_00717,182
CNAG_06926R,CNAG_06926,1
CNAG_06896R,CNAG_06896,351
CNAG_05812R,CNAG_05812,379
CNAG_00079R,CNAG_00079,2
CNAG_06657R,CNAG_06657,1
CNAG_06658R,CNAG_06658,302
CNAG_05994R,CNAG_05994,342
CNAG_05430R,CNAG_05430,1
CNAG_02517R,CNAG_02517,366
CNAG_03329R,CNAG_03329,266
CNAG_04471R,CNAG_04471,448
CNAG_00699R,CNAG_00699,350
CNAG_02129R,CNAG_02129,514
CNAG_05352R,CNAG_05352,203
CNAG_03946R,CNAG_03946,1
CNAG_07486R,CNAG_07486,353
CNAG_00126R,CNAG_00126,2
CNAG_00710R,CNAG_00710,251
CNAG_00709R,CNAG_00709,435
CNAG_04186R,CNAG_04186,2
CNAG_03689R,CNAG_03689,201
CNAG_01704R,CNAG_01704,395
CNAG_07827R,CNAG_07827,346
CNAG_07516R,CNAG_07516,273
CNAG_00156R,CNAG_00156,1
CNAG_00157R,CNAG_00157,245
CNAG_04892R,CNAG_04892,1
CNAG_01776R,CNAG_01776,436
CNAG_07605R,CNAG_07605,252
CNAG_01846R,CNAG_01846,372
CNAG_02540R,CNAG_02540,1
CNAG_03572R,CNAG_03572,1
CNAG_00799R,CNAG_00799,180
CNAG_04657R,CNAG_04657,372
CNAG_04385R,CNAG_04385,397
CNAG_04386R,CNAG_04386,420
CNAG_07847R,CNAG_07847,381
CNAG_02226R,CNAG_02226,329
CNAG_02225R,CNAG_02225,390
CNAG_04860R,CNAG_04860,330
CNAG_01105R,CNAG_01105,475
CNAG_03524R,CNAG_03524,286
CNAG_03733R,CNAG_03733,407
CNAG_03732R,CNAG_03732,466
CNAG_03247R,CNAG_03247,375
CNAG_03193R,CNAG_03193,342
CNAG_03194R,CNAG_03194,500
CNAG_06574R,CNAG_06574,342
CNAG_04663R,CNAG_04663,311
CNAG_02944R,CNAG_02944,320
CNAG_05872R,CNAG_05872,23
CNAG_02775R,CNAG_02775,23
CNAG_01112R,CNAG_01112,1
CNAG_06973R,CNAG_06973,1
CNAG_07498R,CNAG_07498,534
CNAG_03754R,CNAG_03754,1
CNAG_00475R,CNAG_00475,7021
CNAG_04524R,CNAG_04524,1
CNAG_06501R,CNAG_06501,432
CNAG_06502R,CNAG_06502,361
CNAG_00587R,CNAG_00587,481
CNAG_04691R,CNAG_04691,385
CNAG_05522R,CNAG_05522,503
CNAG_01930R,CNAG_01930,414
CNAG_04983R,CNAG_04983,1
CNAG_03002R,CNAG_03002,431
CNAG_01448R,CNAG_01448,337
CNAG_07685R,CNAG_07685,340
CNAG_03902R,CNAG_03902,36
CNAG_02011R,CNAG_02011,1
CNAG_02010R,CNAG_02010,4529
CNAG_01642R,CNAG_01642,461
CNAG_04705R,CNAG_04705,453
CNAG_01420R,CNAG_01420,351
CNAG_07519R,CNAG_07519,1038
CNAG_00078R,CNAG_00078,1
CNAG_06240R,CNAG_06240,572
CNAG_00777R,CNAG_00777,514
CNAG_01118R,CNAG_01118,464
CNAG_03866R,CNAG_03866,475
CNAG_06595R,CNAG_06595,342
CNAG_00519R,CNAG_00519,7
CNAG_01524R,CNAG_01524,350
CNAG_04594R,CNAG_04594,429
CNAG_06776R,CNAG_06776,1
CNAG_02588R,CNAG_02588,509
CNAG_06905R,CNAG_06905,415
CNAG_06904R,CNAG_06904,334
CNAG_02288R,CNAG_02288,331
CNAG_07729R,CNAG_07729,4
CNAG_03408R,CNAG_03408,2
CNAG_06282R,CNAG_06282,1
CNAG_01970R,CNAG_01970,1
CNAG_07752R,CNAG_07752,459
CNAG_04587R,CNAG_04587,364
CNAG_02692R,CNAG_02692,391
CNAG_02776R,CNAG_02776,683
CNAG_04885R,CNAG_04885,396
CNAG_06662R,CNAG_06662,402
CNAG_02165R,CNAG_02165,531
CNAG_02071R,CNAG_02071,595
CNAG_02070R,CNAG_02070,315
CNAG_02684R,CNAG_02684,512
CNAG_05420R,CNAG_05420,72
CNAG_05939R,CNAG_05939,781
CNAG_00765R,CNAG_00765,361
CNAG_00745R,CNAG_00745,77
CNAG_00744R,CNAG_00744,341
CNAG_00162R,CNAG_00162,408
CNAG_02658R,CNAG_02658,198
CNAG_06401R,CNAG_06401,287
CNAG_01960R,CNAG_01960,285
CNAG_01961R,CNAG_01961,1007
CNAG_02930R,CNAG_02930,178
CNAG_01238R,CNAG_01238,3
CNAG_01239R,CNAG_01239,522
CNAG_00332R,CNAG_00332,246
CNAG_00333R,CNAG_00333,243
CNAG_05663R,CNAG_05663,137
CNAG_05664R,CNAG_05664,288
CNAG_01574R,CNAG_01574,669
CNAG_01573R,CNAG_01573,292
CNAG_00165R,CNAG_00165,1
CNAG_06963R,CNAG_06963,375
CNAG_03719R,CNAG_03719,371
CNAG_02041R,CNAG_02041,264
CNAG_06889R,CNAG_06889,399
CNAG_04141R,CNAG_04141,432
CNAG_07415R,CNAG_07415,176
CNAG_05586R,CNAG_05586,391
CNAG_05686R,CNAG_05686,367
CNAG_00400R,CNAG_00400,517
CNAG_04213R,CNAG_04213,709
CNAG_05913R,CNAG_05913,1
CNAG_04736R,CNAG_04736,430
CNAG_04735R,CNAG_04735,313
CNAG_05392R,CNAG_05392,438
CNAG_05393R,CNAG_05393,356
CNAG_06034R,CNAG_06034,354
CNAG_05250R,CNAG_05250,371
CNAG_04243R,CNAG_04243,6
CNAG_01773R,CNAG_01773,496
CNAG_01232R,CNAG_01232,132
CNAG_01577R,CNAG_01577,1
CNAG_01578R,CNAG_01578,98
CNAG_01601R,CNAG_01601,109
CNAG_04963R,CNAG_04963,421
CNAG_04962R,CNAG_04962,381
CNAG_01231R,CNAG_01231,282
CNAG_06835R,CNAG_06835,52
CNAG_06836R,CNAG_06836,452
CNAG_06389R,CNAG_06389,432
CNAG_05640R,CNAG_05640,984
CNAG_01558R,CNAG_01558,430
CNAG_00903R,CNAG_00903,116
CNAG_06583R,CNAG_06583,310
CNAG_06428R,CNAG_06428,370
CNAG_06427R,CNAG_06427,279
CNAG_07745R,CNAG_07745,286
CNAG_03369R,CNAG_03369,240
CNAG_00130R,CNAG_00130,1358
CNAG_00457R,CNAG_00457,703
CNAG_04730R,CNAG_04730,441
CNAG_03116R,CNAG_03116,117
CNAG_07711R,CNAG_07711,2
CNAG_04622R,CNAG_04622,368
CNAG_04449R,CNAG_04449,352
CNAG_03874R,CNAG_03874,260
CNAG_03873R,CNAG_03873,608
CNAG_02475R,CNAG_02475,429
CNAG_00070R,CNAG_00070,330
CNAG_04862R,CNAG_04862,513
CNAG_02527R,CNAG_02527,447
CNAG_00194R,CNAG_00194,519
CNAG_03498R,CNAG_03498,347
CNAG_03426R,CNAG_03426,432
CNAG_00077R,CNAG_00077,237
CNAG_02965R,CNAG_02965,392
CNAG_02966R,CNAG_02966,1
CNAG_01041R,CNAG_01041,1
CNAG_04546R,CNAG_04546,410
CNAG_04523R,CNAG_04523,349
CNAG_04522R,CNAG_04522,356
CNAG_07444R,CNAG_07444,344
CNAG_06576R,CNAG_06576,483
