Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,111
CNAG_05515L,CNAG_05515,514
CNAG_05641L,CNAG_05641,303
CNAG_05387L,CNAG_05387,480
CNAG_05590L,CNAG_05590,736
CNAG_07869L,CNAG_07869,428
CNAG_05340L,CNAG_05340,276
CNAG_05638L,CNAG_05638,391
CNAG_05639L,CNAG_05639,334
CNAG_06346L,CNAG_06346,357
CNAG_06347L,CNAG_06347,404
CNAG_06517L,CNAG_06517,442
CNAG_07939L,CNAG_07939,326
CNAG_06493L,CNAG_06493,313
CNAG_06201L,CNAG_06201,343
CNAG_06104L,CNAG_06104,258
CNAG_06081L,CNAG_06081,346
CNAG_07902L,CNAG_07902,368
CNAG_06241L,CNAG_06241,249
CNAG_06242L,CNAG_06242,236
CNAG_06186L,CNAG_06186,283
CNAG_07911L,CNAG_07911,411
CNAG_01551L,CNAG_01551,254
CNAG_01552L,CNAG_01552,1
CNAG_01683L,CNAG_01683,354
CNAG_01983L,CNAG_01983,374
CNAG_01902L,CNAG_01902,3
CNAG_01680L,CNAG_01680,435
CNAG_01621L,CNAG_01621,365
CNAG_01988L,CNAG_01988,292
CNAG_01989L,CNAG_01989,440
CNAG_01939L,CNAG_01939,374
CNAG_01993L,CNAG_01993,329
CNAG_01992L,CNAG_01992,340
CNAG_01965L,CNAG_01965,335
CNAG_01562L,CNAG_01562,239
CNAG_01925L,CNAG_01925,462
CNAG_04756L,CNAG_04756,362
CNAG_04807L,CNAG_04807,384
CNAG_04837L,CNAG_04837,337
CNAG_04836L,CNAG_04836,316
CNAG_04737L,CNAG_04737,511
CNAG_04875L,CNAG_04875,232
CNAG_04874L,CNAG_04874,957
CNAG_04868L,CNAG_04868,105
CNAG_04752L,CNAG_04752,253
CNAG_04753L,CNAG_04753,1787
CNAG_04909L,CNAG_04909,428
CNAG_04908L,CNAG_04908,406
CNAG_04659L,CNAG_04659,269
CNAG_04623L,CNAG_04623,355
CNAG_04518L,CNAG_04518,284
CNAG_04517L,CNAG_04517,469
CNAG_07770L,CNAG_07770,441
CNAG_04436L,CNAG_04436,236
CNAG_04271L,CNAG_04271,285
CNAG_04270L,CNAG_04270,387
CNAG_03346L,CNAG_03346,380
CNAG_03433L,CNAG_03433,398
CNAG_03333L,CNAG_03333,496
CNAG_07742L,CNAG_07742,1054
CNAG_03438L,CNAG_03438,175
CNAG_03223L,CNAG_03223,391
CNAG_03142L,CNAG_03142,277
CNAG_03143L,CNAG_03143,313
CNAG_03545L,CNAG_03545,466
CNAG_03161L,CNAG_03161,140
CNAG_03566L,CNAG_03566,330
CNAG_05835L,CNAG_05835,252
CNAG_05864L,CNAG_05864,274
CNAG_06567L,CNAG_06567,418
CNAG_05742L,CNAG_05742,209
CNAG_05743L,CNAG_05743,99
CNAG_05867L,CNAG_05867,290
CNAG_05685L,CNAG_05685,990
CNAG_05684L,CNAG_05684,411
CNAG_05785L,CNAG_05785,298
CNAG_05843L,CNAG_05843,12
CNAG_06554L,CNAG_06554,328
CNAG_02189L,CNAG_02189,445
CNAG_02188L,CNAG_02188,386
CNAG_02182L,CNAG_02182,349
CNAG_07631L,CNAG_07631,291
CNAG_02371L,CNAG_02371,302
CNAG_07633L,CNAG_07633,374
CNAG_01069L,CNAG_01069,395
CNAG_00896L,CNAG_00896,1265
CNAG_06719L,CNAG_06719,87
CNAG_03669L,CNAG_03669,421
CNAG_00031L,CNAG_00031,347
CNAG_07332L,CNAG_07332,285
CNAG_00285L,CNAG_00285,363
CNAG_00828L,CNAG_00828,325
CNAG_00830L,CNAG_00830,414
CNAG_00841L,CNAG_00841,409
CNAG_02774L,CNAG_02774,352
CNAG_06531L,CNAG_06531,653
CNAG_03279L,CNAG_03279,400
CNAG_03336L,CNAG_03336,528
CNAG_06339L,CNAG_06339,401
CNAG_03768L,CNAG_03768,427
CNAG_04534L,CNAG_04534,393
CNAG_01973L,CNAG_01973,14
CNAG_07867L,CNAG_07867,343
CNAG_05333L,CNAG_05333,398
CNAG_06425L,CNAG_06425,242
CNAG_03849L,CNAG_03849,924
CNAG_02603L,CNAG_02603,287
CNAG_02555L,CNAG_02555,395
CNAG_03431L,CNAG_03431,398
CNAG_05049L,CNAG_05049,271
CNAG_05380L,CNAG_05380,280
CNAG_03914L,CNAG_03914,443
CNAG_02476L,CNAG_02476,341
CNAG_07583L,CNAG_07583,385
CNAG_02466L,CNAG_02466,378
CNAG_05112L,CNAG_05112,364
CNAG_03366L,CNAG_03366,574
CNAG_03977L,CNAG_03977,192
CNAG_04090L,CNAG_04090,577
CNAG_00791L,CNAG_00791,310
CNAG_06751L,CNAG_06751,252
CNAG_05375L,CNAG_05375,5194
CNAG_02516L,CNAG_02516,362
CNAG_04804L,CNAG_04804,304
CNAG_00627L,CNAG_00627,453
CNAG_07725L,CNAG_07725,455
CNAG_06203L,CNAG_06203,319
CNAG_00514L,CNAG_00514,2
CNAG_01883L,CNAG_01883,744
CNAG_03401L,CNAG_03401,318
CNAG_02435L,CNAG_02435,356
CNAG_05153L,CNAG_05153,3
CNAG_01708L,CNAG_01708,336
CNAG_03700L,CNAG_03700,415
CNAG_07320L,CNAG_07320,61
CNAG_05215L,CNAG_05215,282
CNAG_01438L,CNAG_01438,284
CNAG_07464L,CNAG_07464,292
CNAG_01858L,CNAG_01858,477
CNAG_04586L,CNAG_04586,432
CNAG_05093L,CNAG_05093,425
CNAG_05176L,CNAG_05176,456
CNAG_01014L,CNAG_01014,165
CNAG_00998L,CNAG_00998,303
CNAG_00039L,CNAG_00039,629
CNAG_07329L,CNAG_07329,25
CNAG_01454L,CNAG_01454,398
CNAG_02700L,CNAG_02700,18
CNAG_06327L,CNAG_06327,126
CNAG_03788L,CNAG_03788,356
CNAG_00871L,CNAG_00871,433
CNAG_00559L,CNAG_00559,10618
CNAG_07370L,CNAG_07370,493
CNAG_00732L,CNAG_00732,384
CNAG_04630L,CNAG_04630,480
CNAG_07940L,CNAG_07940,458
CNAG_02589L,CNAG_02589,415
CNAG_05067L,CNAG_05067,407
CNAG_01645L,CNAG_01645,1016
CNAG_06134L,CNAG_06134,43
CNAG_01242L,CNAG_01242,179
CNAG_02788L,CNAG_02788,20
CNAG_07435L,CNAG_07435,24
CNAG_03998L,CNAG_03998,188
CNAG_07924L,CNAG_07924,424
CNAG_01071L,CNAG_01071,306
CNAG_00883L,CNAG_00883,360
CNAG_03741L,CNAG_03741,317
CNAG_03745L,CNAG_03745,472
CNAG_00192L,CNAG_00192,332
CNAG_00670L,CNAG_00670,388
CNAG_06871L,CNAG_06871,471
CNAG_04457L,CNAG_04457,429
CNAG_02723L,CNAG_02723,370
CNAG_04588L,CNAG_04588,59
CNAG_01977L,CNAG_01977,349
CNAG_03894L,CNAG_03894,413
CNAG_04012L,CNAG_04012,467
CNAG_03561L,CNAG_03561,257
CNAG_05170L,CNAG_05170,240
CNAG_04041L,CNAG_04041,63
CNAG_02364L,CNAG_02364,380
CNAG_04093L,CNAG_04093,410
CNAG_02322L,CNAG_02322,379
CNAG_04184L,CNAG_04184,374
CNAG_05255L,CNAG_05255,427
CNAG_05642L,CNAG_05642,156
CNAG_03059L,CNAG_03059,318
CNAG_03018L,CNAG_03018,314
CNAG_07901L,CNAG_07901,286
CNAG_03086L,CNAG_03086,390
CNAG_04916L,CNAG_04916,254
CNAG_06097L,CNAG_06097,297
CNAG_03115L,CNAG_03115,403
CNAG_03132L,CNAG_03132,413
CNAG_04841L,CNAG_04841,482
CNAG_06136L,CNAG_06136,299
CNAG_03177L,CNAG_03177,766
CNAG_03183L,CNAG_03183,167
CNAG_06188L,CNAG_06188,368
CNAG_02877L,CNAG_02877,291
CNAG_04359L,CNAG_04359,876
CNAG_04774L,CNAG_04774,505
CNAG_04768L,CNAG_04768,453
CNAG_02066L,CNAG_02066,455
CNAG_07922L,CNAG_07922,314
CNAG_06276L,CNAG_06276,392
CNAG_05222L,CNAG_05222,100
CNAG_03409L,CNAG_03409,137
CNAG_05622L,CNAG_05622,739
CNAG_04637L,CNAG_04637,358
CNAG_07680L,CNAG_07680,63
CNAG_02215L,CNAG_02215,38
CNAG_00564L,CNAG_00564,360
CNAG_02387L,CNAG_02387,415
CNAG_04086L,CNAG_04086,553
CNAG_05697L,CNAG_05697,658
CNAG_02697L,CNAG_02697,334
CNAG_06205L,CNAG_06205,338
CNAG_05372L,CNAG_05372,224
CNAG_04507L,CNAG_04507,364
CNAG_04506L,CNAG_04506,443
CNAG_00068L,CNAG_00068,4751
CNAG_05138L,CNAG_05138,194
CNAG_00733L,CNAG_00733,403
CNAG_03910L,CNAG_03910,425
CNAG_04059L,CNAG_04059,1568
CNAG_07491L,CNAG_07491,454
CNAG_05181L,CNAG_05181,302
