Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,159
CNAG_05387R,CNAG_05387,215
CNAG_05638R,CNAG_05638,135
CNAG_05639R,CNAG_05639,159
CNAG_06346R,CNAG_06346,165
CNAG_06347R,CNAG_06347,138
CNAG_06517R,CNAG_06517,136
CNAG_06201R,CNAG_06201,129
CNAG_06104R,CNAG_06104,112
CNAG_07902R,CNAG_07902,182
CNAG_06241R,CNAG_06241,101
CNAG_06242R,CNAG_06242,85
CNAG_07911R,CNAG_07911,190
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,187
CNAG_01902R,CNAG_01902,18
CNAG_01680R,CNAG_01680,142
CNAG_01989R,CNAG_01989,136
CNAG_01939R,CNAG_01939,1
CNAG_01965R,CNAG_01965,160
CNAG_01925R,CNAG_01925,103
CNAG_04837R,CNAG_04837,159
CNAG_04836R,CNAG_04836,91
CNAG_04875R,CNAG_04875,122
CNAG_04868R,CNAG_04868,28
CNAG_04518R,CNAG_04518,119
CNAG_04517R,CNAG_04517,151
CNAG_07770R,CNAG_07770,129
CNAG_03333R,CNAG_03333,209
CNAG_07742R,CNAG_07742,313
CNAG_03142R,CNAG_03142,110
CNAG_03566R,CNAG_03566,124
CNAG_06567R,CNAG_06567,1
CNAG_05867R,CNAG_05867,100
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,206
CNAG_02189R,CNAG_02189,144
CNAG_02182R,CNAG_02182,1
CNAG_02371R,CNAG_02371,115
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,109
CNAG_03669R,CNAG_03669,166
CNAG_07332R,CNAG_07332,108
CNAG_00285R,CNAG_00285,126
CNAG_00830R,CNAG_00830,164
CNAG_00841R,CNAG_00841,141
CNAG_06531R,CNAG_06531,202
CNAG_03279R,CNAG_03279,189
CNAG_03336R,CNAG_03336,202
CNAG_06339R,CNAG_06339,195
CNAG_03768R,CNAG_03768,183
CNAG_04534R,CNAG_04534,119
CNAG_01973R,CNAG_01973,249
CNAG_07867R,CNAG_07867,131
CNAG_05333R,CNAG_05333,145
CNAG_06425R,CNAG_06425,158
CNAG_03849R,CNAG_03849,219
CNAG_02603R,CNAG_02603,139
CNAG_02555R,CNAG_02555,185
CNAG_02525R,CNAG_02525,20
CNAG_03431R,CNAG_03431,57
CNAG_05049R,CNAG_05049,131
CNAG_03914R,CNAG_03914,148
CNAG_02476R,CNAG_02476,166
CNAG_07583R,CNAG_07583,145
CNAG_05112R,CNAG_05112,130
CNAG_03366R,CNAG_03366,215
CNAG_04090R,CNAG_04090,240
CNAG_00791R,CNAG_00791,83
CNAG_05375R,CNAG_05375,2804
CNAG_02516R,CNAG_02516,165
CNAG_04804R,CNAG_04804,122
CNAG_07725R,CNAG_07725,2
CNAG_06203R,CNAG_06203,147
CNAG_01883R,CNAG_01883,164
CNAG_03401R,CNAG_03401,137
CNAG_02435R,CNAG_02435,108
CNAG_05153R,CNAG_05153,4
CNAG_01708R,CNAG_01708,89
CNAG_03700R,CNAG_03700,185
CNAG_05215R,CNAG_05215,117
CNAG_01438R,CNAG_01438,94
CNAG_07464R,CNAG_07464,129
CNAG_01858R,CNAG_01858,225
CNAG_04586R,CNAG_04586,170
CNAG_05176R,CNAG_05176,193
CNAG_01014R,CNAG_01014,68
CNAG_01454R,CNAG_01454,142
CNAG_06327R,CNAG_06327,82
CNAG_03788R,CNAG_03788,166
CNAG_00871R,CNAG_00871,161
CNAG_00559R,CNAG_00559,3664
CNAG_07370R,CNAG_07370,176
CNAG_04630R,CNAG_04630,1
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,177
CNAG_01645R,CNAG_01645,290
CNAG_01242R,CNAG_01242,111
CNAG_02788R,CNAG_02788,44
CNAG_07435R,CNAG_07435,34
CNAG_07924R,CNAG_07924,184
CNAG_01071R,CNAG_01071,92
CNAG_00883R,CNAG_00883,97
CNAG_03741R,CNAG_03741,93
CNAG_03745R,CNAG_03745,146
CNAG_00192R,CNAG_00192,133
CNAG_00670R,CNAG_00670,187
CNAG_06871R,CNAG_06871,154
CNAG_04457R,CNAG_04457,150
CNAG_04588R,CNAG_04588,75
CNAG_03894R,CNAG_03894,190
CNAG_04012R,CNAG_04012,211
CNAG_01487R,CNAG_01487,165
CNAG_05170R,CNAG_05170,171
CNAG_02364R,CNAG_02364,119
CNAG_04093R,CNAG_04093,145
CNAG_02322R,CNAG_02322,140
CNAG_05255R,CNAG_05255,166
CNAG_03018R,CNAG_03018,158
CNAG_07901R,CNAG_07901,129
CNAG_03086R,CNAG_03086,129
CNAG_06097R,CNAG_06097,174
CNAG_06136R,CNAG_06136,160
CNAG_03177R,CNAG_03177,166
CNAG_03183R,CNAG_03183,96
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,172
CNAG_04768R,CNAG_04768,158
CNAG_06276R,CNAG_06276,163
CNAG_05222R,CNAG_05222,40
CNAG_03409R,CNAG_03409,37
CNAG_05622R,CNAG_05622,165
CNAG_04637R,CNAG_04637,98
CNAG_07680R,CNAG_07680,107
CNAG_02215R,CNAG_02215,67
CNAG_02387R,CNAG_02387,204
CNAG_04086R,CNAG_04086,181
CNAG_05697R,CNAG_05697,254
CNAG_04507R,CNAG_04507,168
CNAG_04506R,CNAG_04506,130
CNAG_00068R,CNAG_00068,261
CNAG_00733R,CNAG_00733,121
CNAG_03910R,CNAG_03910,182
CNAG_04059R,CNAG_04059,133
CNAG_07491R,CNAG_07491,573
CNAG_05181R,CNAG_05181,184
CNAG_03772R,CNAG_03772,170
CNAG_00445R,CNAG_00445,263
CNAG_01901R,CNAG_01901,241
CNAG_05313R,CNAG_05313,121
CNAG_05312R,CNAG_05312,177
CNAG_02682R,CNAG_02682,1
CNAG_00442R,CNAG_00442,181
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,194
CNAG_01230R,CNAG_01230,70
CNAG_00179R,CNAG_00179,1
CNAG_00547R,CNAG_00547,129
CNAG_00598R,CNAG_00598,160
CNAG_02219R,CNAG_02219,204
CNAG_03013R,CNAG_03013,36
CNAG_07540R,CNAG_07540,221
CNAG_04980R,CNAG_04980,1
CNAG_00456R,CNAG_00456,170
CNAG_00455R,CNAG_00455,141
CNAG_00107R,CNAG_00107,125
CNAG_00106R,CNAG_00106,2
CNAG_01061R,CNAG_01061,150
CNAG_03848R,CNAG_03848,1
CNAG_01013R,CNAG_01013,39
CNAG_00531R,CNAG_00531,1
CNAG_05159R,CNAG_05159,1
CNAG_05080R,CNAG_05080,120
CNAG_00164R,CNAG_00164,166
