Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,173
CNAG_05515L,CNAG_05515,257
CNAG_05641L,CNAG_05641,228
CNAG_05387L,CNAG_05387,230
CNAG_05590L,CNAG_05590,90
CNAG_07869L,CNAG_07869,336
CNAG_05340L,CNAG_05340,386
CNAG_05638L,CNAG_05638,236
CNAG_05639L,CNAG_05639,187
CNAG_06346L,CNAG_06346,279
CNAG_06347L,CNAG_06347,167
CNAG_06517L,CNAG_06517,382
CNAG_07939L,CNAG_07939,183
CNAG_06493L,CNAG_06493,233
CNAG_06201L,CNAG_06201,219
CNAG_06104L,CNAG_06104,180
CNAG_06081L,CNAG_06081,266
CNAG_07902L,CNAG_07902,228
CNAG_06241L,CNAG_06241,136
CNAG_06242L,CNAG_06242,171
CNAG_06186L,CNAG_06186,122
CNAG_07911L,CNAG_07911,203
CNAG_01551L,CNAG_01551,82
CNAG_01683L,CNAG_01683,210
CNAG_01983L,CNAG_01983,288
CNAG_01902L,CNAG_01902,3
CNAG_01680L,CNAG_01680,223
CNAG_01621L,CNAG_01621,157
CNAG_01988L,CNAG_01988,234
CNAG_01989L,CNAG_01989,202
CNAG_01939L,CNAG_01939,214
CNAG_01993L,CNAG_01993,205
CNAG_01992L,CNAG_01992,221
CNAG_01965L,CNAG_01965,202
CNAG_01562L,CNAG_01562,135
CNAG_01925L,CNAG_01925,180
CNAG_04756L,CNAG_04756,180
CNAG_04807L,CNAG_04807,324
CNAG_04837L,CNAG_04837,230
CNAG_04836L,CNAG_04836,191
CNAG_04737L,CNAG_04737,260
CNAG_04875L,CNAG_04875,28
CNAG_04874L,CNAG_04874,644
CNAG_04868L,CNAG_04868,50
CNAG_04752L,CNAG_04752,251
CNAG_04753L,CNAG_04753,1084
CNAG_04909L,CNAG_04909,214
CNAG_04908L,CNAG_04908,250
CNAG_04659L,CNAG_04659,159
CNAG_04623L,CNAG_04623,227
CNAG_04518L,CNAG_04518,238
CNAG_04517L,CNAG_04517,250
CNAG_07770L,CNAG_07770,224
CNAG_04436L,CNAG_04436,114
CNAG_04271L,CNAG_04271,178
CNAG_04270L,CNAG_04270,391
CNAG_03346L,CNAG_03346,274
CNAG_03433L,CNAG_03433,198
CNAG_03333L,CNAG_03333,280
CNAG_07742L,CNAG_07742,624
CNAG_03438L,CNAG_03438,91
CNAG_03223L,CNAG_03223,106
CNAG_03142L,CNAG_03142,177
CNAG_03143L,CNAG_03143,177
CNAG_03545L,CNAG_03545,267
CNAG_03161L,CNAG_03161,3
CNAG_03566L,CNAG_03566,203
CNAG_05835L,CNAG_05835,249
CNAG_05864L,CNAG_05864,216
CNAG_06567L,CNAG_06567,309
CNAG_05742L,CNAG_05742,80
CNAG_05743L,CNAG_05743,96
CNAG_05867L,CNAG_05867,134
CNAG_05685L,CNAG_05685,607
CNAG_05684L,CNAG_05684,70
CNAG_05785L,CNAG_05785,195
CNAG_05843L,CNAG_05843,1
CNAG_06554L,CNAG_06554,283
CNAG_02189L,CNAG_02189,219
CNAG_02188L,CNAG_02188,251
CNAG_02182L,CNAG_02182,183
CNAG_07631L,CNAG_07631,216
CNAG_02371L,CNAG_02371,202
CNAG_07633L,CNAG_07633,69
CNAG_01069L,CNAG_01069,203
CNAG_00896L,CNAG_00896,691
CNAG_06719L,CNAG_06719,111
CNAG_03669L,CNAG_03669,191
CNAG_00031L,CNAG_00031,270
CNAG_07332L,CNAG_07332,194
CNAG_00285L,CNAG_00285,227
CNAG_00828L,CNAG_00828,204
CNAG_00830L,CNAG_00830,268
CNAG_00841L,CNAG_00841,185
CNAG_02774L,CNAG_02774,161
CNAG_06531L,CNAG_06531,388
CNAG_03279L,CNAG_03279,213
CNAG_03336L,CNAG_03336,380
CNAG_06339L,CNAG_06339,263
CNAG_03768L,CNAG_03768,208
CNAG_04534L,CNAG_04534,327
CNAG_01973L,CNAG_01973,3
CNAG_07867L,CNAG_07867,201
CNAG_05333L,CNAG_05333,222
CNAG_06425L,CNAG_06425,230
CNAG_03849L,CNAG_03849,483
CNAG_02603L,CNAG_02603,191
CNAG_02555L,CNAG_02555,288
CNAG_03431L,CNAG_03431,127
CNAG_05049L,CNAG_05049,156
CNAG_05380L,CNAG_05380,277
CNAG_03914L,CNAG_03914,266
CNAG_02476L,CNAG_02476,257
CNAG_07583L,CNAG_07583,255
CNAG_02466L,CNAG_02466,214
CNAG_05112L,CNAG_05112,196
CNAG_03366L,CNAG_03366,267
CNAG_03977L,CNAG_03977,64
CNAG_04090L,CNAG_04090,195
CNAG_00791L,CNAG_00791,147
CNAG_06751L,CNAG_06751,182
CNAG_05375L,CNAG_05375,3859
CNAG_02516L,CNAG_02516,220
CNAG_04804L,CNAG_04804,76
CNAG_00627L,CNAG_00627,262
CNAG_07725L,CNAG_07725,252
CNAG_06203L,CNAG_06203,326
CNAG_00514L,CNAG_00514,1
CNAG_01883L,CNAG_01883,163
CNAG_03401L,CNAG_03401,193
CNAG_02435L,CNAG_02435,336
CNAG_05153L,CNAG_05153,4
CNAG_01708L,CNAG_01708,252
CNAG_03700L,CNAG_03700,196
CNAG_07320L,CNAG_07320,66
CNAG_05215L,CNAG_05215,275
CNAG_01438L,CNAG_01438,121
CNAG_07464L,CNAG_07464,25
CNAG_01858L,CNAG_01858,311
CNAG_04586L,CNAG_04586,361
CNAG_05093L,CNAG_05093,261
CNAG_05176L,CNAG_05176,204
CNAG_01014L,CNAG_01014,162
CNAG_00998L,CNAG_00998,197
CNAG_00039L,CNAG_00039,192
CNAG_07329L,CNAG_07329,2
CNAG_01454L,CNAG_01454,251
CNAG_02700L,CNAG_02700,12
CNAG_06327L,CNAG_06327,70
CNAG_03788L,CNAG_03788,292
CNAG_00871L,CNAG_00871,295
CNAG_00559L,CNAG_00559,5322
CNAG_07370L,CNAG_07370,284
CNAG_00732L,CNAG_00732,141
CNAG_04630L,CNAG_04630,10
CNAG_07940L,CNAG_07940,301
CNAG_02589L,CNAG_02589,246
CNAG_05067L,CNAG_05067,221
CNAG_01645L,CNAG_01645,547
CNAG_06134L,CNAG_06134,68
CNAG_01242L,CNAG_01242,202
CNAG_02788L,CNAG_02788,7
CNAG_07435L,CNAG_07435,1
CNAG_03998L,CNAG_03998,180
CNAG_07924L,CNAG_07924,141
CNAG_01071L,CNAG_01071,185
CNAG_00883L,CNAG_00883,384
CNAG_03741L,CNAG_03741,173
CNAG_03745L,CNAG_03745,274
CNAG_00192L,CNAG_00192,199
CNAG_00670L,CNAG_00670,184
CNAG_06871L,CNAG_06871,337
CNAG_04457L,CNAG_04457,242
CNAG_02723L,CNAG_02723,238
CNAG_04588L,CNAG_04588,66
CNAG_01977L,CNAG_01977,180
CNAG_03894L,CNAG_03894,292
