Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,20
CNAG_05515L,CNAG_05515,196
CNAG_05641L,CNAG_05641,125
CNAG_05387L,CNAG_05387,180
CNAG_05590L,CNAG_05590,237
CNAG_07869L,CNAG_07869,155
CNAG_05340L,CNAG_05340,48
CNAG_05638L,CNAG_05638,125
CNAG_05639L,CNAG_05639,97
CNAG_06346L,CNAG_06346,127
CNAG_06347L,CNAG_06347,123
CNAG_06517L,CNAG_06517,167
CNAG_07939L,CNAG_07939,131
CNAG_06493L,CNAG_06493,111
CNAG_06201L,CNAG_06201,115
CNAG_06104L,CNAG_06104,96
CNAG_06081L,CNAG_06081,138
CNAG_07902L,CNAG_07902,151
CNAG_06241L,CNAG_06241,64
CNAG_06242L,CNAG_06242,63
CNAG_06186L,CNAG_06186,112
CNAG_07911L,CNAG_07911,150
CNAG_01551L,CNAG_01551,82
CNAG_01683L,CNAG_01683,106
CNAG_01983L,CNAG_01983,147
CNAG_01902L,CNAG_01902,1
CNAG_01680L,CNAG_01680,123
CNAG_01621L,CNAG_01621,102
CNAG_01988L,CNAG_01988,112
CNAG_01989L,CNAG_01989,135
CNAG_01939L,CNAG_01939,167
CNAG_01993L,CNAG_01993,91
CNAG_01992L,CNAG_01992,111
CNAG_01965L,CNAG_01965,113
CNAG_01562L,CNAG_01562,91
CNAG_01925L,CNAG_01925,140
CNAG_04756L,CNAG_04756,124
CNAG_04807L,CNAG_04807,166
CNAG_04837L,CNAG_04837,160
CNAG_04836L,CNAG_04836,121
CNAG_04737L,CNAG_04737,188
CNAG_04875L,CNAG_04875,192
CNAG_04874L,CNAG_04874,326
CNAG_04868L,CNAG_04868,28
CNAG_04752L,CNAG_04752,101
CNAG_04753L,CNAG_04753,676
CNAG_04909L,CNAG_04909,137
CNAG_04908L,CNAG_04908,159
CNAG_04659L,CNAG_04659,108
CNAG_04623L,CNAG_04623,109
CNAG_04518L,CNAG_04518,98
CNAG_04517L,CNAG_04517,118
CNAG_07770L,CNAG_07770,145
CNAG_04436L,CNAG_04436,78
CNAG_04271L,CNAG_04271,124
CNAG_04270L,CNAG_04270,168
CNAG_03346L,CNAG_03346,143
CNAG_03433L,CNAG_03433,167
CNAG_03333L,CNAG_03333,178
CNAG_07742L,CNAG_07742,402
CNAG_03438L,CNAG_03438,97
CNAG_03223L,CNAG_03223,73
CNAG_03142L,CNAG_03142,110
CNAG_03143L,CNAG_03143,113
CNAG_03545L,CNAG_03545,129
CNAG_03161L,CNAG_03161,33
CNAG_03566L,CNAG_03566,153
CNAG_05835L,CNAG_05835,146
CNAG_05864L,CNAG_05864,68
CNAG_06567L,CNAG_06567,143
CNAG_05742L,CNAG_05742,5
CNAG_05743L,CNAG_05743,65
CNAG_05867L,CNAG_05867,95
CNAG_05685L,CNAG_05685,384
CNAG_05684L,CNAG_05684,125
CNAG_05785L,CNAG_05785,129
CNAG_06554L,CNAG_06554,134
CNAG_02189L,CNAG_02189,119
CNAG_02188L,CNAG_02188,191
CNAG_02182L,CNAG_02182,100
CNAG_07631L,CNAG_07631,176
CNAG_02371L,CNAG_02371,128
CNAG_07633L,CNAG_07633,92
CNAG_01069L,CNAG_01069,137
CNAG_00896L,CNAG_00896,400
CNAG_06719L,CNAG_06719,47
CNAG_03669L,CNAG_03669,148
CNAG_00031L,CNAG_00031,123
CNAG_07332L,CNAG_07332,103
CNAG_00285L,CNAG_00285,148
CNAG_00828L,CNAG_00828,110
CNAG_00830L,CNAG_00830,101
CNAG_00841L,CNAG_00841,128
CNAG_02774L,CNAG_02774,117
CNAG_06531L,CNAG_06531,240
CNAG_03279L,CNAG_03279,161
CNAG_03336L,CNAG_03336,180
CNAG_06339L,CNAG_06339,168
CNAG_03768L,CNAG_03768,112
CNAG_04534L,CNAG_04534,115
CNAG_01973L,CNAG_01973,7
CNAG_07867L,CNAG_07867,116
CNAG_05333L,CNAG_05333,122
CNAG_06425L,CNAG_06425,115
CNAG_03849L,CNAG_03849,323
CNAG_02603L,CNAG_02603,124
CNAG_02555L,CNAG_02555,137
CNAG_03431L,CNAG_03431,75
CNAG_05049L,CNAG_05049,91
CNAG_05380L,CNAG_05380,94
CNAG_03914L,CNAG_03914,129
CNAG_02476L,CNAG_02476,159
CNAG_07583L,CNAG_07583,102
CNAG_02466L,CNAG_02466,120
CNAG_05112L,CNAG_05112,129
CNAG_03366L,CNAG_03366,184
CNAG_03977L,CNAG_03977,82
CNAG_04090L,CNAG_04090,252
CNAG_00791L,CNAG_00791,112
CNAG_06751L,CNAG_06751,82
CNAG_05375L,CNAG_05375,2215
CNAG_02516L,CNAG_02516,105
CNAG_04804L,CNAG_04804,1
CNAG_00627L,CNAG_00627,140
CNAG_07725L,CNAG_07725,159
CNAG_06203L,CNAG_06203,105
CNAG_01883L,CNAG_01883,150
CNAG_03401L,CNAG_03401,142
CNAG_02435L,CNAG_02435,148
CNAG_05153L,CNAG_05153,4
CNAG_01708L,CNAG_01708,90
CNAG_03700L,CNAG_03700,152
CNAG_07320L,CNAG_07320,39
CNAG_05215L,CNAG_05215,75
CNAG_01438L,CNAG_01438,67
CNAG_07464L,CNAG_07464,64
CNAG_01858L,CNAG_01858,177
CNAG_04586L,CNAG_04586,186
CNAG_05093L,CNAG_05093,116
CNAG_05176L,CNAG_05176,150
CNAG_01014L,CNAG_01014,42
CNAG_00998L,CNAG_00998,111
CNAG_00039L,CNAG_00039,137
CNAG_07329L,CNAG_07329,16
CNAG_01454L,CNAG_01454,151
CNAG_02700L,CNAG_02700,2
CNAG_06327L,CNAG_06327,41
CNAG_03788L,CNAG_03788,111
CNAG_00871L,CNAG_00871,140
CNAG_00559L,CNAG_00559,3658
CNAG_07370L,CNAG_07370,163
CNAG_00732L,CNAG_00732,158
CNAG_04630L,CNAG_04630,161
CNAG_07940L,CNAG_07940,126
CNAG_02589L,CNAG_02589,128
CNAG_05067L,CNAG_05067,162
CNAG_01645L,CNAG_01645,297
CNAG_01242L,CNAG_01242,18
CNAG_02788L,CNAG_02788,9
CNAG_07435L,CNAG_07435,7
CNAG_03998L,CNAG_03998,137
CNAG_07924L,CNAG_07924,125
CNAG_01071L,CNAG_01071,83
CNAG_00883L,CNAG_00883,82
CNAG_03741L,CNAG_03741,93
CNAG_03745L,CNAG_03745,186
CNAG_00192L,CNAG_00192,147
