Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,232
CNAG_05387R,CNAG_05387,252
CNAG_05638R,CNAG_05638,174
CNAG_05639R,CNAG_05639,134
CNAG_06346R,CNAG_06346,143
CNAG_06347R,CNAG_06347,139
CNAG_06517R,CNAG_06517,204
CNAG_06201R,CNAG_06201,141
CNAG_06104R,CNAG_06104,164
CNAG_07902R,CNAG_07902,213
CNAG_06241R,CNAG_06241,82
CNAG_06242R,CNAG_06242,74
CNAG_06186R,CNAG_06186,2
CNAG_07911R,CNAG_07911,167
CNAG_01683R,CNAG_01683,187
CNAG_01680R,CNAG_01680,176
CNAG_01989R,CNAG_01989,140
CNAG_01965R,CNAG_01965,164
CNAG_01925R,CNAG_01925,159
CNAG_04837R,CNAG_04837,186
CNAG_04836R,CNAG_04836,157
CNAG_04875R,CNAG_04875,244
CNAG_04868R,CNAG_04868,57
CNAG_04753R,CNAG_04753,3
CNAG_04518R,CNAG_04518,140
CNAG_04517R,CNAG_04517,147
CNAG_07770R,CNAG_07770,124
CNAG_04436R,CNAG_04436,1
CNAG_03333R,CNAG_03333,189
CNAG_07742R,CNAG_07742,361
CNAG_03142R,CNAG_03142,134
CNAG_03566R,CNAG_03566,149
CNAG_05867R,CNAG_05867,148
CNAG_05684R,CNAG_05684,130
CNAG_02189R,CNAG_02189,159
CNAG_02371R,CNAG_02371,142
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,133
CNAG_03669R,CNAG_03669,145
CNAG_07332R,CNAG_07332,115
CNAG_00285R,CNAG_00285,145
CNAG_00830R,CNAG_00830,161
CNAG_00841R,CNAG_00841,176
CNAG_06531R,CNAG_06531,265
CNAG_03279R,CNAG_03279,169
CNAG_03336R,CNAG_03336,227
CNAG_06339R,CNAG_06339,231
CNAG_03768R,CNAG_03768,181
CNAG_04534R,CNAG_04534,132
CNAG_01973R,CNAG_01973,179
CNAG_07867R,CNAG_07867,138
CNAG_05333R,CNAG_05333,155
CNAG_06425R,CNAG_06425,140
CNAG_03849R,CNAG_03849,153
CNAG_02603R,CNAG_02603,144
CNAG_02555R,CNAG_02555,200
CNAG_02525R,CNAG_02525,42
CNAG_03431R,CNAG_03431,77
CNAG_05049R,CNAG_05049,99
CNAG_03914R,CNAG_03914,141
CNAG_02476R,CNAG_02476,144
CNAG_07583R,CNAG_07583,136
CNAG_05112R,CNAG_05112,116
CNAG_03366R,CNAG_03366,217
CNAG_04090R,CNAG_04090,276
CNAG_00791R,CNAG_00791,106
CNAG_05375R,CNAG_05375,3109
CNAG_02516R,CNAG_02516,135
CNAG_04804R,CNAG_04804,3
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,156
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,212
CNAG_03401R,CNAG_03401,161
CNAG_02435R,CNAG_02435,128
CNAG_05153R,CNAG_05153,11
CNAG_01708R,CNAG_01708,139
CNAG_03700R,CNAG_03700,192
CNAG_05215R,CNAG_05215,106
CNAG_01438R,CNAG_01438,76
CNAG_07464R,CNAG_07464,92
CNAG_01858R,CNAG_01858,201
CNAG_04586R,CNAG_04586,205
CNAG_05176R,CNAG_05176,162
CNAG_01014R,CNAG_01014,58
CNAG_01454R,CNAG_01454,162
CNAG_06327R,CNAG_06327,45
CNAG_03788R,CNAG_03788,175
CNAG_00871R,CNAG_00871,180
CNAG_00559R,CNAG_00559,4553
CNAG_07370R,CNAG_07370,220
CNAG_02589R,CNAG_02589,156
CNAG_01645R,CNAG_01645,409
CNAG_01242R,CNAG_01242,31
CNAG_02788R,CNAG_02788,18
CNAG_07435R,CNAG_07435,14
CNAG_07924R,CNAG_07924,177
CNAG_01071R,CNAG_01071,147
CNAG_00883R,CNAG_00883,114
CNAG_03741R,CNAG_03741,95
CNAG_03745R,CNAG_03745,195
CNAG_00192R,CNAG_00192,170
CNAG_00670R,CNAG_00670,176
CNAG_06871R,CNAG_06871,155
CNAG_04457R,CNAG_04457,194
CNAG_04588R,CNAG_04588,40
CNAG_03894R,CNAG_03894,229
CNAG_04012R,CNAG_04012,186
CNAG_01487R,CNAG_01487,159
CNAG_05170R,CNAG_05170,164
CNAG_02364R,CNAG_02364,165
CNAG_04093R,CNAG_04093,200
CNAG_02322R,CNAG_02322,159
CNAG_05255R,CNAG_05255,143
CNAG_03018R,CNAG_03018,128
CNAG_07901R,CNAG_07901,123
CNAG_03086R,CNAG_03086,138
CNAG_06097R,CNAG_06097,162
CNAG_06136R,CNAG_06136,185
CNAG_03177R,CNAG_03177,154
CNAG_03183R,CNAG_03183,65
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,170
CNAG_04768R,CNAG_04768,198
CNAG_06276R,CNAG_06276,179
CNAG_05222R,CNAG_05222,33
CNAG_03409R,CNAG_03409,57
CNAG_05622R,CNAG_05622,194
CNAG_04637R,CNAG_04637,124
CNAG_07680R,CNAG_07680,37
CNAG_02215R,CNAG_02215,13
CNAG_02387R,CNAG_02387,145
CNAG_04086R,CNAG_04086,199
CNAG_05697R,CNAG_05697,231
CNAG_06205R,CNAG_06205,2
CNAG_04507R,CNAG_04507,156
CNAG_04506R,CNAG_04506,160
CNAG_00068R,CNAG_00068,276
CNAG_00733R,CNAG_00733,206
CNAG_03910R,CNAG_03910,182
CNAG_04059R,CNAG_04059,125
CNAG_07491R,CNAG_07491,482
CNAG_05181R,CNAG_05181,144
CNAG_03772R,CNAG_03772,182
CNAG_00445R,CNAG_00445,217
CNAG_01901R,CNAG_01901,238
CNAG_05313R,CNAG_05313,24
CNAG_05312R,CNAG_05312,158
CNAG_00442R,CNAG_00442,197
CNAG_00183R,CNAG_00183,1
CNAG_07548R,CNAG_07548,2
CNAG_01277R,CNAG_01277,296
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,106
CNAG_00547R,CNAG_00547,144
CNAG_00598R,CNAG_00598,192
CNAG_00597R,CNAG_00597,1
CNAG_02219R,CNAG_02219,250
CNAG_02220R,CNAG_02220,1
CNAG_03013R,CNAG_03013,92
CNAG_07540R,CNAG_07540,213
CNAG_04980R,CNAG_04980,14
CNAG_00456R,CNAG_00456,134
CNAG_00455R,CNAG_00455,167
CNAG_00107R,CNAG_00107,140
CNAG_00106R,CNAG_00106,1
CNAG_01061R,CNAG_01061,147
CNAG_01013R,CNAG_01013,22
CNAG_05080R,CNAG_05080,176
CNAG_00164R,CNAG_00164,164
CNAG_04077R,CNAG_04077,1
CNAG_03677R,CNAG_03677,178
CNAG_05077R,CNAG_05077,197
CNAG_02554R,CNAG_02554,1
CNAG_00776R,CNAG_00776,20
CNAG_04024R,CNAG_04024,170
CNAG_04025R,CNAG_04025,179
CNAG_02348R,CNAG_02348,1
CNAG_01019R,CNAG_01019,133
CNAG_01803R,CNAG_01803,191
CNAG_07541R,CNAG_07541,165
CNAG_07542R,CNAG_07542,262
CNAG_05915R,CNAG_05915,133
CNAG_00917R,CNAG_00917,584
CNAG_00919R,CNAG_00919,188
CNAG_05458R,CNAG_05458,240
CNAG_05459R,CNAG_05459,235
CNAG_01985R,CNAG_01985,87
CNAG_00740R,CNAG_00740,60
CNAG_04163R,CNAG_04163,152
CNAG_04162R,CNAG_04162,79
CNAG_04755R,CNAG_04755,196
CNAG_01777R,CNAG_01777,134
CNAG_03173R,CNAG_03173,181
CNAG_03172R,CNAG_03172,163
CNAG_07388R,CNAG_07388,137
CNAG_07389R,CNAG_07389,170
CNAG_06060R,CNAG_06060,111
CNAG_00581R,CNAG_00581,103
CNAG_02045R,CNAG_02045,235
CNAG_04950R,CNAG_04950,157
CNAG_04949R,CNAG_04949,143
CNAG_01865R,CNAG_01865,175
CNAG_00717R,CNAG_00717,81
CNAG_06896R,CNAG_06896,146
CNAG_05812R,CNAG_05812,176
CNAG_06658R,CNAG_06658,160
CNAG_05994R,CNAG_05994,158
CNAG_02517R,CNAG_02517,164
CNAG_03329R,CNAG_03329,99
CNAG_04471R,CNAG_04471,195
CNAG_01919R,CNAG_01919,1
CNAG_00699R,CNAG_00699,114
CNAG_02129R,CNAG_02129,225
CNAG_05352R,CNAG_05352,53
CNAG_07486R,CNAG_07486,162
CNAG_00710R,CNAG_00710,144
CNAG_00709R,CNAG_00709,157
CNAG_03689R,CNAG_03689,138
CNAG_01704R,CNAG_01704,166
CNAG_07827R,CNAG_07827,139
CNAG_07516R,CNAG_07516,161
CNAG_00157R,CNAG_00157,122
CNAG_01776R,CNAG_01776,114
CNAG_07605R,CNAG_07605,110
CNAG_01846R,CNAG_01846,164
CNAG_02540R,CNAG_02540,1
