Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,441
CNAG_05387R,CNAG_05387,437
CNAG_05638R,CNAG_05638,381
CNAG_05639R,CNAG_05639,335
CNAG_06346R,CNAG_06346,353
CNAG_06347R,CNAG_06347,400
CNAG_06517R,CNAG_06517,445
CNAG_06201R,CNAG_06201,339
CNAG_06104R,CNAG_06104,287
CNAG_07902R,CNAG_07902,381
CNAG_06241R,CNAG_06241,54
CNAG_06242R,CNAG_06242,46
CNAG_07911R,CNAG_07911,333
CNAG_01683R,CNAG_01683,357
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,13
CNAG_01680R,CNAG_01680,387
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,247
CNAG_01939R,CNAG_01939,1
CNAG_01965R,CNAG_01965,365
CNAG_01925R,CNAG_01925,328
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,345
CNAG_04836R,CNAG_04836,308
CNAG_04875R,CNAG_04875,37
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,89
CNAG_04752R,CNAG_04752,2
CNAG_04518R,CNAG_04518,335
CNAG_04517R,CNAG_04517,341
CNAG_07770R,CNAG_07770,399
CNAG_03333R,CNAG_03333,523
CNAG_07742R,CNAG_07742,715
CNAG_03142R,CNAG_03142,347
CNAG_03566R,CNAG_03566,274
CNAG_05867R,CNAG_05867,223
CNAG_05684R,CNAG_05684,226
CNAG_05785R,CNAG_05785,2
CNAG_02189R,CNAG_02189,411
CNAG_02182R,CNAG_02182,1
CNAG_02371R,CNAG_02371,269
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,290
CNAG_03669R,CNAG_03669,356
CNAG_07332R,CNAG_07332,254
CNAG_00285R,CNAG_00285,430
CNAG_00830R,CNAG_00830,66
CNAG_00841R,CNAG_00841,290
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,572
CNAG_03279R,CNAG_03279,324
CNAG_03336R,CNAG_03336,392
CNAG_06339R,CNAG_06339,489
CNAG_03768R,CNAG_03768,368
CNAG_04534R,CNAG_04534,327
CNAG_01973R,CNAG_01973,176
CNAG_07867R,CNAG_07867,304
CNAG_05333R,CNAG_05333,310
CNAG_06425R,CNAG_06425,303
CNAG_03849R,CNAG_03849,367
CNAG_02603R,CNAG_02603,334
CNAG_02555R,CNAG_02555,385
CNAG_02525R,CNAG_02525,68
CNAG_03431R,CNAG_03431,370
CNAG_05049R,CNAG_05049,219
CNAG_03914R,CNAG_03914,320
CNAG_02476R,CNAG_02476,354
CNAG_07583R,CNAG_07583,309
CNAG_05112R,CNAG_05112,275
CNAG_03366R,CNAG_03366,400
CNAG_04090R,CNAG_04090,327
CNAG_00791R,CNAG_00791,243
CNAG_05375R,CNAG_05375,6495
CNAG_02516R,CNAG_02516,371
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,329
CNAG_01883R,CNAG_01883,683
CNAG_03401R,CNAG_03401,318
CNAG_02435R,CNAG_02435,460
CNAG_01708R,CNAG_01708,371
CNAG_03700R,CNAG_03700,352
CNAG_05215R,CNAG_05215,263
CNAG_01438R,CNAG_01438,491
CNAG_07464R,CNAG_07464,586
CNAG_01858R,CNAG_01858,429
CNAG_04586R,CNAG_04586,471
CNAG_05176R,CNAG_05176,490
CNAG_01014R,CNAG_01014,297
CNAG_01454R,CNAG_01454,362
CNAG_02700R,CNAG_02700,1
CNAG_06327R,CNAG_06327,26
CNAG_03788R,CNAG_03788,384
CNAG_00871R,CNAG_00871,400
CNAG_00559R,CNAG_00559,5015
CNAG_07370R,CNAG_07370,381
CNAG_02589R,CNAG_02589,385
CNAG_01645R,CNAG_01645,844
CNAG_06134R,CNAG_06134,1
CNAG_01242R,CNAG_01242,294
CNAG_02788R,CNAG_02788,65
CNAG_07435R,CNAG_07435,67
CNAG_03998R,CNAG_03998,1
CNAG_07924R,CNAG_07924,327
CNAG_01071R,CNAG_01071,305
CNAG_00883R,CNAG_00883,181
CNAG_03741R,CNAG_03741,246
CNAG_03745R,CNAG_03745,371
CNAG_00192R,CNAG_00192,333
CNAG_00670R,CNAG_00670,375
CNAG_06871R,CNAG_06871,395
CNAG_04457R,CNAG_04457,392
CNAG_04588R,CNAG_04588,55
CNAG_03894R,CNAG_03894,435
CNAG_04012R,CNAG_04012,396
CNAG_01487R,CNAG_01487,373
CNAG_05170R,CNAG_05170,285
CNAG_02364R,CNAG_02364,427
CNAG_04093R,CNAG_04093,356
CNAG_02322R,CNAG_02322,372
CNAG_05255R,CNAG_05255,423
CNAG_03018R,CNAG_03018,310
CNAG_07901R,CNAG_07901,337
CNAG_03086R,CNAG_03086,364
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,338
CNAG_06136R,CNAG_06136,367
CNAG_03177R,CNAG_03177,378
CNAG_03183R,CNAG_03183,138
CNAG_04774R,CNAG_04774,371
CNAG_04768R,CNAG_04768,323
CNAG_06276R,CNAG_06276,322
CNAG_05222R,CNAG_05222,11
CNAG_03409R,CNAG_03409,141
CNAG_05622R,CNAG_05622,421
CNAG_04637R,CNAG_04637,253
CNAG_07680R,CNAG_07680,128
CNAG_02215R,CNAG_02215,48
CNAG_02387R,CNAG_02387,289
CNAG_04086R,CNAG_04086,399
CNAG_05697R,CNAG_05697,421
CNAG_05372R,CNAG_05372,1
CNAG_04507R,CNAG_04507,334
CNAG_04506R,CNAG_04506,367
CNAG_00068R,CNAG_00068,386
CNAG_00733R,CNAG_00733,348
CNAG_03910R,CNAG_03910,435
CNAG_04059R,CNAG_04059,278
CNAG_07491R,CNAG_07491,1423
CNAG_05181R,CNAG_05181,441
CNAG_03772R,CNAG_03772,473
CNAG_00445R,CNAG_00445,126
CNAG_01901R,CNAG_01901,491
CNAG_05313R,CNAG_05313,124
CNAG_05312R,CNAG_05312,347
CNAG_03012R,CNAG_03012,1
CNAG_03011R,CNAG_03011,1
CNAG_00442R,CNAG_00442,383
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,421
CNAG_01230R,CNAG_01230,149
CNAG_00179R,CNAG_00179,2
CNAG_00547R,CNAG_00547,222
CNAG_00598R,CNAG_00598,386
CNAG_00597R,CNAG_00597,1
CNAG_02219R,CNAG_02219,455
CNAG_02220R,CNAG_02220,1
CNAG_03013R,CNAG_03013,108
CNAG_07540R,CNAG_07540,175
CNAG_04980R,CNAG_04980,58
CNAG_00456R,CNAG_00456,363
CNAG_00455R,CNAG_00455,322
CNAG_00107R,CNAG_00107,386
CNAG_01061R,CNAG_01061,379
CNAG_01013R,CNAG_01013,50
CNAG_05080R,CNAG_05080,345
CNAG_00164R,CNAG_00164,314
CNAG_04077R,CNAG_04077,2
CNAG_04658R,CNAG_04658,1
CNAG_03677R,CNAG_03677,437
CNAG_05076R,CNAG_05076,1
CNAG_05077R,CNAG_05077,345
CNAG_00776R,CNAG_00776,87
CNAG_04024R,CNAG_04024,453
CNAG_04025R,CNAG_04025,331
CNAG_00393R,CNAG_00393,1
CNAG_01019R,CNAG_01019,39
CNAG_01803R,CNAG_01803,423
CNAG_07541R,CNAG_07541,388
CNAG_07542R,CNAG_07542,347
CNAG_05915R,CNAG_05915,353
CNAG_00917R,CNAG_00917,1146
CNAG_00919R,CNAG_00919,341
CNAG_05458R,CNAG_05458,457
CNAG_05459R,CNAG_05459,630
CNAG_01985R,CNAG_01985,226
CNAG_00740R,CNAG_00740,3
CNAG_04163R,CNAG_04163,369
CNAG_04162R,CNAG_04162,191
CNAG_04755R,CNAG_04755,42
CNAG_01777R,CNAG_01777,333
CNAG_03173R,CNAG_03173,272
CNAG_03172R,CNAG_03172,394
CNAG_07388R,CNAG_07388,383
CNAG_07389R,CNAG_07389,369
CNAG_06060R,CNAG_06060,168
CNAG_00581R,CNAG_00581,123
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,482
CNAG_04950R,CNAG_04950,270
CNAG_04949R,CNAG_04949,323
CNAG_01865R,CNAG_01865,356
CNAG_00717R,CNAG_00717,245
CNAG_06896R,CNAG_06896,206
CNAG_05812R,CNAG_05812,307
CNAG_00079R,CNAG_00079,1
CNAG_06658R,CNAG_06658,340
CNAG_05994R,CNAG_05994,316
CNAG_02517R,CNAG_02517,380
CNAG_03329R,CNAG_03329,224
CNAG_04471R,CNAG_04471,368
CNAG_00699R,CNAG_00699,276
CNAG_02129R,CNAG_02129,370
CNAG_05352R,CNAG_05352,185
CNAG_07441R,CNAG_07441,3
CNAG_07486R,CNAG_07486,313
CNAG_00710R,CNAG_00710,284
CNAG_00709R,CNAG_00709,350
CNAG_03689R,CNAG_03689,125
CNAG_01704R,CNAG_01704,352
CNAG_07827R,CNAG_07827,318
CNAG_07516R,CNAG_07516,322
CNAG_00157R,CNAG_00157,375
CNAG_04892R,CNAG_04892,2
CNAG_04891R,CNAG_04891,1
CNAG_01776R,CNAG_01776,318
CNAG_07605R,CNAG_07605,314
