Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,299
CNAG_05387R,CNAG_05387,334
CNAG_05638R,CNAG_05638,257
CNAG_05639R,CNAG_05639,200
CNAG_06346R,CNAG_06346,270
CNAG_06347R,CNAG_06347,196
CNAG_06517R,CNAG_06517,279
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,216
CNAG_06104R,CNAG_06104,217
CNAG_07902R,CNAG_07902,270
CNAG_06241R,CNAG_06241,188
CNAG_06242R,CNAG_06242,209
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,253
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,234
CNAG_01902R,CNAG_01902,28
CNAG_01680R,CNAG_01680,218
CNAG_01989R,CNAG_01989,162
CNAG_01965R,CNAG_01965,257
CNAG_01925R,CNAG_01925,234
CNAG_04837R,CNAG_04837,251
CNAG_04836R,CNAG_04836,254
CNAG_04875R,CNAG_04875,367
CNAG_04868R,CNAG_04868,92
CNAG_04753R,CNAG_04753,3
CNAG_04518R,CNAG_04518,257
CNAG_04517R,CNAG_04517,227
CNAG_07770R,CNAG_07770,255
CNAG_03333R,CNAG_03333,317
CNAG_07742R,CNAG_07742,490
CNAG_03142R,CNAG_03142,205
CNAG_03566R,CNAG_03566,219
CNAG_05867R,CNAG_05867,168
CNAG_05684R,CNAG_05684,216
CNAG_02189R,CNAG_02189,190
CNAG_02371R,CNAG_02371,225
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,155
CNAG_03669R,CNAG_03669,236
CNAG_07332R,CNAG_07332,174
CNAG_00285R,CNAG_00285,165
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,273
CNAG_00841R,CNAG_00841,267
CNAG_06531R,CNAG_06531,439
CNAG_03279R,CNAG_03279,259
CNAG_03336R,CNAG_03336,365
CNAG_06339R,CNAG_06339,327
CNAG_03768R,CNAG_03768,244
CNAG_04534R,CNAG_04534,231
CNAG_01973R,CNAG_01973,253
CNAG_07867R,CNAG_07867,195
CNAG_05333R,CNAG_05333,236
CNAG_06425R,CNAG_06425,274
CNAG_03849R,CNAG_03849,286
CNAG_02603R,CNAG_02603,202
CNAG_02555R,CNAG_02555,268
CNAG_02525R,CNAG_02525,118
CNAG_03431R,CNAG_03431,182
CNAG_05049R,CNAG_05049,175
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,232
CNAG_02476R,CNAG_02476,235
CNAG_07583R,CNAG_07583,230
CNAG_05112R,CNAG_05112,209
CNAG_03366R,CNAG_03366,281
CNAG_04090R,CNAG_04090,670
CNAG_00791R,CNAG_00791,199
CNAG_05375R,CNAG_05375,5421
CNAG_02516R,CNAG_02516,212
CNAG_04804R,CNAG_04804,218
CNAG_06203R,CNAG_06203,239
CNAG_00193R,CNAG_00193,164
CNAG_01883R,CNAG_01883,368
CNAG_03401R,CNAG_03401,258
CNAG_02435R,CNAG_02435,231
CNAG_05153R,CNAG_05153,42
CNAG_01708R,CNAG_01708,194
CNAG_03700R,CNAG_03700,278
CNAG_05215R,CNAG_05215,219
CNAG_01438R,CNAG_01438,167
