Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,415
CNAG_05387R,CNAG_05387,460
CNAG_05638R,CNAG_05638,280
CNAG_05639R,CNAG_05639,262
CNAG_06346R,CNAG_06346,287
CNAG_06347R,CNAG_06347,263
CNAG_06517R,CNAG_06517,301
CNAG_06201R,CNAG_06201,269
CNAG_06104R,CNAG_06104,258
CNAG_07902R,CNAG_07902,318
CNAG_06241R,CNAG_06241,147
CNAG_06242R,CNAG_06242,123
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,304
CNAG_01551R,CNAG_01551,2
CNAG_01683R,CNAG_01683,262
CNAG_01902R,CNAG_01902,4
CNAG_01680R,CNAG_01680,280
CNAG_01989R,CNAG_01989,259
CNAG_01965R,CNAG_01965,324
CNAG_01925R,CNAG_01925,228
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,285
CNAG_04836R,CNAG_04836,276
CNAG_04875R,CNAG_04875,124
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,56
CNAG_04518R,CNAG_04518,284
CNAG_04517R,CNAG_04517,309
CNAG_07770R,CNAG_07770,308
CNAG_04271R,CNAG_04271,1
CNAG_03333R,CNAG_03333,322
CNAG_07742R,CNAG_07742,691
CNAG_03142R,CNAG_03142,247
CNAG_03566R,CNAG_03566,199
CNAG_05867R,CNAG_05867,177
CNAG_05684R,CNAG_05684,37
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,237
CNAG_02371R,CNAG_02371,262
CNAG_07633R,CNAG_07633,1
CNAG_06719R,CNAG_06719,219
CNAG_03669R,CNAG_03669,232
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,203
CNAG_00285R,CNAG_00285,257
CNAG_00828R,CNAG_00828,2
CNAG_00830R,CNAG_00830,189
CNAG_00841R,CNAG_00841,267
CNAG_06531R,CNAG_06531,424
CNAG_03279R,CNAG_03279,326
CNAG_03336R,CNAG_03336,392
CNAG_06339R,CNAG_06339,377
CNAG_03768R,CNAG_03768,298
CNAG_04534R,CNAG_04534,297
CNAG_01973R,CNAG_01973,60
CNAG_07867R,CNAG_07867,259
CNAG_05333R,CNAG_05333,286
CNAG_06425R,CNAG_06425,202
CNAG_03849R,CNAG_03849,337
CNAG_02603R,CNAG_02603,256
CNAG_02555R,CNAG_02555,355
CNAG_02525R,CNAG_02525,52
CNAG_03431R,CNAG_03431,259
CNAG_05049R,CNAG_05049,199
CNAG_03914R,CNAG_03914,325
CNAG_02476R,CNAG_02476,259
CNAG_07583R,CNAG_07583,236
CNAG_05112R,CNAG_05112,232
CNAG_03366R,CNAG_03366,337
CNAG_04090R,CNAG_04090,16
CNAG_00791R,CNAG_00791,154
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,6812
CNAG_02516R,CNAG_02516,276
CNAG_04804R,CNAG_04804,4
CNAG_06203R,CNAG_06203,277
CNAG_01883R,CNAG_01883,514
CNAG_03401R,CNAG_03401,254
CNAG_02435R,CNAG_02435,437
CNAG_05153R,CNAG_05153,1
CNAG_01708R,CNAG_01708,195
CNAG_03700R,CNAG_03700,241
CNAG_05215R,CNAG_05215,199
CNAG_01438R,CNAG_01438,281
CNAG_07464R,CNAG_07464,234
CNAG_01858R,CNAG_01858,342
CNAG_04586R,CNAG_04586,695
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,344
CNAG_01014R,CNAG_01014,156
CNAG_01454R,CNAG_01454,303
CNAG_06327R,CNAG_06327,9
CNAG_03788R,CNAG_03788,350
CNAG_00871R,CNAG_00871,342
CNAG_00559R,CNAG_00559,6339
CNAG_07370R,CNAG_07370,349
CNAG_02589R,CNAG_02589,266
CNAG_01645R,CNAG_01645,749
CNAG_01242R,CNAG_01242,63
CNAG_02788R,CNAG_02788,20
