Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,476
CNAG_05387R,CNAG_05387,460
CNAG_05340R,CNAG_05340,1
CNAG_05638R,CNAG_05638,331
CNAG_05639R,CNAG_05639,358
CNAG_06346R,CNAG_06346,401
CNAG_06347R,CNAG_06347,363
CNAG_06517R,CNAG_06517,426
CNAG_07939R,CNAG_07939,2
CNAG_06201R,CNAG_06201,352
CNAG_06104R,CNAG_06104,219
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,396
CNAG_06241R,CNAG_06241,235
CNAG_06242R,CNAG_06242,291
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,475
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,317
CNAG_01902R,CNAG_01902,24
CNAG_01680R,CNAG_01680,318
CNAG_01621R,CNAG_01621,1
CNAG_01989R,CNAG_01989,254
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,333
CNAG_01925R,CNAG_01925,303
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,397
CNAG_04836R,CNAG_04836,308
CNAG_04875R,CNAG_04875,74
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,90
CNAG_04753R,CNAG_04753,2
CNAG_04909R,CNAG_04909,1
CNAG_04518R,CNAG_04518,296
CNAG_04517R,CNAG_04517,360
CNAG_07770R,CNAG_07770,432
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,477
CNAG_07742R,CNAG_07742,653
CNAG_03142R,CNAG_03142,348
CNAG_03566R,CNAG_03566,373
CNAG_05867R,CNAG_05867,251
CNAG_05684R,CNAG_05684,244
CNAG_02189R,CNAG_02189,368
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,363
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,243
CNAG_03669R,CNAG_03669,388
CNAG_07332R,CNAG_07332,226
CNAG_00285R,CNAG_00285,358
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,334
CNAG_00841R,CNAG_00841,345
CNAG_06531R,CNAG_06531,612
CNAG_03279R,CNAG_03279,359
CNAG_03336R,CNAG_03336,478
CNAG_06339R,CNAG_06339,463
CNAG_03768R,CNAG_03768,388
CNAG_04534R,CNAG_04534,345
CNAG_01973R,CNAG_01973,307
CNAG_07867R,CNAG_07867,327
CNAG_05333R,CNAG_05333,459
CNAG_06425R,CNAG_06425,266
CNAG_03849R,CNAG_03849,338
CNAG_02603R,CNAG_02603,318
CNAG_02555R,CNAG_02555,424
CNAG_02525R,CNAG_02525,81
CNAG_03431R,CNAG_03431,358
CNAG_05049R,CNAG_05049,245
CNAG_03914R,CNAG_03914,273
CNAG_02476R,CNAG_02476,326
CNAG_07583R,CNAG_07583,321
CNAG_05112R,CNAG_05112,309
CNAG_03366R,CNAG_03366,435
CNAG_04090R,CNAG_04090,524
CNAG_00791R,CNAG_00791,292
CNAG_05375R,CNAG_05375,5245
CNAG_02516R,CNAG_02516,336
CNAG_04804R,CNAG_04804,1
CNAG_00627R,CNAG_00627,1
CNAG_06203R,CNAG_06203,306
CNAG_01883R,CNAG_01883,813
CNAG_03401R,CNAG_03401,424
CNAG_02435R,CNAG_02435,340
CNAG_05153R,CNAG_05153,2
CNAG_01708R,CNAG_01708,294
CNAG_03700R,CNAG_03700,419
CNAG_05215R,CNAG_05215,298
CNAG_01438R,CNAG_01438,279
CNAG_07464R,CNAG_07464,286
CNAG_01858R,CNAG_01858,461
CNAG_04586R,CNAG_04586,460
CNAG_05176R,CNAG_05176,527
CNAG_01014R,CNAG_01014,366
CNAG_01454R,CNAG_01454,302
CNAG_06327R,CNAG_06327,157
CNAG_03788R,CNAG_03788,409
CNAG_00871R,CNAG_00871,421
CNAG_00559R,CNAG_00559,7465
CNAG_07370R,CNAG_07370,469
CNAG_02589R,CNAG_02589,363
CNAG_01645R,CNAG_01645,844
CNAG_01242R,CNAG_01242,347
CNAG_02788R,CNAG_02788,64
