Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,410
CNAG_05387R,CNAG_05387,502
CNAG_05638R,CNAG_05638,323
CNAG_05639R,CNAG_05639,304
CNAG_06346R,CNAG_06346,298
CNAG_06347R,CNAG_06347,323
CNAG_06517R,CNAG_06517,373
CNAG_06201R,CNAG_06201,283
CNAG_06104R,CNAG_06104,213
CNAG_07902R,CNAG_07902,304
CNAG_06241R,CNAG_06241,216
CNAG_06242R,CNAG_06242,211
CNAG_07911R,CNAG_07911,259
CNAG_01683R,CNAG_01683,338
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,4
CNAG_01680R,CNAG_01680,274
CNAG_01989R,CNAG_01989,268
CNAG_01965R,CNAG_01965,43
CNAG_01925R,CNAG_01925,255
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,297
CNAG_04836R,CNAG_04836,292
CNAG_04875R,CNAG_04875,97
CNAG_04868R,CNAG_04868,120
CNAG_04909R,CNAG_04909,1
CNAG_04518R,CNAG_04518,313
CNAG_04517R,CNAG_04517,346
CNAG_07770R,CNAG_07770,276
CNAG_04271R,CNAG_04271,1
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,358
CNAG_07742R,CNAG_07742,620
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,244
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,235
CNAG_05743R,CNAG_05743,3
CNAG_05867R,CNAG_05867,184
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,324
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,299
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,258
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,198
CNAG_03669R,CNAG_03669,261
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,212
CNAG_00285R,CNAG_00285,268
CNAG_00830R,CNAG_00830,285
CNAG_00841R,CNAG_00841,351
CNAG_06531R,CNAG_06531,595
CNAG_03279R,CNAG_03279,305
CNAG_03336R,CNAG_03336,370
CNAG_06339R,CNAG_06339,365
CNAG_03768R,CNAG_03768,328
CNAG_04534R,CNAG_04534,313
CNAG_01973R,CNAG_01973,208
CNAG_07867R,CNAG_07867,307
CNAG_05333R,CNAG_05333,391
CNAG_06425R,CNAG_06425,235
CNAG_03849R,CNAG_03849,365
CNAG_02603R,CNAG_02603,275
CNAG_02555R,CNAG_02555,376
CNAG_02525R,CNAG_02525,100
CNAG_03431R,CNAG_03431,89
CNAG_05049R,CNAG_05049,199
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,341
CNAG_02476R,CNAG_02476,255
CNAG_07583R,CNAG_07583,365
CNAG_05112R,CNAG_05112,270
CNAG_03366R,CNAG_03366,418
CNAG_04090R,CNAG_04090,606
CNAG_00791R,CNAG_00791,261
CNAG_05375R,CNAG_05375,4721
CNAG_02516R,CNAG_02516,293
CNAG_04804R,CNAG_04804,263
CNAG_06203R,CNAG_06203,227
CNAG_00193R,CNAG_00193,3
CNAG_01883R,CNAG_01883,168
CNAG_03401R,CNAG_03401,319
CNAG_02435R,CNAG_02435,220
CNAG_05153R,CNAG_05153,2
CNAG_01708R,CNAG_01708,257
CNAG_03700R,CNAG_03700,351
CNAG_05215R,CNAG_05215,240
CNAG_01438R,CNAG_01438,151
CNAG_07464R,CNAG_07464,249
CNAG_01858R,CNAG_01858,409
CNAG_04586R,CNAG_04586,195
CNAG_05176R,CNAG_05176,297
CNAG_01014R,CNAG_01014,175
CNAG_01454R,CNAG_01454,276
CNAG_06327R,CNAG_06327,44
CNAG_03788R,CNAG_03788,262
CNAG_00871R,CNAG_00871,443
CNAG_00559R,CNAG_00559,4862
CNAG_07370R,CNAG_07370,391
CNAG_00732R,CNAG_00732,1
CNAG_02589R,CNAG_02589,319
CNAG_01645R,CNAG_01645,678
CNAG_01242R,CNAG_01242,165
CNAG_02788R,CNAG_02788,14
CNAG_07435R,CNAG_07435,24
CNAG_07924R,CNAG_07924,316
CNAG_01071R,CNAG_01071,256
CNAG_00883R,CNAG_00883,279
CNAG_03741R,CNAG_03741,243
CNAG_03745R,CNAG_03745,347
CNAG_00192R,CNAG_00192,270
CNAG_00670R,CNAG_00670,331
CNAG_06871R,CNAG_06871,330
CNAG_04457R,CNAG_04457,246
CNAG_02723R,CNAG_02723,1
CNAG_04588R,CNAG_04588,86
CNAG_03894R,CNAG_03894,370
CNAG_04012R,CNAG_04012,185
CNAG_01487R,CNAG_01487,374
CNAG_05170R,CNAG_05170,312
CNAG_02364R,CNAG_02364,302
CNAG_04093R,CNAG_04093,336
CNAG_02322R,CNAG_02322,285
CNAG_05255R,CNAG_05255,277
CNAG_03018R,CNAG_03018,283
CNAG_07901R,CNAG_07901,264
CNAG_03086R,CNAG_03086,325
CNAG_06097R,CNAG_06097,251
CNAG_06136R,CNAG_06136,266
CNAG_03177R,CNAG_03177,300
CNAG_03183R,CNAG_03183,101
CNAG_04774R,CNAG_04774,320
CNAG_04768R,CNAG_04768,295
CNAG_06276R,CNAG_06276,327
CNAG_05222R,CNAG_05222,82
CNAG_03409R,CNAG_03409,186
CNAG_05622R,CNAG_05622,318
CNAG_04637R,CNAG_04637,208
CNAG_07680R,CNAG_07680,33
CNAG_02215R,CNAG_02215,17
CNAG_02387R,CNAG_02387,398
CNAG_04086R,CNAG_04086,403
CNAG_05697R,CNAG_05697,380
CNAG_06205R,CNAG_06205,2
CNAG_04507R,CNAG_04507,350
CNAG_04506R,CNAG_04506,272
CNAG_00068R,CNAG_00068,431
CNAG_00733R,CNAG_00733,268
CNAG_03910R,CNAG_03910,374
CNAG_04059R,CNAG_04059,261
CNAG_07491R,CNAG_07491,208
CNAG_05181R,CNAG_05181,248
CNAG_03772R,CNAG_03772,317
CNAG_00445R,CNAG_00445,338
CNAG_01901R,CNAG_01901,403
CNAG_05313R,CNAG_05313,280
CNAG_05312R,CNAG_05312,339
CNAG_00442R,CNAG_00442,418
CNAG_01277R,CNAG_01277,358
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,141
CNAG_05263R,CNAG_05263,1
CNAG_00547R,CNAG_00547,307
CNAG_00598R,CNAG_00598,301
CNAG_01138R,CNAG_01138,1
CNAG_02219R,CNAG_02219,376
CNAG_03013R,CNAG_03013,94
CNAG_07540R,CNAG_07540,467
CNAG_04980R,CNAG_04980,13
