Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,118
CNAG_05515L,CNAG_05515,319
CNAG_05641L,CNAG_05641,269
CNAG_05387L,CNAG_05387,320
CNAG_05590L,CNAG_05590,629
CNAG_07869L,CNAG_07869,364
CNAG_05340L,CNAG_05340,184
CNAG_05638L,CNAG_05638,308
CNAG_05639L,CNAG_05639,222
CNAG_06346L,CNAG_06346,274
CNAG_06347L,CNAG_06347,258
CNAG_06517L,CNAG_06517,349
CNAG_07939L,CNAG_07939,243
CNAG_06493L,CNAG_06493,242
CNAG_06201L,CNAG_06201,226
CNAG_06104L,CNAG_06104,162
CNAG_06081L,CNAG_06081,279
CNAG_07902L,CNAG_07902,210
CNAG_06241L,CNAG_06241,191
CNAG_06242L,CNAG_06242,219
CNAG_06186L,CNAG_06186,226
CNAG_07911L,CNAG_07911,266
CNAG_01551L,CNAG_01551,191
CNAG_01683L,CNAG_01683,235
CNAG_01983L,CNAG_01983,256
CNAG_01902L,CNAG_01902,5
CNAG_01680L,CNAG_01680,265
CNAG_01621L,CNAG_01621,216
CNAG_01988L,CNAG_01988,221
CNAG_01989L,CNAG_01989,275
CNAG_01939L,CNAG_01939,306
CNAG_01993L,CNAG_01993,232
CNAG_01992L,CNAG_01992,194
CNAG_01965L,CNAG_01965,274
CNAG_01562L,CNAG_01562,216
CNAG_01925L,CNAG_01925,252
CNAG_04756L,CNAG_04756,294
CNAG_04807L,CNAG_04807,333
CNAG_04837L,CNAG_04837,259
CNAG_04836L,CNAG_04836,215
CNAG_04737L,CNAG_04737,345
CNAG_04875L,CNAG_04875,117
CNAG_04874L,CNAG_04874,613
CNAG_04868L,CNAG_04868,78
CNAG_04752L,CNAG_04752,238
CNAG_04753L,CNAG_04753,1147
CNAG_04909L,CNAG_04909,332
CNAG_04908L,CNAG_04908,304
CNAG_04659L,CNAG_04659,205
CNAG_04623L,CNAG_04623,251
CNAG_04518L,CNAG_04518,185
CNAG_04517L,CNAG_04517,292
CNAG_07770L,CNAG_07770,276
CNAG_04436L,CNAG_04436,174
CNAG_04271L,CNAG_04271,200
CNAG_04270L,CNAG_04270,229
CNAG_03346L,CNAG_03346,226
CNAG_03433L,CNAG_03433,234
CNAG_03333L,CNAG_03333,344
CNAG_07742L,CNAG_07742,742
CNAG_03438L,CNAG_03438,68
CNAG_03223L,CNAG_03223,268
CNAG_03142L,CNAG_03142,237
CNAG_03143L,CNAG_03143,243
CNAG_03545L,CNAG_03545,332
CNAG_03161L,CNAG_03161,53
CNAG_03566L,CNAG_03566,218
CNAG_05835L,CNAG_05835,155
CNAG_05864L,CNAG_05864,215
CNAG_06567L,CNAG_06567,300
CNAG_05742L,CNAG_05742,220
CNAG_05743L,CNAG_05743,93
CNAG_05867L,CNAG_05867,211
CNAG_05685L,CNAG_05685,739
CNAG_05684L,CNAG_05684,304
CNAG_05785L,CNAG_05785,249
CNAG_05843L,CNAG_05843,2
CNAG_06554L,CNAG_06554,249
CNAG_02189L,CNAG_02189,285
CNAG_02188L,CNAG_02188,287
CNAG_02182L,CNAG_02182,287
CNAG_07631L,CNAG_07631,255
CNAG_02371L,CNAG_02371,216
CNAG_07633L,CNAG_07633,131
CNAG_01069L,CNAG_01069,274
CNAG_00896L,CNAG_00896,941
CNAG_06719L,CNAG_06719,69
CNAG_03669L,CNAG_03669,260
CNAG_00031L,CNAG_00031,252
CNAG_07332L,CNAG_07332,185
CNAG_00285L,CNAG_00285,281
CNAG_00828L,CNAG_00828,260
CNAG_00830L,CNAG_00830,292
CNAG_00841L,CNAG_00841,259
CNAG_02774L,CNAG_02774,228
CNAG_06531L,CNAG_06531,484
CNAG_03279L,CNAG_03279,274
CNAG_03336L,CNAG_03336,377
CNAG_06339L,CNAG_06339,294
CNAG_03768L,CNAG_03768,314
CNAG_04534L,CNAG_04534,320
CNAG_01973L,CNAG_01973,1
CNAG_07867L,CNAG_07867,254
CNAG_05333L,CNAG_05333,266
CNAG_06425L,CNAG_06425,193
CNAG_03849L,CNAG_03849,635
CNAG_02603L,CNAG_02603,232
CNAG_02555L,CNAG_02555,295
CNAG_03431L,CNAG_03431,92
CNAG_05049L,CNAG_05049,147
CNAG_05380L,CNAG_05380,281
CNAG_03914L,CNAG_03914,303
CNAG_02476L,CNAG_02476,244
CNAG_07583L,CNAG_07583,292
CNAG_02466L,CNAG_02466,246
CNAG_05112L,CNAG_05112,278
CNAG_03366L,CNAG_03366,395
CNAG_03977L,CNAG_03977,111
CNAG_04090L,CNAG_04090,477
CNAG_00791L,CNAG_00791,240
CNAG_06751L,CNAG_06751,176
CNAG_05375L,CNAG_05375,3546
CNAG_02516L,CNAG_02516,263
CNAG_04804L,CNAG_04804,215
CNAG_00627L,CNAG_00627,277
CNAG_07725L,CNAG_07725,321
CNAG_06203L,CNAG_06203,234
CNAG_01883L,CNAG_01883,144
CNAG_03401L,CNAG_03401,254
CNAG_02435L,CNAG_02435,255
CNAG_05153L,CNAG_05153,6
CNAG_01708L,CNAG_01708,288
CNAG_03700L,CNAG_03700,254
CNAG_07320L,CNAG_07320,60
CNAG_05215L,CNAG_05215,195
