Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,64
CNAG_05515L,CNAG_05515,295
CNAG_05641L,CNAG_05641,206
CNAG_05387L,CNAG_05387,296
CNAG_05590L,CNAG_05590,370
CNAG_07869L,CNAG_07869,288
CNAG_05340L,CNAG_05340,62
CNAG_05638L,CNAG_05638,225
CNAG_05639L,CNAG_05639,222
CNAG_06346L,CNAG_06346,319
CNAG_06347L,CNAG_06347,290
CNAG_06517L,CNAG_06517,275
CNAG_07939L,CNAG_07939,219
CNAG_06493L,CNAG_06493,167
CNAG_06201L,CNAG_06201,203
CNAG_06104L,CNAG_06104,163
CNAG_06081L,CNAG_06081,246
CNAG_07902L,CNAG_07902,237
CNAG_06241L,CNAG_06241,129
CNAG_06242L,CNAG_06242,158
CNAG_06186L,CNAG_06186,121
CNAG_07911L,CNAG_07911,281
CNAG_01551L,CNAG_01551,52
CNAG_01683L,CNAG_01683,201
CNAG_01983L,CNAG_01983,321
CNAG_01902L,CNAG_01902,8
CNAG_01680L,CNAG_01680,222
CNAG_01621L,CNAG_01621,292
CNAG_01988L,CNAG_01988,165
CNAG_01989L,CNAG_01989,221
CNAG_01939L,CNAG_01939,271
CNAG_01993L,CNAG_01993,195
CNAG_01992L,CNAG_01992,210
CNAG_01965L,CNAG_01965,231
CNAG_01562L,CNAG_01562,204
CNAG_01925L,CNAG_01925,228
CNAG_04756L,CNAG_04756,199
CNAG_04807L,CNAG_04807,359
CNAG_04837L,CNAG_04837,244
CNAG_04836L,CNAG_04836,199
CNAG_04737L,CNAG_04737,326
CNAG_04875L,CNAG_04875,57
CNAG_04874L,CNAG_04874,604
CNAG_04868L,CNAG_04868,54
CNAG_04752L,CNAG_04752,175
CNAG_04753L,CNAG_04753,580
CNAG_04909L,CNAG_04909,227
CNAG_04908L,CNAG_04908,286
CNAG_04659L,CNAG_04659,118
CNAG_04623L,CNAG_04623,227
CNAG_04518L,CNAG_04518,218
CNAG_04517L,CNAG_04517,250
CNAG_07770L,CNAG_07770,172
CNAG_04436L,CNAG_04436,154
CNAG_04271L,CNAG_04271,150
CNAG_04270L,CNAG_04270,154
CNAG_03346L,CNAG_03346,284
CNAG_03433L,CNAG_03433,216
CNAG_03333L,CNAG_03333,453
CNAG_07742L,CNAG_07742,619
CNAG_03438L,CNAG_03438,185
CNAG_03223L,CNAG_03223,261
CNAG_03142L,CNAG_03142,182
CNAG_03143L,CNAG_03143,182
CNAG_03545L,CNAG_03545,286
CNAG_03161L,CNAG_03161,2
CNAG_03566L,CNAG_03566,178
CNAG_05835L,CNAG_05835,166
CNAG_05864L,CNAG_05864,262
CNAG_06567L,CNAG_06567,218
CNAG_05742L,CNAG_05742,763
CNAG_05743L,CNAG_05743,111
CNAG_05867L,CNAG_05867,131
CNAG_05685L,CNAG_05685,567
CNAG_05684L,CNAG_05684,238
CNAG_05785L,CNAG_05785,135
CNAG_05843L,CNAG_05843,8
CNAG_06554L,CNAG_06554,260
CNAG_02189L,CNAG_02189,201
CNAG_02188L,CNAG_02188,292
CNAG_02182L,CNAG_02182,172
CNAG_07631L,CNAG_07631,235
CNAG_02371L,CNAG_02371,172
CNAG_07633L,CNAG_07633,134
CNAG_01069L,CNAG_01069,227
CNAG_00896L,CNAG_00896,759
CNAG_06719L,CNAG_06719,73
CNAG_03669L,CNAG_03669,190
CNAG_00031L,CNAG_00031,199
CNAG_07332L,CNAG_07332,168
CNAG_00285L,CNAG_00285,243
CNAG_00828L,CNAG_00828,183
CNAG_00830L,CNAG_00830,255
CNAG_00841L,CNAG_00841,239
CNAG_02774L,CNAG_02774,219
CNAG_06531L,CNAG_06531,344
CNAG_03279L,CNAG_03279,230
CNAG_03336L,CNAG_03336,315
CNAG_06339L,CNAG_06339,275
CNAG_03768L,CNAG_03768,261
CNAG_04534L,CNAG_04534,234
CNAG_01973L,CNAG_01973,10
CNAG_07867L,CNAG_07867,207
CNAG_05333L,CNAG_05333,260
CNAG_06425L,CNAG_06425,163
CNAG_03849L,CNAG_03849,516
CNAG_02603L,CNAG_02603,181
CNAG_02555L,CNAG_02555,273
CNAG_03431L,CNAG_03431,90
CNAG_05049L,CNAG_05049,175
CNAG_05380L,CNAG_05380,204
CNAG_03914L,CNAG_03914,240
CNAG_02476L,CNAG_02476,250
CNAG_07583L,CNAG_07583,179
CNAG_02466L,CNAG_02466,180
CNAG_05112L,CNAG_05112,178
CNAG_03366L,CNAG_03366,320
CNAG_03977L,CNAG_03977,99
CNAG_04090L,CNAG_04090,513
CNAG_00791L,CNAG_00791,170
CNAG_06751L,CNAG_06751,245
CNAG_05375L,CNAG_05375,2654
CNAG_02516L,CNAG_02516,236
CNAG_04804L,CNAG_04804,911
CNAG_00627L,CNAG_00627,271
CNAG_07725L,CNAG_07725,298
CNAG_06203L,CNAG_06203,221
CNAG_00193L,CNAG_00193,3
CNAG_00514L,CNAG_00514,1
CNAG_01883L,CNAG_01883,169
CNAG_03401L,CNAG_03401,253
CNAG_02435L,CNAG_02435,251
CNAG_05153L,CNAG_05153,1
CNAG_01708L,CNAG_01708,237
CNAG_03700L,CNAG_03700,289
CNAG_07320L,CNAG_07320,41
CNAG_05215L,CNAG_05215,212
CNAG_01438L,CNAG_01438,101
CNAG_07464L,CNAG_07464,62
CNAG_01858L,CNAG_01858,365
CNAG_04586L,CNAG_04586,483
CNAG_05093L,CNAG_05093,209
CNAG_05176L,CNAG_05176,220
CNAG_01014L,CNAG_01014,186
CNAG_00998L,CNAG_00998,150
CNAG_00039L,CNAG_00039,166
CNAG_07329L,CNAG_07329,5
CNAG_01454L,CNAG_01454,274
CNAG_02700L,CNAG_02700,10
CNAG_06327L,CNAG_06327,31
CNAG_03788L,CNAG_03788,184
CNAG_00871L,CNAG_00871,244
CNAG_00559L,CNAG_00559,9387
CNAG_07370L,CNAG_07370,272
CNAG_00732L,CNAG_00732,231
CNAG_04630L,CNAG_04630,296
CNAG_07940L,CNAG_07940,244
CNAG_02589L,CNAG_02589,228
CNAG_05067L,CNAG_05067,289
CNAG_01645L,CNAG_01645,517
CNAG_06134L,CNAG_06134,27
CNAG_01242L,CNAG_01242,118
CNAG_02788L,CNAG_02788,27
CNAG_07435L,CNAG_07435,34
CNAG_03998L,CNAG_03998,190
CNAG_07924L,CNAG_07924,228
CNAG_01071L,CNAG_01071,166
CNAG_00883L,CNAG_00883,189
CNAG_03710L,CNAG_03710,1
CNAG_03741L,CNAG_03741,183
CNAG_03745L,CNAG_03745,282
CNAG_00192L,CNAG_00192,262
CNAG_00670L,CNAG_00670,166
CNAG_06871L,CNAG_06871,272
CNAG_04457L,CNAG_04457,235
CNAG_02723L,CNAG_02723,207
CNAG_04588L,CNAG_04588,158
CNAG_01977L,CNAG_01977,230
CNAG_03894L,CNAG_03894,257
CNAG_04012L,CNAG_04012,263
CNAG_03561L,CNAG_03561,164
CNAG_05170L,CNAG_05170,175
CNAG_04041L,CNAG_04041,30
CNAG_02364L,CNAG_02364,245
CNAG_04093L,CNAG_04093,244
CNAG_02322L,CNAG_02322,229
CNAG_04184L,CNAG_04184,287
CNAG_05255L,CNAG_05255,292
CNAG_05642L,CNAG_05642,32
CNAG_03059L,CNAG_03059,207
CNAG_03018L,CNAG_03018,202
CNAG_07901L,CNAG_07901,198
CNAG_03086L,CNAG_03086,231
CNAG_04916L,CNAG_04916,170
CNAG_06097L,CNAG_06097,102
CNAG_03115L,CNAG_03115,155
CNAG_03132L,CNAG_03132,271
CNAG_04841L,CNAG_04841,234
CNAG_06136L,CNAG_06136,195
CNAG_03177L,CNAG_03177,399
CNAG_03183L,CNAG_03183,51
CNAG_06188L,CNAG_06188,237
CNAG_02877L,CNAG_02877,263
CNAG_04359L,CNAG_04359,551
CNAG_04774L,CNAG_04774,289
CNAG_04768L,CNAG_04768,224
CNAG_02066L,CNAG_02066,250
CNAG_07922L,CNAG_07922,157
CNAG_06276L,CNAG_06276,231
CNAG_05222L,CNAG_05222,11
CNAG_03409L,CNAG_03409,104
CNAG_05622L,CNAG_05622,449
CNAG_04637L,CNAG_04637,191
CNAG_07680L,CNAG_07680,103
CNAG_02215L,CNAG_02215,70
CNAG_00564L,CNAG_00564,472
CNAG_02387L,CNAG_02387,315
CNAG_04086L,CNAG_04086,303
CNAG_05697L,CNAG_05697,414
CNAG_02697L,CNAG_02697,160
CNAG_06205L,CNAG_06205,210
CNAG_05372L,CNAG_05372,141
CNAG_04507L,CNAG_04507,174
CNAG_04506L,CNAG_04506,269
CNAG_00068L,CNAG_00068,2781
CNAG_05138L,CNAG_05138,78
CNAG_00733L,CNAG_00733,274
CNAG_03910L,CNAG_03910,234
CNAG_04059L,CNAG_04059,1055
CNAG_07491L,CNAG_07491,593
CNAG_05181L,CNAG_05181,249
CNAG_03915L,CNAG_03915,230
CNAG_03772L,CNAG_03772,292
CNAG_00445L,CNAG_00445,284
CNAG_01901L,CNAG_01901,395
CNAG_05313L,CNAG_05313,67
CNAG_05312L,CNAG_05312,237
CNAG_03012L,CNAG_03012,174
CNAG_03011L,CNAG_03011,201
CNAG_06200L,CNAG_06200,454
CNAG_02682L,CNAG_02682,184
CNAG_02683L,CNAG_02683,204
CNAG_00442L,CNAG_00442,295
CNAG_00183L,CNAG_00183,194
CNAG_07548L,CNAG_07548,1880
CNAG_01277L,CNAG_01277,359
CNAG_07512L,CNAG_07512,418
CNAG_01230L,CNAG_01230,81
CNAG_05264L,CNAG_05264,319
CNAG_05263L,CNAG_05263,203
CNAG_01681L,CNAG_01681,197
CNAG_01040L,CNAG_01040,187
CNAG_00179L,CNAG_00179,240
CNAG_00547L,CNAG_00547,185
CNAG_00598L,CNAG_00598,196
CNAG_05229L,CNAG_05229,202
CNAG_01138L,CNAG_01138,289
CNAG_00597L,CNAG_00597,176
CNAG_02797L,CNAG_02797,176
CNAG_02219L,CNAG_02219,265
CNAG_02220L,CNAG_02220,228
CNAG_00674L,CNAG_00674,212
CNAG_03013L,CNAG_03013,121
CNAG_07540L,CNAG_07540,413
CNAG_04981L,CNAG_04981,204
CNAG_04980L,CNAG_04980,3
CNAG_00456L,CNAG_00456,241
CNAG_00455L,CNAG_00455,189
CNAG_02152L,CNAG_02152,231
CNAG_00107L,CNAG_00107,177
CNAG_00106L,CNAG_00106,307
CNAG_01061L,CNAG_01061,204
CNAG_03847L,CNAG_03847,191
CNAG_03848L,CNAG_03848,220
CNAG_01013L,CNAG_01013,71
CNAG_02777L,CNAG_02777,236
CNAG_07523L,CNAG_07523,221
CNAG_04990L,CNAG_04990,1
CNAG_04991L,CNAG_04991,202
CNAG_00531L,CNAG_00531,195
CNAG_05159L,CNAG_05159,235
CNAG_05079L,CNAG_05079,382
CNAG_05080L,CNAG_05080,286
CNAG_04869L,CNAG_04869,199
CNAG_00164L,CNAG_00164,250
CNAG_04077L,CNAG_04077,219
CNAG_01082L,CNAG_01082,217
CNAG_04658L,CNAG_04658,209
CNAG_03727L,CNAG_03727,202
CNAG_03676L,CNAG_03676,230
CNAG_03677L,CNAG_03677,300
CNAG_03841L,CNAG_03841,21
CNAG_06761L,CNAG_06761,157
CNAG_06760L,CNAG_06760,184
CNAG_05076L,CNAG_05076,66
CNAG_05077L,CNAG_05077,244
CNAG_02553L,CNAG_02553,229
CNAG_02554L,CNAG_02554,1506
CNAG_00546L,CNAG_00546,147
CNAG_00702L,CNAG_00702,318
CNAG_00897L,CNAG_00897,183
CNAG_05148L,CNAG_05148,155
CNAG_05147L,CNAG_05147,226
CNAG_00776L,CNAG_00776,17
CNAG_01446L,CNAG_01446,297
CNAG_04024L,CNAG_04024,304
CNAG_04025L,CNAG_04025,352
CNAG_02348L,CNAG_02348,238
CNAG_02347L,CNAG_02347,342
CNAG_00394L,CNAG_00394,34
CNAG_00393L,CNAG_00393,271
CNAG_06555L,CNAG_06555,203
CNAG_01019L,CNAG_01019,13
CNAG_01803L,CNAG_01803,278
CNAG_00374L,CNAG_00374,137
CNAG_00654L,CNAG_00654,239
CNAG_07541L,CNAG_07541,171
CNAG_07542L,CNAG_07542,275
CNAG_00363L,CNAG_00363,152
CNAG_05915L,CNAG_05915,232
CNAG_05916L,CNAG_05916,220
CNAG_00917L,CNAG_00917,964
CNAG_00919L,CNAG_00919,283
CNAG_05458L,CNAG_05458,321
CNAG_05459L,CNAG_05459,336
CNAG_01985L,CNAG_01985,119
CNAG_00740L,CNAG_00740,78
CNAG_04163L,CNAG_04163,44
CNAG_04162L,CNAG_04162,108
CNAG_04755L,CNAG_04755,247
CNAG_01777L,CNAG_01777,182
CNAG_01778L,CNAG_01778,217
CNAG_05889L,CNAG_05889,230
CNAG_05888L,CNAG_05888,171
CNAG_04217L,CNAG_04217,214
CNAG_03173L,CNAG_03173,251
CNAG_03172L,CNAG_03172,254
CNAG_07388L,CNAG_07388,171
CNAG_07389L,CNAG_07389,192
CNAG_03644L,CNAG_03644,174
CNAG_06785L,CNAG_06785,152
CNAG_06060L,CNAG_06060,165
CNAG_00581L,CNAG_00581,95
CNAG_02044L,CNAG_02044,245
CNAG_02045L,CNAG_02045,288
CNAG_04950L,CNAG_04950,205
CNAG_04949L,CNAG_04949,183
CNAG_01865L,CNAG_01865,232
CNAG_05870L,CNAG_05870,166
CNAG_00717L,CNAG_00717,208
CNAG_06926L,CNAG_06926,231
CNAG_06896L,CNAG_06896,156
CNAG_04631L,CNAG_04631,197
CNAG_05812L,CNAG_05812,242
CNAG_00079L,CNAG_00079,253
CNAG_06657L,CNAG_06657,234
CNAG_06658L,CNAG_06658,169
CNAG_05993L,CNAG_05993,181
CNAG_05994L,CNAG_05994,209
CNAG_04675L,CNAG_04675,1
CNAG_01318L,CNAG_01318,399
CNAG_05430L,CNAG_05430,221
CNAG_05429L,CNAG_05429,26
CNAG_02517L,CNAG_02517,271
CNAG_07419L,CNAG_07419,209
CNAG_02040L,CNAG_02040,199
CNAG_03328L,CNAG_03328,53
CNAG_03329L,CNAG_03329,84
CNAG_04471L,CNAG_04471,260
CNAG_04472L,CNAG_04472,179
CNAG_01920L,CNAG_01920,242
CNAG_01919L,CNAG_01919,190
CNAG_03075L,CNAG_03075,8
CNAG_03884L,CNAG_03884,36
CNAG_00699L,CNAG_00699,265
CNAG_02129L,CNAG_02129,390
CNAG_05352L,CNAG_05352,89
CNAG_02293L,CNAG_02293,2
CNAG_02292L,CNAG_02292,13
CNAG_07441L,CNAG_07441,560
CNAG_07442L,CNAG_07442,221
CNAG_05415L,CNAG_05415,92
CNAG_03946L,CNAG_03946,275
CNAG_07486L,CNAG_07486,174
CNAG_07313L,CNAG_07313,199
CNAG_00126L,CNAG_00126,1169
CNAG_00710L,CNAG_00710,174
CNAG_00709L,CNAG_00709,217
CNAG_04186L,CNAG_04186,163
CNAG_03689L,CNAG_03689,137
CNAG_01704L,CNAG_01704,2266
CNAG_04618L,CNAG_04618,268
CNAG_05290L,CNAG_05290,17
CNAG_07827L,CNAG_07827,190
CNAG_07516L,CNAG_07516,191
CNAG_02849L,CNAG_02849,236
CNAG_00156L,CNAG_00156,121
CNAG_00157L,CNAG_00157,198
CNAG_04891L,CNAG_04891,239
CNAG_04992L,CNAG_04992,6
CNAG_02090L,CNAG_02090,319
CNAG_01776L,CNAG_01776,239
CNAG_07605L,CNAG_07605,156
CNAG_01846L,CNAG_01846,254
CNAG_02539L,CNAG_02539,231
CNAG_02540L,CNAG_02540,227
CNAG_01701L,CNAG_01701,211
CNAG_03572L,CNAG_03572,228
CNAG_00798L,CNAG_00798,174
CNAG_00799L,CNAG_00799,126
CNAG_02850L,CNAG_02850,28
CNAG_04656L,CNAG_04656,242
CNAG_04657L,CNAG_04657,217
CNAG_04385L,CNAG_04385,246
CNAG_04386L,CNAG_04386,203
CNAG_07847L,CNAG_07847,196
CNAG_02226L,CNAG_02226,192
CNAG_02225L,CNAG_02225,456
CNAG_04860L,CNAG_04860,250
CNAG_01105L,CNAG_01105,268
CNAG_03524L,CNAG_03524,199
CNAG_03733L,CNAG_03733,242
CNAG_03732L,CNAG_03732,222
CNAG_03247L,CNAG_03247,234
CNAG_03193L,CNAG_03193,228
CNAG_03194L,CNAG_03194,249
CNAG_06574L,CNAG_06574,208
CNAG_04663L,CNAG_04663,219
CNAG_02944L,CNAG_02944,212
CNAG_05872L,CNAG_05872,275
CNAG_02775L,CNAG_02775,32
CNAG_01113L,CNAG_01113,70
CNAG_01112L,CNAG_01112,213
CNAG_06973L,CNAG_06973,199
CNAG_07498L,CNAG_07498,295
CNAG_03754L,CNAG_03754,220
CNAG_00475L,CNAG_00475,4449
CNAG_04524L,CNAG_04524,196
CNAG_06501L,CNAG_06501,186
CNAG_06502L,CNAG_06502,306
CNAG_00587L,CNAG_00587,299
CNAG_04691L,CNAG_04691,270
CNAG_01062L,CNAG_01062,177
CNAG_05522L,CNAG_05522,246
CNAG_04633L,CNAG_04633,233
CNAG_01930L,CNAG_01930,162
CNAG_00737L,CNAG_00737,950
CNAG_04983L,CNAG_04983,197
CNAG_04982L,CNAG_04982,165
CNAG_03002L,CNAG_03002,78
CNAG_01448L,CNAG_01448,366
CNAG_02526L,CNAG_02526,209
CNAG_07685L,CNAG_07685,184
CNAG_03902L,CNAG_03902,73
CNAG_02011L,CNAG_02011,173
CNAG_02010L,CNAG_02010,1978
CNAG_05156L,CNAG_05156,251
CNAG_01643L,CNAG_01643,138
CNAG_01642L,CNAG_01642,310
CNAG_05727L,CNAG_05727,238
CNAG_03857L,CNAG_03857,198
CNAG_04705L,CNAG_04705,275
CNAG_01420L,CNAG_01420,293
CNAG_07519L,CNAG_07519,175
CNAG_00078L,CNAG_00078,227
CNAG_06240L,CNAG_06240,643
CNAG_00777L,CNAG_00777,164
CNAG_01118L,CNAG_01118,296
CNAG_03867L,CNAG_03867,237
CNAG_03866L,CNAG_03866,303
CNAG_06594L,CNAG_06594,223
CNAG_06595L,CNAG_06595,234
CNAG_00519L,CNAG_00519,131
CNAG_00588L,CNAG_00588,285
CNAG_01525L,CNAG_01525,167
CNAG_01524L,CNAG_01524,10
CNAG_04594L,CNAG_04594,243
CNAG_06993L,CNAG_06993,221
CNAG_06776L,CNAG_06776,251
CNAG_02588L,CNAG_02588,270
CNAG_06905L,CNAG_06905,286
CNAG_06904L,CNAG_06904,186
CNAG_03280L,CNAG_03280,170
CNAG_02288L,CNAG_02288,234
CNAG_07729L,CNAG_07729,2005
CNAG_03408L,CNAG_03408,853
CNAG_06282L,CNAG_06282,227
CNAG_01970L,CNAG_01970,203
CNAG_01969L,CNAG_01969,200
CNAG_03525L,CNAG_03525,27
CNAG_03526L,CNAG_03526,171
CNAG_05114L,CNAG_05114,275
CNAG_07752L,CNAG_07752,241
CNAG_04587L,CNAG_04587,274
CNAG_02691L,CNAG_02691,221
CNAG_02692L,CNAG_02692,206
CNAG_02776L,CNAG_02776,155
CNAG_04885L,CNAG_04885,173
CNAG_06662L,CNAG_06662,214
CNAG_07647L,CNAG_07647,1
CNAG_02165L,CNAG_02165,118
CNAG_02071L,CNAG_02071,269
CNAG_02070L,CNAG_02070,242
CNAG_02684L,CNAG_02684,275
CNAG_02685L,CNAG_02685,290
CNAG_05420L,CNAG_05420,31
CNAG_05939L,CNAG_05939,248
CNAG_05940L,CNAG_05940,204
CNAG_07743L,CNAG_07743,306
CNAG_00765L,CNAG_00765,196
CNAG_00745L,CNAG_00745,75
CNAG_00744L,CNAG_00744,158
CNAG_00162L,CNAG_00162,235
CNAG_02658L,CNAG_02658,131
CNAG_06401L,CNAG_06401,189
CNAG_01960L,CNAG_01960,176
CNAG_01961L,CNAG_01961,131
CNAG_02930L,CNAG_02930,118
CNAG_01238L,CNAG_01238,2
CNAG_01239L,CNAG_01239,266
CNAG_00332L,CNAG_00332,190
CNAG_00333L,CNAG_00333,161
CNAG_04801L,CNAG_04801,186
CNAG_05663L,CNAG_05663,70
CNAG_05664L,CNAG_05664,183
CNAG_01574L,CNAG_01574,291
CNAG_01573L,CNAG_01573,160
CNAG_06220L,CNAG_06220,237
CNAG_00165L,CNAG_00165,119
CNAG_06963L,CNAG_06963,56
CNAG_03178L,CNAG_03178,136
CNAG_03719L,CNAG_03719,195
CNAG_02041L,CNAG_02041,206
CNAG_06889L,CNAG_06889,248
CNAG_04141L,CNAG_04141,295
CNAG_07415L,CNAG_07415,68
CNAG_05586L,CNAG_05586,172
CNAG_05686L,CNAG_05686,257
CNAG_00400L,CNAG_00400,328
CNAG_00399L,CNAG_00399,214
CNAG_04213L,CNAG_04213,193
CNAG_05913L,CNAG_05913,231
CNAG_05914L,CNAG_05914,199
CNAG_04736L,CNAG_04736,270
CNAG_04735L,CNAG_04735,172
CNAG_05392L,CNAG_05392,295
CNAG_05393L,CNAG_05393,236
CNAG_06541L,CNAG_06541,266
CNAG_06034L,CNAG_06034,189
CNAG_05250L,CNAG_05250,426
CNAG_04243L,CNAG_04243,3
CNAG_01773L,CNAG_01773,55
CNAG_01772L,CNAG_01772,164
CNAG_01232L,CNAG_01232,387
CNAG_01577L,CNAG_01577,3
CNAG_01578L,CNAG_01578,180
CNAG_01601L,CNAG_01601,96
CNAG_04963L,CNAG_04963,184
CNAG_04962L,CNAG_04962,216
CNAG_01231L,CNAG_01231,185
CNAG_06835L,CNAG_06835,151
CNAG_06836L,CNAG_06836,260
CNAG_00879L,CNAG_00879,211
CNAG_07454L,CNAG_07454,197
CNAG_06389L,CNAG_06389,244
CNAG_06388L,CNAG_06388,219
CNAG_00264L,CNAG_00264,160
CNAG_05640L,CNAG_05640,620
CNAG_01558L,CNAG_01558,223
CNAG_00903L,CNAG_00903,253
CNAG_06583L,CNAG_06583,215
CNAG_06428L,CNAG_06428,246
CNAG_06427L,CNAG_06427,182
CNAG_07745L,CNAG_07745,230
CNAG_03369L,CNAG_03369,106
CNAG_03413L,CNAG_03413,71
CNAG_00130L,CNAG_00130,455
CNAG_00874L,CNAG_00874,134
CNAG_00758L,CNAG_00758,189
CNAG_04730L,CNAG_04730,263
CNAG_03997L,CNAG_03997,186
CNAG_02822L,CNAG_02822,236
CNAG_00668L,CNAG_00668,206
CNAG_02990L,CNAG_02990,141
CNAG_03116L,CNAG_03116,38
CNAG_07711L,CNAG_07711,176
CNAG_04622L,CNAG_04622,222
CNAG_04449L,CNAG_04449,201
CNAG_03874L,CNAG_03874,164
CNAG_03873L,CNAG_03873,388
CNAG_04105L,CNAG_04105,134
CNAG_01635L,CNAG_01635,283
CNAG_07626L,CNAG_07626,239
CNAG_02475L,CNAG_02475,255
CNAG_00070L,CNAG_00070,207
CNAG_04862L,CNAG_04862,293
CNAG_02527L,CNAG_02527,241
CNAG_04632L,CNAG_04632,209
CNAG_00194L,CNAG_00194,271
CNAG_03498L,CNAG_03498,253
CNAG_03426L,CNAG_03426,202
CNAG_00077L,CNAG_00077,201
CNAG_02965L,CNAG_02965,217
CNAG_02966L,CNAG_02966,163
CNAG_01041L,CNAG_01041,1668
CNAG_07780L,CNAG_07780,178
CNAG_04546L,CNAG_04546,256
CNAG_04523L,CNAG_04523,221
CNAG_04522L,CNAG_04522,214
CNAG_07444L,CNAG_07444,174
CNAG_06576L,CNAG_06576,245
CNAG_06577L,CNAG_06577,253
CNAG_03836L,CNAG_03836,298
CNAG_04140L,CNAG_04140,52
CNAG_04139L,CNAG_04139,133
CNAG_03400L,CNAG_03400,283
CNAG_02255L,CNAG_02255,191
CNAG_02254L,CNAG_02254,248
CNAG_05075L,CNAG_05075,327
CNAG_02550L,CNAG_02550,257
CNAG_02551L,CNAG_02551,231
CNAG_01995L,CNAG_01995,240
CNAG_01994L,CNAG_01994,246
CNAG_06277L,CNAG_06277,28
CNAG_07697L,CNAG_07697,232
CNAG_06099L,CNAG_06099,172
CNAG_06098L,CNAG_06098,184
CNAG_06278L,CNAG_06278,218
CNAG_03140L,CNAG_03140,146
CNAG_00011L,CNAG_00011,352
CNAG_05160L,CNAG_05160,240
CNAG_05161L,CNAG_05161,201
CNAG_07917L,CNAG_07917,120
CNAG_06610L,CNAG_06610,202
CNAG_01229L,CNAG_01229,205
CNAG_04681L,CNAG_04681,168
CNAG_04655L,CNAG_04655,288
CNAG_05934L,CNAG_05934,203
CNAG_02264L,CNAG_02264,282
CNAG_00189L,CNAG_00189,222
CNAG_00188L,CNAG_00188,205
CNAG_05369L,CNAG_05369,268
CNAG_00864L,CNAG_00864,272
CNAG_07457L,CNAG_07457,210
CNAG_05119L,CNAG_05119,290
CNAG_00407L,CNAG_00407,210
CNAG_05813L,CNAG_05813,172
CNAG_06310L,CNAG_06310,251
CNAG_06309L,CNAG_06309,244
CNAG_02510L,CNAG_02510,89
CNAG_04953L,CNAG_04953,169
CNAG_06578L,CNAG_06578,223
CNAG_00122L,CNAG_00122,367
CNAG_01745L,CNAG_01745,117
CNAG_06172L,CNAG_06172,188
CNAG_04104L,CNAG_04104,247
CNAG_04103L,CNAG_04103,282
CNAG_04016L,CNAG_04016,218
CNAG_04015L,CNAG_04015,250
CNAG_00796L,CNAG_00796,232
CNAG_04283L,CNAG_04283,55
CNAG_00398L,CNAG_00398,272
CNAG_03382L,CNAG_03382,2133
CNAG_03383L,CNAG_03383,209
CNAG_01742L,CNAG_01742,213
CNAG_01743L,CNAG_01743,182
CNAG_05452L,CNAG_05452,1820
CNAG_05453L,CNAG_05453,173
CNAG_05053L,CNAG_05053,246
CNAG_01753L,CNAG_01753,210
