Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,466
CNAG_05387R,CNAG_05387,528
CNAG_05638R,CNAG_05638,359
CNAG_05639R,CNAG_05639,312
CNAG_06346R,CNAG_06346,445
CNAG_06347R,CNAG_06347,369
CNAG_06517R,CNAG_06517,467
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,360
CNAG_06104R,CNAG_06104,296
CNAG_07902R,CNAG_07902,395
CNAG_06241R,CNAG_06241,281
CNAG_06242R,CNAG_06242,299
CNAG_07911R,CNAG_07911,382
CNAG_01683R,CNAG_01683,395
CNAG_01902R,CNAG_01902,27
CNAG_01680R,CNAG_01680,393
CNAG_01621R,CNAG_01621,2
CNAG_01989R,CNAG_01989,261
CNAG_01993R,CNAG_01993,2
CNAG_01992R,CNAG_01992,2
CNAG_01965R,CNAG_01965,343
CNAG_01925R,CNAG_01925,311
CNAG_04837R,CNAG_04837,316
CNAG_04836R,CNAG_04836,328
CNAG_04875R,CNAG_04875,265
CNAG_04874R,CNAG_04874,2
CNAG_04868R,CNAG_04868,108
CNAG_04753R,CNAG_04753,2
CNAG_04518R,CNAG_04518,304
CNAG_04517R,CNAG_04517,403
CNAG_07770R,CNAG_07770,357
CNAG_04436R,CNAG_04436,1
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,520
CNAG_07742R,CNAG_07742,703
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,290
CNAG_03566R,CNAG_03566,288
CNAG_05835R,CNAG_05835,1
CNAG_05867R,CNAG_05867,280
CNAG_05684R,CNAG_05684,343
CNAG_02189R,CNAG_02189,382
CNAG_02371R,CNAG_02371,311
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,321
CNAG_03669R,CNAG_03669,295
CNAG_07332R,CNAG_07332,254
CNAG_00285R,CNAG_00285,337
CNAG_00830R,CNAG_00830,363
CNAG_00841R,CNAG_00841,364
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,608
CNAG_03279R,CNAG_03279,331
CNAG_03336R,CNAG_03336,444
CNAG_06339R,CNAG_06339,474
CNAG_03768R,CNAG_03768,392
CNAG_04534R,CNAG_04534,370
CNAG_01973R,CNAG_01973,347
CNAG_07867R,CNAG_07867,309
CNAG_05333R,CNAG_05333,368
CNAG_06425R,CNAG_06425,305
CNAG_03849R,CNAG_03849,409
CNAG_02603R,CNAG_02603,324
CNAG_02555R,CNAG_02555,386
CNAG_02525R,CNAG_02525,131
CNAG_03431R,CNAG_03431,406
CNAG_05049R,CNAG_05049,275
CNAG_03914R,CNAG_03914,388
CNAG_02476R,CNAG_02476,328
CNAG_07583R,CNAG_07583,358
CNAG_05112R,CNAG_05112,238
CNAG_03366R,CNAG_03366,428
CNAG_04090R,CNAG_04090,512
CNAG_00791R,CNAG_00791,317
CNAG_05375R,CNAG_05375,6182
CNAG_02516R,CNAG_02516,322
CNAG_04804R,CNAG_04804,338
CNAG_06203R,CNAG_06203,367
CNAG_01883R,CNAG_01883,889
CNAG_03401R,CNAG_03401,342
CNAG_02435R,CNAG_02435,339
CNAG_05153R,CNAG_05153,12
CNAG_01708R,CNAG_01708,313
CNAG_03700R,CNAG_03700,406
CNAG_05215R,CNAG_05215,277
CNAG_01438R,CNAG_01438,376
CNAG_07464R,CNAG_07464,527
CNAG_01858R,CNAG_01858,458
CNAG_04586R,CNAG_04586,378
CNAG_05176R,CNAG_05176,416
CNAG_01014R,CNAG_01014,268
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,417
CNAG_06327R,CNAG_06327,132
CNAG_03788R,CNAG_03788,402
CNAG_00871R,CNAG_00871,367
CNAG_00559R,CNAG_00559,9876
CNAG_07370R,CNAG_07370,457
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,379
CNAG_05067R,CNAG_05067,1
CNAG_01645R,CNAG_01645,924
CNAG_01242R,CNAG_01242,191
CNAG_02788R,CNAG_02788,19
CNAG_07435R,CNAG_07435,28
CNAG_07924R,CNAG_07924,339
CNAG_01071R,CNAG_01071,281
CNAG_00883R,CNAG_00883,357
CNAG_03741R,CNAG_03741,353
CNAG_03745R,CNAG_03745,398
CNAG_00192R,CNAG_00192,336
CNAG_00670R,CNAG_00670,387
CNAG_06871R,CNAG_06871,412
CNAG_04457R,CNAG_04457,365
CNAG_04588R,CNAG_04588,183
CNAG_03894R,CNAG_03894,461
CNAG_04012R,CNAG_04012,477
CNAG_01487R,CNAG_01487,373
CNAG_05170R,CNAG_05170,356
CNAG_02364R,CNAG_02364,356
CNAG_04093R,CNAG_04093,420
CNAG_02322R,CNAG_02322,309
CNAG_04184R,CNAG_04184,1
CNAG_05255R,CNAG_05255,361
CNAG_03059R,CNAG_03059,1
CNAG_03018R,CNAG_03018,336
CNAG_07901R,CNAG_07901,283
CNAG_03086R,CNAG_03086,317
CNAG_06097R,CNAG_06097,294
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,325
CNAG_03177R,CNAG_03177,399
CNAG_03183R,CNAG_03183,238
CNAG_04774R,CNAG_04774,325
CNAG_04768R,CNAG_04768,445
CNAG_02066R,CNAG_02066,2
CNAG_06276R,CNAG_06276,367
CNAG_05222R,CNAG_05222,52
CNAG_03409R,CNAG_03409,206
CNAG_05622R,CNAG_05622,345
CNAG_04637R,CNAG_04637,308
CNAG_07680R,CNAG_07680,77
CNAG_02215R,CNAG_02215,36
CNAG_02387R,CNAG_02387,462
CNAG_04086R,CNAG_04086,474
CNAG_05697R,CNAG_05697,422
CNAG_04507R,CNAG_04507,306
CNAG_04506R,CNAG_04506,366
CNAG_00068R,CNAG_00068,620
CNAG_00733R,CNAG_00733,354
CNAG_03910R,CNAG_03910,378
CNAG_04059R,CNAG_04059,300
CNAG_07491R,CNAG_07491,503
CNAG_05181R,CNAG_05181,367
CNAG_03772R,CNAG_03772,374
CNAG_00445R,CNAG_00445,556
CNAG_01901R,CNAG_01901,577
CNAG_05313R,CNAG_05313,132
CNAG_05312R,CNAG_05312,349
CNAG_02683R,CNAG_02683,2
CNAG_00442R,CNAG_00442,505
CNAG_07548R,CNAG_07548,3
CNAG_01277R,CNAG_01277,433
CNAG_01230R,CNAG_01230,172
CNAG_05264R,CNAG_05264,1
CNAG_00179R,CNAG_00179,1
CNAG_00547R,CNAG_00547,277
CNAG_00598R,CNAG_00598,376
CNAG_00597R,CNAG_00597,1
CNAG_02219R,CNAG_02219,502
CNAG_03013R,CNAG_03013,85
CNAG_07540R,CNAG_07540,574
CNAG_04980R,CNAG_04980,35
CNAG_00456R,CNAG_00456,308
CNAG_00455R,CNAG_00455,359
CNAG_00107R,CNAG_00107,283
CNAG_00106R,CNAG_00106,4
CNAG_01061R,CNAG_01061,369
CNAG_01013R,CNAG_01013,126
CNAG_07523R,CNAG_07523,1
CNAG_05080R,CNAG_05080,342
CNAG_00164R,CNAG_00164,336
CNAG_03676R,CNAG_03676,1
CNAG_03677R,CNAG_03677,403
CNAG_05077R,CNAG_05077,423
CNAG_00702R,CNAG_00702,1
CNAG_00776R,CNAG_00776,68
CNAG_04024R,CNAG_04024,470
CNAG_04025R,CNAG_04025,421
CNAG_00393R,CNAG_00393,1
CNAG_01019R,CNAG_01019,62
CNAG_01803R,CNAG_01803,435
CNAG_07541R,CNAG_07541,310
CNAG_07542R,CNAG_07542,363
CNAG_05915R,CNAG_05915,348
CNAG_00917R,CNAG_00917,1273
CNAG_00919R,CNAG_00919,369
CNAG_05458R,CNAG_05458,542
CNAG_05459R,CNAG_05459,586
CNAG_01985R,CNAG_01985,204
CNAG_00740R,CNAG_00740,116
CNAG_04163R,CNAG_04163,373
