Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,345
CNAG_05387R,CNAG_05387,368
CNAG_05340R,CNAG_05340,1
CNAG_05638R,CNAG_05638,221
CNAG_05639R,CNAG_05639,296
CNAG_06346R,CNAG_06346,228
CNAG_06347R,CNAG_06347,211
CNAG_06517R,CNAG_06517,328
CNAG_06201R,CNAG_06201,212
CNAG_06104R,CNAG_06104,227
CNAG_07902R,CNAG_07902,274
CNAG_06241R,CNAG_06241,162
CNAG_06242R,CNAG_06242,144
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,234
CNAG_01683R,CNAG_01683,297
CNAG_01902R,CNAG_01902,3
CNAG_01680R,CNAG_01680,239
CNAG_01989R,CNAG_01989,183
CNAG_01992R,CNAG_01992,2
CNAG_01965R,CNAG_01965,19
CNAG_01925R,CNAG_01925,214
CNAG_04837R,CNAG_04837,259
CNAG_04836R,CNAG_04836,234
CNAG_04875R,CNAG_04875,421
CNAG_04874R,CNAG_04874,2
CNAG_04868R,CNAG_04868,24
CNAG_04753R,CNAG_04753,2
CNAG_04659R,CNAG_04659,2
CNAG_04518R,CNAG_04518,281
CNAG_04517R,CNAG_04517,241
CNAG_07770R,CNAG_07770,198
CNAG_03346R,CNAG_03346,1
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,243
CNAG_07742R,CNAG_07742,560
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,230
CNAG_03161R,CNAG_03161,2
CNAG_03566R,CNAG_03566,179
CNAG_05835R,CNAG_05835,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,173
CNAG_05684R,CNAG_05684,729
CNAG_02189R,CNAG_02189,320
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,137
CNAG_07633R,CNAG_07633,1
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,204
CNAG_03669R,CNAG_03669,128
CNAG_07332R,CNAG_07332,186
CNAG_00285R,CNAG_00285,179
CNAG_00830R,CNAG_00830,174
CNAG_00841R,CNAG_00841,308
CNAG_06531R,CNAG_06531,425
CNAG_03279R,CNAG_03279,274
CNAG_03336R,CNAG_03336,383
CNAG_06339R,CNAG_06339,328
CNAG_03768R,CNAG_03768,272
CNAG_04534R,CNAG_04534,250
CNAG_01973R,CNAG_01973,105
CNAG_07867R,CNAG_07867,226
CNAG_05333R,CNAG_05333,336
CNAG_06425R,CNAG_06425,265
CNAG_03849R,CNAG_03849,338
CNAG_02603R,CNAG_02603,204
CNAG_02555R,CNAG_02555,339
CNAG_02525R,CNAG_02525,55
CNAG_03431R,CNAG_03431,37
CNAG_05049R,CNAG_05049,165
CNAG_03914R,CNAG_03914,30
CNAG_02476R,CNAG_02476,176
CNAG_07583R,CNAG_07583,264
CNAG_05112R,CNAG_05112,176
CNAG_03366R,CNAG_03366,311
CNAG_04090R,CNAG_04090,364
CNAG_00791R,CNAG_00791,238
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,7651
CNAG_02516R,CNAG_02516,261
CNAG_04804R,CNAG_04804,20
CNAG_06203R,CNAG_06203,161
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,62
CNAG_03401R,CNAG_03401,231
CNAG_02435R,CNAG_02435,152
CNAG_05153R,CNAG_05153,10
CNAG_01708R,CNAG_01708,693
CNAG_03700R,CNAG_03700,225
CNAG_05215R,CNAG_05215,242
CNAG_01438R,CNAG_01438,371
CNAG_07464R,CNAG_07464,432
CNAG_01858R,CNAG_01858,341
CNAG_04586R,CNAG_04586,519
CNAG_05093R,CNAG_05093,2
CNAG_05176R,CNAG_05176,242
CNAG_01014R,CNAG_01014,121
CNAG_01454R,CNAG_01454,232
CNAG_06327R,CNAG_06327,13
CNAG_03788R,CNAG_03788,205
CNAG_00871R,CNAG_00871,342
CNAG_00559R,CNAG_00559,5719
CNAG_07370R,CNAG_07370,299
CNAG_02589R,CNAG_02589,222
CNAG_01645R,CNAG_01645,643
CNAG_01242R,CNAG_01242,197
CNAG_02788R,CNAG_02788,24
CNAG_07435R,CNAG_07435,2
CNAG_07924R,CNAG_07924,347
CNAG_01071R,CNAG_01071,236
CNAG_00883R,CNAG_00883,232
CNAG_03741R,CNAG_03741,196
CNAG_03745R,CNAG_03745,277
CNAG_00192R,CNAG_00192,195
CNAG_00670R,CNAG_00670,281
CNAG_06871R,CNAG_06871,341
CNAG_04457R,CNAG_04457,213
CNAG_04588R,CNAG_04588,244
CNAG_01977R,CNAG_01977,1
CNAG_03894R,CNAG_03894,303
CNAG_04012R,CNAG_04012,154
CNAG_01487R,CNAG_01487,269
CNAG_05170R,CNAG_05170,149
CNAG_02364R,CNAG_02364,276
CNAG_04093R,CNAG_04093,260
CNAG_02322R,CNAG_02322,287
CNAG_05255R,CNAG_05255,238
CNAG_03018R,CNAG_03018,216
CNAG_07901R,CNAG_07901,243
CNAG_03086R,CNAG_03086,308
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,1336
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,225
CNAG_03177R,CNAG_03177,263
CNAG_03183R,CNAG_03183,56
CNAG_04774R,CNAG_04774,533
CNAG_04768R,CNAG_04768,132
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,254
CNAG_05222R,CNAG_05222,267
CNAG_03409R,CNAG_03409,604
CNAG_05622R,CNAG_05622,348
CNAG_04637R,CNAG_04637,183
CNAG_07680R,CNAG_07680,6
CNAG_02215R,CNAG_02215,1
CNAG_02387R,CNAG_02387,172
CNAG_04086R,CNAG_04086,340
CNAG_05697R,CNAG_05697,333
CNAG_04507R,CNAG_04507,235
CNAG_04506R,CNAG_04506,223
