Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,231
CNAG_05515L,CNAG_05515,189
CNAG_05641L,CNAG_05641,129
CNAG_05387L,CNAG_05387,206
CNAG_05590L,CNAG_05590,101
CNAG_07869L,CNAG_07869,203
CNAG_05340L,CNAG_05340,140
CNAG_05638L,CNAG_05638,158
CNAG_05639L,CNAG_05639,125
CNAG_06346L,CNAG_06346,139
CNAG_06347L,CNAG_06347,100
CNAG_06517L,CNAG_06517,225
CNAG_07939L,CNAG_07939,138
CNAG_06493L,CNAG_06493,180
CNAG_06201L,CNAG_06201,119
CNAG_06104L,CNAG_06104,126
CNAG_06081L,CNAG_06081,144
CNAG_07902L,CNAG_07902,146
CNAG_06241L,CNAG_06241,130
CNAG_06242L,CNAG_06242,93
CNAG_06186L,CNAG_06186,83
CNAG_07911L,CNAG_07911,155
CNAG_01551L,CNAG_01551,39
CNAG_01683L,CNAG_01683,159
CNAG_01983L,CNAG_01983,125
CNAG_01902L,CNAG_01902,10
CNAG_01680L,CNAG_01680,160
CNAG_01621L,CNAG_01621,97
CNAG_01988L,CNAG_01988,120
CNAG_01989L,CNAG_01989,113
CNAG_01939L,CNAG_01939,169
CNAG_01993L,CNAG_01993,84
CNAG_01992L,CNAG_01992,137
CNAG_01965L,CNAG_01965,136
CNAG_01562L,CNAG_01562,85
CNAG_01925L,CNAG_01925,150
CNAG_04756L,CNAG_04756,177
CNAG_04807L,CNAG_04807,63
CNAG_04837L,CNAG_04837,138
CNAG_04836L,CNAG_04836,172
CNAG_04737L,CNAG_04737,183
CNAG_04875L,CNAG_04875,77
CNAG_04874L,CNAG_04874,333
CNAG_04868L,CNAG_04868,42
CNAG_04752L,CNAG_04752,154
CNAG_04753L,CNAG_04753,970
CNAG_04909L,CNAG_04909,158
CNAG_04908L,CNAG_04908,305
CNAG_04659L,CNAG_04659,113
CNAG_04623L,CNAG_04623,120
CNAG_04518L,CNAG_04518,151
CNAG_04517L,CNAG_04517,153
CNAG_07770L,CNAG_07770,59
CNAG_04436L,CNAG_04436,80
CNAG_04271L,CNAG_04271,132
CNAG_04270L,CNAG_04270,29
CNAG_03346L,CNAG_03346,148
CNAG_03433L,CNAG_03433,162
CNAG_03333L,CNAG_03333,135
CNAG_07742L,CNAG_07742,465
CNAG_03438L,CNAG_03438,4
CNAG_03223L,CNAG_03223,58
CNAG_03142L,CNAG_03142,121
CNAG_03143L,CNAG_03143,140
CNAG_03545L,CNAG_03545,186
CNAG_03161L,CNAG_03161,164
CNAG_03566L,CNAG_03566,84
CNAG_05835L,CNAG_05835,198
CNAG_05864L,CNAG_05864,129
CNAG_06567L,CNAG_06567,143
CNAG_05742L,CNAG_05742,50
CNAG_05743L,CNAG_05743,46
CNAG_05867L,CNAG_05867,104
CNAG_05685L,CNAG_05685,370
CNAG_05684L,CNAG_05684,166
CNAG_05785L,CNAG_05785,125
CNAG_05843L,CNAG_05843,10
CNAG_06554L,CNAG_06554,123
CNAG_02189L,CNAG_02189,100
CNAG_02188L,CNAG_02188,139
CNAG_02182L,CNAG_02182,94
CNAG_07631L,CNAG_07631,163
CNAG_02371L,CNAG_02371,65
