Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,280
CNAG_05387R,CNAG_05387,293
CNAG_05638R,CNAG_05638,194
CNAG_05639R,CNAG_05639,186
CNAG_06346R,CNAG_06346,254
CNAG_06347R,CNAG_06347,228
CNAG_06517R,CNAG_06517,362
CNAG_06201R,CNAG_06201,168
CNAG_06104R,CNAG_06104,186
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,235
CNAG_06241R,CNAG_06241,177
CNAG_06242R,CNAG_06242,181
CNAG_07911R,CNAG_07911,182
CNAG_01683R,CNAG_01683,216
CNAG_01902R,CNAG_01902,31
CNAG_01680R,CNAG_01680,221
CNAG_01989R,CNAG_01989,163
CNAG_01965R,CNAG_01965,42
CNAG_01925R,CNAG_01925,217
CNAG_04837R,CNAG_04837,233
CNAG_04836R,CNAG_04836,260
CNAG_04875R,CNAG_04875,106
CNAG_04868R,CNAG_04868,53
CNAG_04752R,CNAG_04752,1
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,222
CNAG_04517R,CNAG_04517,240
CNAG_07770R,CNAG_07770,122
CNAG_03333R,CNAG_03333,177
CNAG_07742R,CNAG_07742,502
CNAG_03142R,CNAG_03142,218
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,162
CNAG_05867R,CNAG_05867,207
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,294
CNAG_02189R,CNAG_02189,173
CNAG_02371R,CNAG_02371,108
CNAG_07633R,CNAG_07633,2
CNAG_06719R,CNAG_06719,238
CNAG_03669R,CNAG_03669,254
CNAG_07332R,CNAG_07332,159
CNAG_00285R,CNAG_00285,202
CNAG_00830R,CNAG_00830,209
CNAG_00841R,CNAG_00841,234
CNAG_06531R,CNAG_06531,415
CNAG_03279R,CNAG_03279,229
CNAG_03336R,CNAG_03336,279
CNAG_06339R,CNAG_06339,250
CNAG_03768R,CNAG_03768,160
CNAG_04534R,CNAG_04534,230
CNAG_01973R,CNAG_01973,153
CNAG_07867R,CNAG_07867,205
CNAG_05333R,CNAG_05333,301
CNAG_06425R,CNAG_06425,188
CNAG_03849R,CNAG_03849,265
CNAG_02603R,CNAG_02603,189
CNAG_02555R,CNAG_02555,294
CNAG_02525R,CNAG_02525,71
CNAG_03431R,CNAG_03431,24
CNAG_05049R,CNAG_05049,161
CNAG_03914R,CNAG_03914,341
CNAG_02476R,CNAG_02476,217
CNAG_07583R,CNAG_07583,234
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,193
CNAG_03366R,CNAG_03366,325
CNAG_04090R,CNAG_04090,311
CNAG_00791R,CNAG_00791,232
CNAG_05375R,CNAG_05375,39633
CNAG_02516R,CNAG_02516,204
CNAG_04804R,CNAG_04804,83
CNAG_06203R,CNAG_06203,176
CNAG_01883R,CNAG_01883,34
CNAG_03401R,CNAG_03401,207
CNAG_02435R,CNAG_02435,51
CNAG_05153R,CNAG_05153,8
CNAG_01708R,CNAG_01708,254
CNAG_03700R,CNAG_03700,202
CNAG_05215R,CNAG_05215,297
CNAG_01438R,CNAG_01438,127
CNAG_07464R,CNAG_07464,10
CNAG_01858R,CNAG_01858,336
CNAG_04586R,CNAG_04586,534
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,54
CNAG_01014R,CNAG_01014,173
CNAG_01454R,CNAG_01454,287
CNAG_06327R,CNAG_06327,83
CNAG_03788R,CNAG_03788,244
CNAG_00871R,CNAG_00871,302
CNAG_00559R,CNAG_00559,4805
CNAG_07370R,CNAG_07370,240
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,251
CNAG_01645R,CNAG_01645,439
CNAG_01242R,CNAG_01242,144
CNAG_02788R,CNAG_02788,107
CNAG_07924R,CNAG_07924,129
CNAG_01071R,CNAG_01071,226
CNAG_00883R,CNAG_00883,65
CNAG_03741R,CNAG_03741,37
CNAG_03745R,CNAG_03745,261
CNAG_00192R,CNAG_00192,144
CNAG_00670R,CNAG_00670,313
CNAG_06871R,CNAG_06871,282
CNAG_04457R,CNAG_04457,233
CNAG_04588R,CNAG_04588,35
CNAG_03894R,CNAG_03894,271
CNAG_04012R,CNAG_04012,164
CNAG_01487R,CNAG_01487,272
CNAG_05170R,CNAG_05170,222
