Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,134
CNAG_05515L,CNAG_05515,283
CNAG_05641L,CNAG_05641,299
CNAG_05387L,CNAG_05387,355
CNAG_05590L,CNAG_05590,1092
CNAG_07869L,CNAG_07869,357
CNAG_05340L,CNAG_05340,275
CNAG_05638L,CNAG_05638,287
CNAG_05639L,CNAG_05639,214
CNAG_06346L,CNAG_06346,341
CNAG_06347L,CNAG_06347,268
CNAG_06517L,CNAG_06517,344
CNAG_07939L,CNAG_07939,307
CNAG_06493L,CNAG_06493,225
CNAG_06201L,CNAG_06201,263
CNAG_06104L,CNAG_06104,435
CNAG_06081L,CNAG_06081,353
CNAG_07902L,CNAG_07902,277
CNAG_06241L,CNAG_06241,159
CNAG_06242L,CNAG_06242,206
CNAG_06186L,CNAG_06186,275
CNAG_07911L,CNAG_07911,465
CNAG_01551L,CNAG_01551,437
CNAG_01683L,CNAG_01683,263
CNAG_01983L,CNAG_01983,325
CNAG_01902L,CNAG_01902,10
CNAG_01680L,CNAG_01680,289
CNAG_01621L,CNAG_01621,275
CNAG_01988L,CNAG_01988,214
CNAG_01989L,CNAG_01989,360
CNAG_01939L,CNAG_01939,369
CNAG_01993L,CNAG_01993,282
CNAG_01992L,CNAG_01992,318
CNAG_01965L,CNAG_01965,322
CNAG_01562L,CNAG_01562,247
CNAG_01925L,CNAG_01925,278
CNAG_04756L,CNAG_04756,312
CNAG_04807L,CNAG_04807,217
CNAG_04837L,CNAG_04837,274
CNAG_04836L,CNAG_04836,267
CNAG_04737L,CNAG_04737,361
CNAG_04875L,CNAG_04875,214
CNAG_04874L,CNAG_04874,603
CNAG_04868L,CNAG_04868,70
CNAG_04752L,CNAG_04752,266
CNAG_04753L,CNAG_04753,796
CNAG_04909L,CNAG_04909,254
CNAG_04908L,CNAG_04908,418
CNAG_04659L,CNAG_04659,224
CNAG_04623L,CNAG_04623,273
CNAG_04518L,CNAG_04518,155
CNAG_04517L,CNAG_04517,315
CNAG_07770L,CNAG_07770,221
CNAG_04436L,CNAG_04436,156
CNAG_04271L,CNAG_04271,222
CNAG_04270L,CNAG_04270,505
CNAG_03346L,CNAG_03346,362
CNAG_03433L,CNAG_03433,301
CNAG_03333L,CNAG_03333,423
CNAG_07742L,CNAG_07742,850
CNAG_03438L,CNAG_03438,52
CNAG_03223L,CNAG_03223,247
CNAG_03142L,CNAG_03142,227
CNAG_03143L,CNAG_03143,244
CNAG_03545L,CNAG_03545,347
CNAG_03161L,CNAG_03161,55
CNAG_03566L,CNAG_03566,253
CNAG_05835L,CNAG_05835,893
CNAG_05864L,CNAG_05864,285
CNAG_06567L,CNAG_06567,348
CNAG_05742L,CNAG_05742,169
CNAG_05743L,CNAG_05743,70
CNAG_05867L,CNAG_05867,194
CNAG_05685L,CNAG_05685,747
CNAG_05684L,CNAG_05684,215
CNAG_05785L,CNAG_05785,237
CNAG_05843L,CNAG_05843,56
CNAG_06554L,CNAG_06554,280
CNAG_02189L,CNAG_02189,475
CNAG_02188L,CNAG_02188,290
CNAG_02182L,CNAG_02182,241
CNAG_07631L,CNAG_07631,342
CNAG_02371L,CNAG_02371,257
CNAG_07633L,CNAG_07633,353
CNAG_01069L,CNAG_01069,262
CNAG_00896L,CNAG_00896,1026
CNAG_06719L,CNAG_06719,88
CNAG_03669L,CNAG_03669,307
CNAG_00031L,CNAG_00031,326
CNAG_07332L,CNAG_07332,190
CNAG_00285L,CNAG_00285,350
CNAG_00828L,CNAG_00828,259
CNAG_00830L,CNAG_00830,288
CNAG_00841L,CNAG_00841,321
CNAG_02774L,CNAG_02774,232
CNAG_06531L,CNAG_06531,485
CNAG_03279L,CNAG_03279,350
CNAG_03336L,CNAG_03336,428
CNAG_06339L,CNAG_06339,347
CNAG_03768L,CNAG_03768,308
CNAG_04534L,CNAG_04534,230
CNAG_01973L,CNAG_01973,3
CNAG_07867L,CNAG_07867,239
CNAG_05333L,CNAG_05333,315
CNAG_06425L,CNAG_06425,236
CNAG_03849L,CNAG_03849,694
CNAG_02603L,CNAG_02603,251
CNAG_02555L,CNAG_02555,302
CNAG_03431L,CNAG_03431,287
CNAG_05049L,CNAG_05049,174
CNAG_05380L,CNAG_05380,613
CNAG_03914L,CNAG_03914,204
CNAG_02476L,CNAG_02476,202
CNAG_07583L,CNAG_07583,274
CNAG_02466L,CNAG_02466,221
CNAG_05112L,CNAG_05112,310
CNAG_03366L,CNAG_03366,383
CNAG_03977L,CNAG_03977,160
CNAG_04090L,CNAG_04090,1070
CNAG_00791L,CNAG_00791,200
CNAG_06751L,CNAG_06751,191
CNAG_05375L,CNAG_05375,3603
CNAG_02516L,CNAG_02516,289
CNAG_04804L,CNAG_04804,146
CNAG_00627L,CNAG_00627,323
CNAG_07725L,CNAG_07725,358
CNAG_06203L,CNAG_06203,289
CNAG_00193L,CNAG_00193,1
CNAG_00514L,CNAG_00514,12
CNAG_01883L,CNAG_01883,529
CNAG_03401L,CNAG_03401,261
CNAG_02435L,CNAG_02435,259
CNAG_05153L,CNAG_05153,15
CNAG_01708L,CNAG_01708,237
CNAG_03700L,CNAG_03700,311
CNAG_07320L,CNAG_07320,90
CNAG_05215L,CNAG_05215,200
CNAG_01438L,CNAG_01438,176
CNAG_07464L,CNAG_07464,181
CNAG_01858L,CNAG_01858,410
CNAG_04586L,CNAG_04586,792
CNAG_05093L,CNAG_05093,323
CNAG_05176L,CNAG_05176,286
CNAG_01014L,CNAG_01014,211
CNAG_00998L,CNAG_00998,308
CNAG_00039L,CNAG_00039,517
CNAG_07329L,CNAG_07329,33
CNAG_01454L,CNAG_01454,332
CNAG_02700L,CNAG_02700,20
CNAG_06327L,CNAG_06327,47
CNAG_03788L,CNAG_03788,255
CNAG_00871L,CNAG_00871,316
CNAG_00559L,CNAG_00559,11714
CNAG_07370L,CNAG_07370,371
CNAG_00732L,CNAG_00732,254
CNAG_04630L,CNAG_04630,367
CNAG_07940L,CNAG_07940,340
CNAG_02589L,CNAG_02589,311
CNAG_05067L,CNAG_05067,357
CNAG_01645L,CNAG_01645,826
CNAG_06134L,CNAG_06134,143
CNAG_01242L,CNAG_01242,186
CNAG_02788L,CNAG_02788,41
CNAG_07435L,CNAG_07435,19
CNAG_03998L,CNAG_03998,254
CNAG_07924L,CNAG_07924,336
CNAG_01071L,CNAG_01071,274
CNAG_00883L,CNAG_00883,195
CNAG_03741L,CNAG_03741,332
CNAG_03745L,CNAG_03745,313
CNAG_00192L,CNAG_00192,244
CNAG_00670L,CNAG_00670,286
CNAG_06871L,CNAG_06871,349
CNAG_04457L,CNAG_04457,353
CNAG_02723L,CNAG_02723,288
CNAG_04588L,CNAG_04588,107
CNAG_01977L,CNAG_01977,294
CNAG_03894L,CNAG_03894,360
CNAG_04012L,CNAG_04012,373
CNAG_03561L,CNAG_03561,221
CNAG_05170L,CNAG_05170,225
CNAG_04041L,CNAG_04041,110
CNAG_02364L,CNAG_02364,279
CNAG_04093L,CNAG_04093,295
CNAG_02322L,CNAG_02322,339
CNAG_04184L,CNAG_04184,318
CNAG_05255L,CNAG_05255,337
CNAG_05642L,CNAG_05642,177
CNAG_03059L,CNAG_03059,286
CNAG_03018L,CNAG_03018,272
CNAG_07901L,CNAG_07901,231
CNAG_03086L,CNAG_03086,360
CNAG_04916L,CNAG_04916,178
CNAG_06097L,CNAG_06097,548
CNAG_03115L,CNAG_03115,329
CNAG_03132L,CNAG_03132,343
CNAG_04841L,CNAG_04841,292
CNAG_06136L,CNAG_06136,277
CNAG_03177L,CNAG_03177,707
CNAG_03183L,CNAG_03183,189
CNAG_06188L,CNAG_06188,289
CNAG_02877L,CNAG_02877,223
CNAG_04359L,CNAG_04359,611
CNAG_04774L,CNAG_04774,800
CNAG_04768L,CNAG_04768,322
CNAG_02066L,CNAG_02066,359
