Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,311
CNAG_05387R,CNAG_05387,459
CNAG_05638R,CNAG_05638,331
CNAG_05639R,CNAG_05639,322
CNAG_06346R,CNAG_06346,392
CNAG_06347R,CNAG_06347,353
CNAG_06517R,CNAG_06517,365
CNAG_06201R,CNAG_06201,312
CNAG_06104R,CNAG_06104,352
CNAG_07902R,CNAG_07902,334
CNAG_06241R,CNAG_06241,255
CNAG_06242R,CNAG_06242,226
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,439
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,347
CNAG_01902R,CNAG_01902,19
CNAG_01680R,CNAG_01680,333
CNAG_01621R,CNAG_01621,1
CNAG_01989R,CNAG_01989,267
CNAG_01965R,CNAG_01965,21
CNAG_01925R,CNAG_01925,324
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,387
CNAG_04836R,CNAG_04836,308
CNAG_04875R,CNAG_04875,255
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,77
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,268
CNAG_04517R,CNAG_04517,323
CNAG_07770R,CNAG_07770,288
CNAG_03333R,CNAG_03333,431
CNAG_07742R,CNAG_07742,643
CNAG_03142R,CNAG_03142,254
CNAG_03566R,CNAG_03566,267
CNAG_05835R,CNAG_05835,1
CNAG_05864R,CNAG_05864,1
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,247
CNAG_05684R,CNAG_05684,259
CNAG_02189R,CNAG_02189,405
CNAG_02371R,CNAG_02371,331
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,281
CNAG_03669R,CNAG_03669,331
CNAG_07332R,CNAG_07332,214
CNAG_00285R,CNAG_00285,321
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,290
CNAG_00841R,CNAG_00841,344
CNAG_06531R,CNAG_06531,470
CNAG_03279R,CNAG_03279,349
CNAG_03336R,CNAG_03336,445
CNAG_06339R,CNAG_06339,385
CNAG_03768R,CNAG_03768,330
CNAG_04534R,CNAG_04534,297
CNAG_01973R,CNAG_01973,306
CNAG_07867R,CNAG_07867,255
CNAG_05333R,CNAG_05333,351
CNAG_06425R,CNAG_06425,248
CNAG_03849R,CNAG_03849,286
CNAG_02603R,CNAG_02603,250
CNAG_02555R,CNAG_02555,416
CNAG_02525R,CNAG_02525,86
CNAG_03431R,CNAG_03431,523
CNAG_05049R,CNAG_05049,195
CNAG_03914R,CNAG_03914,259
CNAG_02476R,CNAG_02476,288
CNAG_07583R,CNAG_07583,318
