Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,78
CNAG_05515L,CNAG_05515,226
CNAG_05641L,CNAG_05641,184
CNAG_05387L,CNAG_05387,200
CNAG_05590L,CNAG_05590,301
CNAG_07869L,CNAG_07869,213
CNAG_05340L,CNAG_05340,74
CNAG_05638L,CNAG_05638,136
CNAG_05639L,CNAG_05639,178
CNAG_06346L,CNAG_06346,231
CNAG_06347L,CNAG_06347,192
CNAG_06517L,CNAG_06517,231
CNAG_07939L,CNAG_07939,143
CNAG_06493L,CNAG_06493,140
CNAG_06201L,CNAG_06201,181
CNAG_06104L,CNAG_06104,169
CNAG_06081L,CNAG_06081,191
CNAG_07902L,CNAG_07902,155
CNAG_06241L,CNAG_06241,118
CNAG_06242L,CNAG_06242,143
CNAG_06186L,CNAG_06186,180
CNAG_07911L,CNAG_07911,164
CNAG_01551L,CNAG_01551,157
CNAG_01683L,CNAG_01683,179
CNAG_01983L,CNAG_01983,193
CNAG_01902L,CNAG_01902,4
CNAG_01680L,CNAG_01680,152
CNAG_01621L,CNAG_01621,190
CNAG_01988L,CNAG_01988,137
CNAG_01989L,CNAG_01989,192
CNAG_01939L,CNAG_01939,192
CNAG_01993L,CNAG_01993,141
CNAG_01992L,CNAG_01992,157
CNAG_01965L,CNAG_01965,181
CNAG_01562L,CNAG_01562,88
CNAG_01925L,CNAG_01925,159
CNAG_04756L,CNAG_04756,196
CNAG_04807L,CNAG_04807,239
CNAG_04837L,CNAG_04837,202
CNAG_04836L,CNAG_04836,177
CNAG_04737L,CNAG_04737,247
CNAG_04875L,CNAG_04875,173
CNAG_04874L,CNAG_04874,443
CNAG_04868L,CNAG_04868,39
CNAG_04752L,CNAG_04752,115
CNAG_04753L,CNAG_04753,1121
CNAG_04909L,CNAG_04909,156
CNAG_04908L,CNAG_04908,168
CNAG_04659L,CNAG_04659,100
CNAG_04623L,CNAG_04623,147
CNAG_04518L,CNAG_04518,163
CNAG_04517L,CNAG_04517,207
CNAG_07770L,CNAG_07770,176
CNAG_04436L,CNAG_04436,103
CNAG_04271L,CNAG_04271,142
CNAG_04270L,CNAG_04270,123
CNAG_03346L,CNAG_03346,194
CNAG_03433L,CNAG_03433,196
CNAG_03333L,CNAG_03333,223
CNAG_07742L,CNAG_07742,637
CNAG_03438L,CNAG_03438,86
CNAG_03223L,CNAG_03223,50
CNAG_03142L,CNAG_03142,161
CNAG_03143L,CNAG_03143,157
CNAG_03545L,CNAG_03545,212
CNAG_03161L,CNAG_03161,95
CNAG_03566L,CNAG_03566,188
CNAG_05835L,CNAG_05835,183
CNAG_05864L,CNAG_05864,148
CNAG_06567L,CNAG_06567,168
CNAG_05742L,CNAG_05742,80
CNAG_05743L,CNAG_05743,107
CNAG_05867L,CNAG_05867,116
CNAG_05685L,CNAG_05685,489
CNAG_05684L,CNAG_05684,202
CNAG_05785L,CNAG_05785,179
CNAG_05843L,CNAG_05843,4
CNAG_06554L,CNAG_06554,166
CNAG_02189L,CNAG_02189,106
CNAG_02188L,CNAG_02188,232
CNAG_02182L,CNAG_02182,153
CNAG_07631L,CNAG_07631,196
CNAG_02371L,CNAG_02371,149
CNAG_07633L,CNAG_07633,150
CNAG_01069L,CNAG_01069,177
CNAG_00896L,CNAG_00896,593
CNAG_06719L,CNAG_06719,43
CNAG_03669L,CNAG_03669,155
CNAG_00031L,CNAG_00031,158
CNAG_07332L,CNAG_07332,125
CNAG_00285L,CNAG_00285,201
CNAG_00828L,CNAG_00828,145
CNAG_00830L,CNAG_00830,157
CNAG_00841L,CNAG_00841,187
CNAG_02774L,CNAG_02774,152
