Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,191
CNAG_05515L,CNAG_05515,353
CNAG_05641L,CNAG_05641,244
CNAG_05387L,CNAG_05387,332
CNAG_05590L,CNAG_05590,717
CNAG_07869L,CNAG_07869,344
CNAG_05340L,CNAG_05340,140
CNAG_05638L,CNAG_05638,240
CNAG_05639L,CNAG_05639,217
CNAG_06346L,CNAG_06346,297
CNAG_06347L,CNAG_06347,305
CNAG_06517L,CNAG_06517,396
CNAG_07939L,CNAG_07939,229
CNAG_06493L,CNAG_06493,238
CNAG_06201L,CNAG_06201,280
CNAG_06104L,CNAG_06104,170
CNAG_06081L,CNAG_06081,275
CNAG_07902L,CNAG_07902,264
CNAG_06241L,CNAG_06241,166
CNAG_06242L,CNAG_06242,197
CNAG_06186L,CNAG_06186,325
CNAG_07911L,CNAG_07911,302
CNAG_01551L,CNAG_01551,224
CNAG_01683L,CNAG_01683,256
CNAG_01983L,CNAG_01983,297
CNAG_01902L,CNAG_01902,9
CNAG_01680L,CNAG_01680,279
CNAG_01621L,CNAG_01621,223
CNAG_01988L,CNAG_01988,207
CNAG_01989L,CNAG_01989,282
CNAG_01939L,CNAG_01939,253
CNAG_01993L,CNAG_01993,226
CNAG_01992L,CNAG_01992,294
CNAG_01965L,CNAG_01965,227
CNAG_01562L,CNAG_01562,247
CNAG_01925L,CNAG_01925,272
CNAG_04756L,CNAG_04756,294
CNAG_04807L,CNAG_04807,339
CNAG_04837L,CNAG_04837,280
CNAG_04836L,CNAG_04836,270
CNAG_04737L,CNAG_04737,357
CNAG_04875L,CNAG_04875,73
CNAG_04874L,CNAG_04874,727
CNAG_04868L,CNAG_04868,47
CNAG_04752L,CNAG_04752,199
CNAG_04753L,CNAG_04753,1923
CNAG_04909L,CNAG_04909,250
CNAG_04908L,CNAG_04908,294
CNAG_04659L,CNAG_04659,166
CNAG_04623L,CNAG_04623,183
CNAG_04518L,CNAG_04518,223
CNAG_04517L,CNAG_04517,331
CNAG_07770L,CNAG_07770,235
CNAG_04436L,CNAG_04436,121
CNAG_04271L,CNAG_04271,192
CNAG_04270L,CNAG_04270,163
CNAG_03346L,CNAG_03346,272
CNAG_03433L,CNAG_03433,260
CNAG_03333L,CNAG_03333,348
CNAG_07742L,CNAG_07742,681
CNAG_03438L,CNAG_03438,130
CNAG_03223L,CNAG_03223,331
CNAG_03142L,CNAG_03142,248
CNAG_03143L,CNAG_03143,254
CNAG_03545L,CNAG_03545,286
CNAG_03161L,CNAG_03161,100
CNAG_03566L,CNAG_03566,224
CNAG_05835L,CNAG_05835,270
CNAG_05864L,CNAG_05864,267
CNAG_06567L,CNAG_06567,330
CNAG_05742L,CNAG_05742,7
CNAG_05743L,CNAG_05743,90
CNAG_05867L,CNAG_05867,187
CNAG_05685L,CNAG_05685,696
CNAG_05684L,CNAG_05684,236
CNAG_05785L,CNAG_05785,178
CNAG_05843L,CNAG_05843,3
CNAG_06554L,CNAG_06554,294
CNAG_02189L,CNAG_02189,277
CNAG_02188L,CNAG_02188,315
CNAG_02182L,CNAG_02182,208
CNAG_07631L,CNAG_07631,257
CNAG_02371L,CNAG_02371,261
CNAG_07633L,CNAG_07633,413
CNAG_01069L,CNAG_01069,256
CNAG_00896L,CNAG_00896,893
CNAG_06719L,CNAG_06719,75
CNAG_03669L,CNAG_03669,349
CNAG_00031L,CNAG_00031,239
