Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,269
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,310
CNAG_05340R,CNAG_05340,1
CNAG_05638R,CNAG_05638,193
CNAG_05639R,CNAG_05639,258
CNAG_06346R,CNAG_06346,256
CNAG_06347R,CNAG_06347,209
CNAG_06517R,CNAG_06517,304
CNAG_06201R,CNAG_06201,182
CNAG_06104R,CNAG_06104,172
CNAG_06081R,CNAG_06081,2
CNAG_07902R,CNAG_07902,204
CNAG_06241R,CNAG_06241,226
CNAG_06242R,CNAG_06242,272
CNAG_07911R,CNAG_07911,267
CNAG_01683R,CNAG_01683,218
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,185
CNAG_01989R,CNAG_01989,191
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,32
CNAG_01925R,CNAG_01925,224
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,254
CNAG_04836R,CNAG_04836,222
CNAG_04875R,CNAG_04875,66
CNAG_04868R,CNAG_04868,57
CNAG_04518R,CNAG_04518,195
CNAG_04517R,CNAG_04517,235
CNAG_07770R,CNAG_07770,160
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,246
CNAG_07742R,CNAG_07742,567
CNAG_03438R,CNAG_03438,1
CNAG_03142R,CNAG_03142,171
CNAG_03566R,CNAG_03566,179
CNAG_05864R,CNAG_05864,1
CNAG_05867R,CNAG_05867,157
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,127
CNAG_02189R,CNAG_02189,278
CNAG_02182R,CNAG_02182,1
CNAG_02371R,CNAG_02371,245
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,187
CNAG_03669R,CNAG_03669,221
CNAG_07332R,CNAG_07332,140
CNAG_00285R,CNAG_00285,194
CNAG_00830R,CNAG_00830,358
CNAG_00841R,CNAG_00841,283
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,439
CNAG_03279R,CNAG_03279,216
CNAG_03336R,CNAG_03336,256
CNAG_06339R,CNAG_06339,278
CNAG_03768R,CNAG_03768,202
CNAG_04534R,CNAG_04534,219
CNAG_01973R,CNAG_01973,317
CNAG_07867R,CNAG_07867,232
CNAG_05333R,CNAG_05333,247
CNAG_06425R,CNAG_06425,177
CNAG_03849R,CNAG_03849,284
CNAG_02603R,CNAG_02603,185
CNAG_02555R,CNAG_02555,310
CNAG_02525R,CNAG_02525,38
CNAG_03431R,CNAG_03431,77
CNAG_05049R,CNAG_05049,242
CNAG_03914R,CNAG_03914,97
CNAG_02476R,CNAG_02476,214
CNAG_07583R,CNAG_07583,224
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,204
CNAG_03366R,CNAG_03366,345
CNAG_04090R,CNAG_04090,333
CNAG_00791R,CNAG_00791,252
CNAG_05375R,CNAG_05375,2301
CNAG_02516R,CNAG_02516,199
CNAG_04804R,CNAG_04804,4
CNAG_06203R,CNAG_06203,227
CNAG_01883R,CNAG_01883,146
CNAG_03401R,CNAG_03401,295
CNAG_02435R,CNAG_02435,180
CNAG_05153R,CNAG_05153,1
CNAG_01708R,CNAG_01708,129
CNAG_03700R,CNAG_03700,300
CNAG_05215R,CNAG_05215,385
CNAG_01438R,CNAG_01438,169
CNAG_07464R,CNAG_07464,107
CNAG_01858R,CNAG_01858,331
CNAG_04586R,CNAG_04586,1151
CNAG_05176R,CNAG_05176,137
CNAG_01014R,CNAG_01014,137
CNAG_07329R,CNAG_07329,1
CNAG_01454R,CNAG_01454,284
CNAG_06327R,CNAG_06327,38
CNAG_03788R,CNAG_03788,215
CNAG_00871R,CNAG_00871,260
CNAG_00559R,CNAG_00559,6159
CNAG_07370R,CNAG_07370,305
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,213
CNAG_01645R,CNAG_01645,576
CNAG_06134R,CNAG_06134,1
CNAG_01242R,CNAG_01242,151
CNAG_02788R,CNAG_02788,30
CNAG_07435R,CNAG_07435,30
CNAG_07924R,CNAG_07924,257
CNAG_01071R,CNAG_01071,218
CNAG_00883R,CNAG_00883,255
CNAG_03741R,CNAG_03741,233
CNAG_03745R,CNAG_03745,270
CNAG_00192R,CNAG_00192,217
CNAG_00670R,CNAG_00670,292
CNAG_06871R,CNAG_06871,298
CNAG_04457R,CNAG_04457,266
CNAG_04588R,CNAG_04588,142
CNAG_03894R,CNAG_03894,283
CNAG_04012R,CNAG_04012,178
CNAG_01487R,CNAG_01487,259
CNAG_05170R,CNAG_05170,215
CNAG_02364R,CNAG_02364,198
CNAG_04093R,CNAG_04093,301
CNAG_02322R,CNAG_02322,204
CNAG_05255R,CNAG_05255,319
CNAG_03018R,CNAG_03018,271
CNAG_07901R,CNAG_07901,245
CNAG_03086R,CNAG_03086,208
CNAG_06097R,CNAG_06097,105
CNAG_06136R,CNAG_06136,222
CNAG_03177R,CNAG_03177,352
CNAG_03183R,CNAG_03183,124
CNAG_04774R,CNAG_04774,323
CNAG_04768R,CNAG_04768,310
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,217
CNAG_05222R,CNAG_05222,26
CNAG_03409R,CNAG_03409,301
CNAG_05622R,CNAG_05622,271
CNAG_04637R,CNAG_04637,204
CNAG_07680R,CNAG_07680,43
CNAG_02215R,CNAG_02215,16
CNAG_02387R,CNAG_02387,340
CNAG_04086R,CNAG_04086,314
CNAG_05697R,CNAG_05697,247
CNAG_06205R,CNAG_06205,1
CNAG_04507R,CNAG_04507,230
CNAG_04506R,CNAG_04506,230
CNAG_00068R,CNAG_00068,317
CNAG_00733R,CNAG_00733,247
CNAG_03910R,CNAG_03910,239
CNAG_04059R,CNAG_04059,275
CNAG_07491R,CNAG_07491,546
CNAG_05181R,CNAG_05181,216
CNAG_03772R,CNAG_03772,282
CNAG_00445R,CNAG_00445,324
CNAG_01901R,CNAG_01901,376
CNAG_05313R,CNAG_05313,162
CNAG_05312R,CNAG_05312,304
CNAG_00442R,CNAG_00442,429
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,247
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,119
CNAG_00547R,CNAG_00547,199
CNAG_00598R,CNAG_00598,224
CNAG_02797R,CNAG_02797,1
CNAG_02219R,CNAG_02219,303
CNAG_03013R,CNAG_03013,99
CNAG_07540R,CNAG_07540,441
CNAG_04980R,CNAG_04980,18
CNAG_00456R,CNAG_00456,226
CNAG_00455R,CNAG_00455,217
CNAG_00107R,CNAG_00107,230
CNAG_00106R,CNAG_00106,1
CNAG_01061R,CNAG_01061,258
CNAG_01013R,CNAG_01013,19
CNAG_05159R,CNAG_05159,1
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,232
CNAG_00164R,CNAG_00164,213
CNAG_03727R,CNAG_03727,1
CNAG_03677R,CNAG_03677,238
CNAG_06761R,CNAG_06761,1
CNAG_05077R,CNAG_05077,344
CNAG_00546R,CNAG_00546,1
CNAG_00897R,CNAG_00897,1
CNAG_00776R,CNAG_00776,1
CNAG_04024R,CNAG_04024,241
CNAG_04025R,CNAG_04025,269
CNAG_02347R,CNAG_02347,1
CNAG_01019R,CNAG_01019,9
CNAG_01803R,CNAG_01803,341
CNAG_00374R,CNAG_00374,1
CNAG_07541R,CNAG_07541,184
CNAG_07542R,CNAG_07542,289
CNAG_05915R,CNAG_05915,231
CNAG_00917R,CNAG_00917,834
CNAG_00919R,CNAG_00919,249
CNAG_05458R,CNAG_05458,308
CNAG_05459R,CNAG_05459,290
CNAG_01985R,CNAG_01985,130
CNAG_00740R,CNAG_00740,98
CNAG_04163R,CNAG_04163,223
CNAG_04162R,CNAG_04162,170
CNAG_04755R,CNAG_04755,221
CNAG_01777R,CNAG_01777,180
CNAG_04217R,CNAG_04217,1
CNAG_03173R,CNAG_03173,241
CNAG_03172R,CNAG_03172,238
CNAG_07388R,CNAG_07388,195
CNAG_07389R,CNAG_07389,274
CNAG_06060R,CNAG_06060,184
CNAG_00581R,CNAG_00581,143
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,285
CNAG_04950R,CNAG_04950,237
CNAG_04949R,CNAG_04949,211
CNAG_01865R,CNAG_01865,199
CNAG_00717R,CNAG_00717,176
CNAG_06896R,CNAG_06896,355
CNAG_05812R,CNAG_05812,217
CNAG_06658R,CNAG_06658,235
CNAG_05994R,CNAG_05994,243
CNAG_01318R,CNAG_01318,2
CNAG_02517R,CNAG_02517,335
CNAG_07419R,CNAG_07419,1
CNAG_03329R,CNAG_03329,98
CNAG_04471R,CNAG_04471,201
CNAG_00699R,CNAG_00699,187
CNAG_02129R,CNAG_02129,341
CNAG_05352R,CNAG_05352,87
CNAG_07441R,CNAG_07441,2
CNAG_07442R,CNAG_07442,1
CNAG_07486R,CNAG_07486,227
CNAG_07313R,CNAG_07313,2
CNAG_00710R,CNAG_00710,206
CNAG_00709R,CNAG_00709,335
CNAG_03689R,CNAG_03689,229
CNAG_01704R,CNAG_01704,351
CNAG_04618R,CNAG_04618,1
CNAG_07827R,CNAG_07827,242
CNAG_07516R,CNAG_07516,214
CNAG_02849R,CNAG_02849,2
CNAG_00157R,CNAG_00157,184
CNAG_01776R,CNAG_01776,256
CNAG_07605R,CNAG_07605,174
CNAG_01846R,CNAG_01846,232
CNAG_01701R,CNAG_01701,2
CNAG_00799R,CNAG_00799,270
CNAG_04656R,CNAG_04656,1
CNAG_04657R,CNAG_04657,275
CNAG_04385R,CNAG_04385,188
CNAG_04386R,CNAG_04386,247
CNAG_07847R,CNAG_07847,185
CNAG_02226R,CNAG_02226,164
CNAG_02225R,CNAG_02225,231
CNAG_04860R,CNAG_04860,267
CNAG_01105R,CNAG_01105,317
CNAG_03524R,CNAG_03524,252
CNAG_03733R,CNAG_03733,241
CNAG_03732R,CNAG_03732,300
CNAG_03247R,CNAG_03247,253
CNAG_03193R,CNAG_03193,198
CNAG_03194R,CNAG_03194,246
CNAG_06574R,CNAG_06574,224
CNAG_04663R,CNAG_04663,223
CNAG_02944R,CNAG_02944,223
CNAG_05872R,CNAG_05872,174
CNAG_02775R,CNAG_02775,28
CNAG_01112R,CNAG_01112,1
CNAG_06973R,CNAG_06973,1
CNAG_07498R,CNAG_07498,335
CNAG_00475R,CNAG_00475,4495
CNAG_04524R,CNAG_04524,1
CNAG_06501R,CNAG_06501,217
CNAG_06502R,CNAG_06502,263
CNAG_00587R,CNAG_00587,269
CNAG_04691R,CNAG_04691,288
CNAG_05522R,CNAG_05522,306
CNAG_01930R,CNAG_01930,248
CNAG_04983R,CNAG_04983,3
CNAG_04982R,CNAG_04982,1
CNAG_03002R,CNAG_03002,304
CNAG_01448R,CNAG_01448,1214
CNAG_07685R,CNAG_07685,247
CNAG_03902R,CNAG_03902,65
CNAG_02010R,CNAG_02010,2513
CNAG_01642R,CNAG_01642,241
CNAG_04705R,CNAG_04705,331
CNAG_01420R,CNAG_01420,277
CNAG_07519R,CNAG_07519,565
CNAG_06240R,CNAG_06240,280
CNAG_00777R,CNAG_00777,302
CNAG_01118R,CNAG_01118,313
CNAG_03866R,CNAG_03866,274
CNAG_06595R,CNAG_06595,226
CNAG_00519R,CNAG_00519,22
CNAG_03168R,CNAG_03168,3
CNAG_01524R,CNAG_01524,233
CNAG_04594R,CNAG_04594,242
CNAG_02588R,CNAG_02588,291
CNAG_06905R,CNAG_06905,200
CNAG_06904R,CNAG_06904,210
CNAG_03280R,CNAG_03280,1
CNAG_02288R,CNAG_02288,195
CNAG_07729R,CNAG_07729,5
CNAG_01970R,CNAG_01970,1
CNAG_05114R,CNAG_05114,1
CNAG_07752R,CNAG_07752,243
CNAG_04587R,CNAG_04587,261
CNAG_02692R,CNAG_02692,246
CNAG_02776R,CNAG_02776,368
CNAG_04885R,CNAG_04885,213
CNAG_06662R,CNAG_06662,246
CNAG_02165R,CNAG_02165,268
CNAG_02071R,CNAG_02071,213
CNAG_02070R,CNAG_02070,181
CNAG_02684R,CNAG_02684,312
CNAG_02685R,CNAG_02685,1
