Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,309
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,328
CNAG_05340R,CNAG_05340,1
CNAG_05638R,CNAG_05638,266
CNAG_05639R,CNAG_05639,291
CNAG_06346R,CNAG_06346,259
CNAG_06347R,CNAG_06347,283
CNAG_06517R,CNAG_06517,373
CNAG_06201R,CNAG_06201,195
CNAG_06104R,CNAG_06104,128
CNAG_07902R,CNAG_07902,224
CNAG_06241R,CNAG_06241,203
CNAG_06242R,CNAG_06242,226
CNAG_07911R,CNAG_07911,234
CNAG_01683R,CNAG_01683,257
CNAG_01902R,CNAG_01902,7
CNAG_01680R,CNAG_01680,233
CNAG_01989R,CNAG_01989,223
CNAG_01965R,CNAG_01965,37
CNAG_01925R,CNAG_01925,225
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,234
CNAG_04836R,CNAG_04836,238
CNAG_04875R,CNAG_04875,70
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,70
CNAG_04909R,CNAG_04909,1
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,228
CNAG_04517R,CNAG_04517,287
CNAG_07770R,CNAG_07770,263
CNAG_04436R,CNAG_04436,2
CNAG_03333R,CNAG_03333,350
CNAG_07742R,CNAG_07742,451
CNAG_03142R,CNAG_03142,187
CNAG_03566R,CNAG_03566,200
CNAG_05743R,CNAG_05743,2
CNAG_05867R,CNAG_05867,191
CNAG_05684R,CNAG_05684,193
CNAG_02189R,CNAG_02189,258
CNAG_02371R,CNAG_02371,180
CNAG_07633R,CNAG_07633,2
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,192
CNAG_03669R,CNAG_03669,310
CNAG_07332R,CNAG_07332,159
CNAG_00285R,CNAG_00285,262
CNAG_00830R,CNAG_00830,308
CNAG_00841R,CNAG_00841,258
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,537
CNAG_03279R,CNAG_03279,248
CNAG_03336R,CNAG_03336,350
CNAG_06339R,CNAG_06339,313
CNAG_03768R,CNAG_03768,259
CNAG_04534R,CNAG_04534,324
CNAG_01973R,CNAG_01973,113
CNAG_07867R,CNAG_07867,300
CNAG_05333R,CNAG_05333,384
CNAG_06425R,CNAG_06425,274
CNAG_03849R,CNAG_03849,331
CNAG_02603R,CNAG_02603,214
CNAG_02555R,CNAG_02555,408
CNAG_02525R,CNAG_02525,155
CNAG_03431R,CNAG_03431,133
CNAG_05049R,CNAG_05049,179
CNAG_03914R,CNAG_03914,262
CNAG_02476R,CNAG_02476,206
CNAG_07583R,CNAG_07583,289
CNAG_05112R,CNAG_05112,242
CNAG_03366R,CNAG_03366,314
CNAG_04090R,CNAG_04090,439
CNAG_00791R,CNAG_00791,141
CNAG_05375R,CNAG_05375,2440
CNAG_02516R,CNAG_02516,251
CNAG_04804R,CNAG_04804,16
CNAG_00627R,CNAG_00627,1
CNAG_06203R,CNAG_06203,227
CNAG_01883R,CNAG_01883,231
CNAG_03401R,CNAG_03401,276
CNAG_02435R,CNAG_02435,281
CNAG_05153R,CNAG_05153,7
CNAG_01708R,CNAG_01708,238
CNAG_03700R,CNAG_03700,361
CNAG_05215R,CNAG_05215,201
CNAG_01438R,CNAG_01438,90
CNAG_07464R,CNAG_07464,195
CNAG_01858R,CNAG_01858,339
CNAG_04586R,CNAG_04586,732
CNAG_05176R,CNAG_05176,241
CNAG_01014R,CNAG_01014,148
CNAG_01454R,CNAG_01454,253
CNAG_06327R,CNAG_06327,60
CNAG_03788R,CNAG_03788,290
CNAG_00871R,CNAG_00871,393
CNAG_00559R,CNAG_00559,7361
CNAG_07370R,CNAG_07370,273
CNAG_04630R,CNAG_04630,1
CNAG_02589R,CNAG_02589,285
CNAG_01645R,CNAG_01645,613
CNAG_01242R,CNAG_01242,236
CNAG_02788R,CNAG_02788,43
CNAG_07435R,CNAG_07435,58
CNAG_07924R,CNAG_07924,288
CNAG_01071R,CNAG_01071,205
CNAG_00883R,CNAG_00883,78
CNAG_03741R,CNAG_03741,207
CNAG_03745R,CNAG_03745,262
CNAG_00018R,CNAG_00018,1
CNAG_00192R,CNAG_00192,256
CNAG_00670R,CNAG_00670,246
CNAG_06871R,CNAG_06871,403
CNAG_04457R,CNAG_04457,274
CNAG_04588R,CNAG_04588,31
CNAG_03894R,CNAG_03894,277
CNAG_04012R,CNAG_04012,169
CNAG_01487R,CNAG_01487,375
CNAG_03561R,CNAG_03561,3
CNAG_05170R,CNAG_05170,234
CNAG_02364R,CNAG_02364,273
CNAG_04093R,CNAG_04093,391
CNAG_02322R,CNAG_02322,289
CNAG_05255R,CNAG_05255,262
CNAG_03018R,CNAG_03018,278
CNAG_07901R,CNAG_07901,217
CNAG_03086R,CNAG_03086,307
CNAG_06097R,CNAG_06097,176
CNAG_06136R,CNAG_06136,228
CNAG_03177R,CNAG_03177,306
CNAG_03183R,CNAG_03183,94
CNAG_04774R,CNAG_04774,299
CNAG_04768R,CNAG_04768,259
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,337
CNAG_05222R,CNAG_05222,233
CNAG_03409R,CNAG_03409,200
CNAG_05622R,CNAG_05622,276
CNAG_04637R,CNAG_04637,203
CNAG_07680R,CNAG_07680,115
CNAG_02215R,CNAG_02215,67
CNAG_02387R,CNAG_02387,314
CNAG_04086R,CNAG_04086,406
CNAG_05697R,CNAG_05697,372
CNAG_04507R,CNAG_04507,273
CNAG_04506R,CNAG_04506,212
CNAG_00068R,CNAG_00068,444
CNAG_00733R,CNAG_00733,252
CNAG_03910R,CNAG_03910,288
CNAG_04059R,CNAG_04059,269
CNAG_07491R,CNAG_07491,276
CNAG_05181R,CNAG_05181,255
CNAG_03772R,CNAG_03772,295
CNAG_00445R,CNAG_00445,430
CNAG_01901R,CNAG_01901,414
CNAG_05313R,CNAG_05313,71
CNAG_05312R,CNAG_05312,312
CNAG_00442R,CNAG_00442,349
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,351
CNAG_07512R,CNAG_07512,2
CNAG_01230R,CNAG_01230,109
CNAG_00547R,CNAG_00547,261
CNAG_00598R,CNAG_00598,274
CNAG_02219R,CNAG_02219,396
CNAG_03013R,CNAG_03013,55
CNAG_07540R,CNAG_07540,294
CNAG_04980R,CNAG_04980,55
CNAG_00456R,CNAG_00456,289
CNAG_00455R,CNAG_00455,307
CNAG_00107R,CNAG_00107,212
CNAG_01061R,CNAG_01061,305
CNAG_01013R,CNAG_01013,47
CNAG_02777R,CNAG_02777,1
CNAG_00531R,CNAG_00531,1
CNAG_05080R,CNAG_05080,236
CNAG_00164R,CNAG_00164,269
CNAG_03676R,CNAG_03676,1
CNAG_03677R,CNAG_03677,285
CNAG_06760R,CNAG_06760,1
CNAG_05077R,CNAG_05077,358
CNAG_02554R,CNAG_02554,1
CNAG_00776R,CNAG_00776,68
CNAG_04024R,CNAG_04024,309
CNAG_04025R,CNAG_04025,265
CNAG_00393R,CNAG_00393,1
CNAG_01019R,CNAG_01019,26
CNAG_01803R,CNAG_01803,322
CNAG_07541R,CNAG_07541,226
CNAG_07542R,CNAG_07542,295
CNAG_05915R,CNAG_05915,235
CNAG_00917R,CNAG_00917,925
CNAG_00919R,CNAG_00919,253
CNAG_05458R,CNAG_05458,347
CNAG_05459R,CNAG_05459,255
CNAG_01985R,CNAG_01985,155
CNAG_00740R,CNAG_00740,44
CNAG_04163R,CNAG_04163,237
CNAG_04162R,CNAG_04162,102
CNAG_04755R,CNAG_04755,37
CNAG_01777R,CNAG_01777,226
CNAG_03173R,CNAG_03173,274
